"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Hippuris","Hymenophyllum","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Loranthus","Lotus t.","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trachomitum","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis","Zea","Ziziphus/Paliurus"
" -98","  77","-283","  90","   8","   0","   0","   1","  11","   2","   2","   1","   0","  10","   0","   3","   1","   1","   2","   0","  20","   0","   0","   3","   0","   3","   0","   0","   0","   0","  13","  11","   1","   0","   0","   0","   0","   0","   0","  15","   0","  10","   0","   0","  11","   0","   2","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  63","   0","   2","   9","   0","  25","  23","   4","  31","   0","  61","   5","   7","   1","   0","   0","   0","   0","  89","  72","   2","   0","   0","   0","   3","   1","   0","   4","   4","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","  78","   0","   0","   0","   0","   2","   0","   0"
" 63","220","-98","110"," 17","  0","  0"," 17","  6","  0","  5","  2","  0","  8","  0","  3","  0","  0"," 13","  0"," 10","  0","  0","  0","  0","  1","  0","  1","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  6","  0"," 24","  0","  2"," 12","  0","  2","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  4","  1","  2","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  1","  2","  0"," 46"," 17"," 11"," 62","  0"," 73","  2","  5","  0","  1","  0","  0","  0","148","217","  5","  0","  0","  0","  1","  1","  0","  3","  6","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4"," 42","  0","  0","  0","  0","  9","  1","  0"
"224","367"," 82","130","  2","  0","  0"," 10"," 16","  0","  8","  5","  0"," 14","  0"," 12","  2","  0"," 13","  0"," 12","  0","  0","  0","  2","  0","  0","  1","  1","  0"," 11"," 81","  0","  0","  0","  0","  1","  0","  0","  2","  0"," 26","  0","  1"," 12","  1","  3","  0","  0"," 15","  0","  6","  2","  4","  6","  1","  1","  0","  0","  1","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 12","  0","  2","  7","  0"," 19"," 20"," 11"," 45","  0"," 93","  9"," 22","  0","  0","  0","  0","  0"," 88","184","  4","  0","  0","  2","  2","  3","  0","  3","  2","  0","  0","  2","  0","  0","  2","  1","  0","  0","  0","  2","  0","  4"," 88","  0","  0","  2","  0","  8","  0","  0"
"551","672","431","170","  4","  0","  0","  4","  5","  0","  3","  2","  0","  6","  3","  5","  0","  1"," 17","  0","  5","  0","  1","  0","  3","  1","  0","  3","  0","  0","  5","  9","  2","  0","  0","  0","  1","  0","  0","  3","  0"," 14","  0","  3","  3","  0","  0","  0","  0"," 36","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  0","  4","  1"," 35"," 16"," 10"," 36","  0","113","  4","  5","  0","  0","  0","  0","  0"," 51","220","  0","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  1","  5"," 18","  0","  1","  0","  0","  4","  0","  0"
"804","910","687","200","  2","  0","  0","  3"," 10","  0","  4","  4","  0"," 13","  1","  5","  0","  2"," 15","  0","  8","  2","  0","  0","  2","  0","  0","  2","  0","  0","  3"," 12","  1","  0","  0","  0","  1","  0","  0","  2","  0"," 13","  0","  1","  8","  0","  2","  0","  1"," 37","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  4","  2","  2","  1","  0","  1","  0","  0","  2","  0","  1","  0","  0"," 14","  0","  0","  2","  0"," 26"," 21"," 19"," 40","  0","135"," 10","  1","  0","  0","  0","  0","  0"," 50","309","  5","  0","  0","  0","  4","  0","  0","  4","  3","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  1","  1","  6"," 48","  0","  0","  0","  0"," 15","  0","  1"
" 978","1081"," 863"," 220","   3","   1","   0","   0","  10","   0","   3","   2","   0","   4","   2","   2","   0","   2","  15","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   1","   0","   2","   1","   0","   3","   0","   9","   0","   2","   2","   0","   0","   0","   1","  26","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   4","   0","  14","   8","   5","  26","   0","  34","   0","   1","   0","   0","   0","   1","   0","  58"," 318","   4","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","  38","   0","   0","   0","   0","   8","   0","   0"
"1067","1171"," 953"," 230","   4","   0","   0","   4","  16","   0","   1","   0","   0","  11","   1","   1","   0","   1","  45","   0","   9","   0","   0","   0","   1","   0","   4","   2","   0","   0","   0","   9","   0","   0","   0","   0","   0","   1","   0","   2","   0","  18","   1","   3","  17","   0","   0","   0","   1","  41","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   2","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   6","   1","   0","  29","  22","   6","  20","   0"," 104","   2","   6","   0","   0","   0","   0","   0","  69"," 435","   2","   0","   0","   1","   0","   0","   0","   1","   1","   1","   0","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","  34","   1","   0","   0","   0","  13","   0","   0"
"1250","1356","1137"," 250","   3","   0","   1","   1","  12","   0","   1","   2","   0","   5","   1","   5","   0","   0","  33","   0","  15","   0","   0","   0","   0","   0","   3","   2","   1","   0","   5","   6","   0","   0","   0","   0","   3","   0","   0","   5","   0","  10","   0","   3","   8","   0","   1","   0","   1","  42","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  13","   0","   1","   2","   0","  15","  17","  11","  37","   0","  74","   0","   0","   0","   0","   0","   0","   0","  83"," 545","   2","   0","   0","   0","   1","   0","   1","   2","   3","   0","   0","   2","   0","   2","   1","   0","   0","   0","   0","   1","   0","   3","  20","   0","   0","   0","   0","   7","   0","   0"
"1344","1451","1230"," 260","   2","   0","   0","   5","  38","   0","   6","   1","   0","  10","   0","  12","   0","   0","  18","   0","  20","   0","   0","   0","   0","   0","   0","   6","   0","   0","   7","  33","   5","   0","   0","   0","   1","   0","   0","   4","   0","  34","   1","   0","  11","   0","   5","   0","   0","  76","   1","   0","   0","   1","   2","   1","   0","   0","   1","   1","   0","   1","   0","   0","   2","   3","   6","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  29","   0","   1","  11","   0","   9","  30","  17","  16","   1"," 120","   7","   2","   0","   0","   0","   0","   0"," 101"," 267","   3","   0","   1","   1","   4","   7","   0","   2","   1","   0","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","  64","   1","   0","   0","   0","   8","   0","   0"
"1541","1650","1428"," 280","   2","   0","   0","   2","  12","   0","   1","   1","   0","   6","   0","   2","   0","   0","  16","   0","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   7","   0","   1","   0","   0","   0","   0","   0","   1","   0","  21","   0","   1","  13","   0","   0","   0","   0","  56","   0","   1","   0","   3","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   4","   1","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  20","   0","   2","   7","   0","   9","  22","   5","   9","   0","  87","   5","   1","   0","   0","   0","   0","   0","  55"," 257","   0","   0","   0","   2","   1","   2","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   1","   3","  45","   0","   0","   0","   0","  14","   0","   0"
