"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Closterium idiosporum-type","Collembola","Copepoda (type 179, HdV)","Corylus","Cupressaceae","Cyperaceae","Dictyosporiaceae","Dipsacaceae","Ephedra","Erica t.","Euastrum ansatum (type 984, HdV)","Euastrum bidentatum (type 985, HdV)","Euphorbia t.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Genisteae","Hydrocotyle","Invertebrata (type 219, HdV)","IsoÃ«tes","Juglans","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Oribatida","Petaloid monocot","Phillyrea","Pinus","Pinus undif.","Pistacia","Plantago","Pluricellaesporites","Poaceae","Pollen concentration","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea","Pteridophyta (monolete)","Puccinia","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rhizopoda","Rosa t.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Spermatophyta undiff. (aquatics)","Spirogyra (psilate)","TetraÃ«dron cf. T. minimum","Thalictrum","Thymelaeaceae undif.","Trichuris","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 224, HdV)","Unknown (type 304, HdV)","Unknown (type 988, HdV)","Viola","Vitis","charcoal"
" -49.0",NA,NA,"  0","1.3","0","0","0","0","10","0","0","14","8","5","0","0","6","0","0","0","0","0","6","4","0","0","0","0","17","6","0","0","0","0","0","0","1","0","0","0","0","14","4","0","0","0","1","2","0","147","0","1","23","0","0","1","0","8","0","0","0","1","4","85","68","3","12","0","22","47254","0","0","4","0","0","0","4","112","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","2","0","3","2","0","0","0","0","0","0","0","0","2","859384.6"
"1195.8",NA,NA,"108","1.6","0","0","0","0","8","0","0","7","10","0","0","7","9","0","0","1","4","0","3","6","0","1","1","0","8","2","0","0","4","0","8","2","1","1","32","0","0","218","2","0","0","0","0","0","0","154","0","0","1","0","0","1","0","6","0","4","0","0","4","76","68","2","7","4","38","25348.69","0","0","3","4","1","2","0","7","0","0","0","0","0","4","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","10","3","22","0","0","0","4","529375"
"1252.8",NA,NA,"112","1.6","0","0","0","0","14","0","0","15","15","0","0","13","0","0","0","0","1","0","13","8","0","0","1","0","11","3","12","0","3","0","9","17","0","3","0","1","0","259","0","0","0","0","0","2","1","113","0","0","0","0","0","0","0","3","0","4","1","0","0","81","70","9","4","7","33","31216.26","0","0","1","6","2","0","3","8","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","4","23","0","4","0","0","268375"
"1315.3",NA,NA,"116","1.3","0","0","0","0","24","0","0","0","1","1","0","23","2","0","0","1","0","0","0","0","0","0","1","0","13","6","0","0","2","7","1","4","1","2","28","0","0","555","1","0","1","0","0","1","0","165","0","0","0","0","0","1","0","1","0","0","0","0","0","91","78","2","12","29","66","30989.56","0","0","1","3","0","2","2","9","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","7","16","14","0","0","0","1","545769.2"
"1378.0",NA,NA,"120","1.5","0","0","0","0","16","0","0","8","14","0","1","11","1","0","0","1","1","0","0","0","0","1","1","0","8","1","0","0","0","0","1","11","0","2","41","0","0","332","0","0","0","0","1","1","1","146","0","0","2","0","0","1","0","1","0","0","1","0","0","84","76","0","13","7","47","29780.09","0","0","2","26","2","9","1","15","0","2","2","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","3","18","10","0","1","0","1","457466.7"
"1439.6",NA,NA,"124","1.7","0","4","0","0","16","0","0","8","1","1","0","1","12","0","0","1","0","0","0","0","0","1","1","0","12","12","0","0","0","0","4","7","1","1","57","1","0","316","0","0","0","0","1","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0","110","98","0","12","12","56","29317.71","0","0","0","23","0","0","0","12","1","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","27","3","0","1","0","1","279000"
"1502.4",NA,NA,"128","1.6","0","0","0","1","20","0","0","21","19","0","0","2","4","0","0","0","1","0","7","0","0","1","2","0","7","2","12","0","1","0","7","13","1","3","41","0","0","237","1","0","1","0","0","2","1","167","0","0","2","0","0","0","0","6","0","0","0","0","0","121","114","14","11","39","50","32481.53","0","0","0","16","1","2","3","12","0","0","3","0","0","2","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","36","24","13","0","1","0","0","250500"
"1565.4",NA,NA,"132","1.4","0","0","0","0","19","0","0","8","21","0","0","6","0","0","0","0","0","0","14","0","0","0","3","1","10","9","1","0","9","0","3","3","0","0","33","0","0","237","0","0","0","0","0","0","2","141","0","0","0","0","0","2","0","9","0","0","1","0","0","101","91","9","7","11","61","39011.09","0","0","0","48","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","13","7","0","1","0","0","271928.6"
"1630.3",NA,NA,"136","1.4","0","2","0","0","16","0","0","8","11","0","0","2","4","0","0","0","0","0","11","6","0","0","4","0","7","7","3","0","11","1","5","2","0","1","31","1","0","284","0","0","0","0","0","12","0","152","0","0","0","0","0","0","0","0","0","0","1","0","1","83","76","0","7","36","35","30883.5","0","0","0","21","0","1","0","12","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","21","55","4","0","2","0","0","401714.3"
"1693.3",NA,NA,"140","1.5","0","0","0","1","23","0","0","11","0","0","0","6","5","0","0","1","0","0","0","0","0","0","3","0","10","16","7","5","1","0","6","15","0","2","22","1","0","358","0","0","1","0","0","0","0","132","0","0","3","0","0","0","0","0","0","0","2","0","1","88","78","7","8","51","22","29518.04","0","0","0","6","1","0","5","12","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","14","58","25","0","0","0","0","369600"
