"age_NA","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Asteroideae undif.","Centaurea","Cichorieae","Cupressaceae","Fern","Lamiaceae undif.","Pinus undif.","Poaceae","Pollen concentration","Unknown"
NA,NA,NA,"16"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"
NA,NA,NA," 2"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0"," 3"," 1"
NA,NA,NA,"11"," 0"," 1"," 0"," 8"," 0"," 1"," 0","21"," 0","16"," 4"
NA,NA,NA,"20"," 0"," 0"," 0","12"," 4"," 0"," 1"," 6"," 0","15","15"
NA,NA,NA," 19","  0","  4","  0"," 20","  0","  0","  0","105","  0"," 82"," 41"
NA,NA,NA," 3"," 0"," 2"," 0"," 1"," 0"," 1"," 0","11"," 0","12","12"
NA,NA,NA,"18"," 0"," 2"," 0","76"," 0"," 1"," 0","38"," 0","66","18"
NA,NA,NA,"  1","  0","  0","  0"," 17","  0","  7","  0"," 36","  6","119","182"
NA,NA,NA,"14"," 0"," 1"," 1","52"," 0"," 0"," 0","31"," 3","47","10"
NA,NA,NA,"13"," 0"," 3"," 4"," 0"," 0"," 1"," 0","18"," 2","15"," 3"
NA,NA,NA,"15"," 0"," 4"," 0","60"," 0"," 4"," 0","69"," 3","80","37"
NA,NA,NA,"17"," 1"," 2"," 0","30"," 0"," 4"," 0","40"," 1","42","11"
