"age_NA","ageolder_BP","ageyounger_BP","depth","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fraxinus","Galium t.","Geranium","Haplophyllum","Heliotropium","Lamiaceae undif.","Linum t.","Lonicera","Lotus t.","Lycium","Lythrum","Malva","Matthiola","Myriophyllum spicatum/verticillatum t.","Nitraria","Papaver t.","Persicaria t.","Petaloid monocot","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Prosopis t.","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Ruta","Salix","Scrophulariaceae undif.","Sparganium","Tilia","Tribulus","Trifolium t.","Unknown","Urtica t.","Valerianella","Zea"
NA,NA,NA," 30","  0","  0","  0","350","  1","  7"," 21","  0"," 26"," 20","  0","  0","  4","  3","  2","  0"," 38"," 23","  0","  0","266","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  4","  0","109","  9"," 18","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 79","  0","  0","  0"," 32","  0","  0","  0"
NA,NA,NA,"220","  0","  0","  0","420","  0"," 11","  3","  0"," 28"," 20","  0","  0","  4","  2","  2","  0"," 33"," 32","  0","  2"," 81","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 25","  2","  0","150"," 35","110","  1","  3","  1","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0"," 52","  0","  1","  1"
NA,NA,NA,"260","  0","  0","  0","390","  0"," 19"," 35","  4"," 55"," 41","  1","  0","  6","  8","  3","  0"," 61"," 49","  0","  0"," 18","  1","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  2"," 29","  1","  0"," 66","  6"," 42","  0","  0","  6","  0","  0","  1","  0","  0","  0","  8","  0","  0","  0"," 78","  0","  0","  0"
NA,NA,NA," 80","  0","  0","  0","214","  0"," 10","103","  0"," 26"," 43","  0","  0","  1","  1","  5","  0"," 21"," 14","  1","  0","242","  0","  0","  1","  1","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 17","  2","  0","127"," 17"," 38","  0","  5","  0","  1","  0","  2","  1","  0","  0"," 91","  0","  1","  0"," 36","  0","  0","  0"
NA,NA,NA,"180","  0","  0","  0","886","  0"," 14"," 50","  3"," 46"," 49","  1","  1","  2","  6","  4","  0"," 74"," 44","  1","  0"," 74","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1"," 33","  0","  0","114","  7"," 82","  0","  0","  5","  0","  0","  1","  2","  0","  2"," 28","  0","  0","  0"," 54","  1","  0","  0"
NA,NA,NA,"240","  0","  0","  0","590","  7"," 14"," 12","  0"," 33"," 31","  0","  0"," 12","  2","  3","  1"," 42"," 61","  1","  0"," 60","  0","  0","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 47","  0","  0","130","  4","156","  0","  6","  0","  2","  0","  0","  3","  0","  0"," 11","  0","  0","  0"," 26","  0","  1","  0"
NA,NA,NA,"200","  0","  0","  0","737","  2"," 19"," 21","  0"," 56"," 26","  0","  0","  8","  6","  4","  0"," 65"," 99","  0","  0","154","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  4","  0","  2","  2","  1"," 35","  1","  0","327","  6"," 62","  0","  4","  4","  3","  3","  2","  0","  1","  0"," 64","  0","  0","  0"," 44","  0","  0","  0"
NA,NA,NA," 50","  0","  1","  0","159","  0"," 11"," 13","  0"," 31"," 20","  0","  0","  2","  6","  6","  0"," 23"," 23","  1","  0","117","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  2","  0","  1","  2","  2"," 16","  0","  0","188","  7","  2","  0","  4","  1","  1","  1","  1","  0","  1","  0"," 84","  0","  0","  1"," 26","  0","  0","  0"
NA,NA,NA,"150","  0","  0","  0","846","  0"," 43"," 14","  0"," 87"," 65","  1","  0","  3"," 16","  6","  0"," 69","149","  0","  0","140","  0","  1","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  2","  0","  0","  1","  0","  1"," 40","  2","  1","273","  9"," 24","  0","  6","  3","  6"," 21","  0","  0","  0","  0"," 34","  0","  0","  0"," 54","  0","  0","  1"
NA,NA,NA,"120","  1","  0","  1","642","  0"," 22"," 36","  0"," 68"," 81","  0","  0","  1"," 15","  5","  0"," 83","132","  1","  0","181","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  0","  4","  1","  0","  0","  1","  0","  0","  0","  0","  2","  2","  0","  3"," 43","  3","  0"," 36"," 45","  9","  0","  2","  4","  0","  1","  0","  0","  2","  2"," 74","  1","  0","  0"," 46","  0","  1","  0"
