"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Hypericum undif.","Lamiaceae undif.","Linum t.","Lythrum","Musci","Myrtus","Phillyrea","Pinus pinaster","Plantago","Poaceae","Quercus deciduous","Quercus subgen. Cerris","Salix","Typha","Unknown","Viburnum"
NA,NA,NA," 70.0","  0.0","  0.0","  9.0","  0.0","  0.0"," 33.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0"," 10.5","  0.0","  0.0","  0.0","  0.0","  0.0","  7.5","  0.0","  7.5","  0.0","  0.0"," 37.5"," 18.0"," 36.0","  0.0","  0.0","369.0","  0.0"
NA,NA,NA," 60","  0","  0"," 12","  0","  0"," 33","  0"," 15"," 15","  0","  0","  3"," 15","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0"," 18"," 30"," 72","  0","  0","495","  0"
NA,NA,NA,"100.0","  0.0","  0.0","  4.5","  0.0","  0.0"," 13.5","  0.0","  0.0"," 18.0","  0.0","  0.0","  4.5"," 58.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.5"," 13.5","  9.0","  0.0","  0.0"," 22.5"," 54.0"," 58.5","  0.0","  0.0","540.0","  0.0"
NA,NA,NA," 50.0","  0.0","  4.5"," 22.5","  0.0","  0.0"," 31.5","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0"," 18.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.5","  0.0"," 15.0","  0.0","  4.5"," 31.5"," 27.0"," 28.5","  0.0","  0.0","411.0","  0.0"
NA,NA,NA," 85.0","  1.5","  0.0","  4.5","  1.5","  0.0"," 10.5","  0.0","  0.0"," 18.0","  0.0","  0.0","  3.0"," 25.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.5","  4.5","  0.0","  0.0","  0.0"," 22.5"," 31.5"," 34.5","  0.0","  0.0","348.0","  0.0"
NA,NA,NA," 65.0","  0.0","  0.0","  7.5","  0.0","  1.5"," 30.0","  0.0","  7.5"," 10.5","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  7.5","  0.0","  0.0"," 30.0"," 15.0"," 37.5","  0.0","  0.0","336.0","  0.0"
NA,NA,NA," 90.0","  0.0","  3.0","  6.0","  0.0","  1.5","  7.5","  0.0","  1.5"," 13.5","  0.0","  0.0","  0.0"," 43.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.5","  0.0","  3.0","  0.0","  3.0"," 49.5"," 31.5"," 36.0","  0.0","  0.0","432.0","  0.0"
NA,NA,NA,"150.0","  0.0","  0.0","  3.0","  0.0","  0.0","  7.5","  0.0","  0.0"," 16.5","  0.0","  1.5","  0.0"," 43.5","  0.0","  0.0","  0.0","  0.0","  0.0"," 19.5","  3.0","  9.0","  3.0","  1.5"," 16.5","  4.5"," 13.5","  0.0","  0.0","285.0","  0.0"
NA,NA,NA,"115.0","  0.0","  1.5","  3.0","  0.0","  3.0","  6.0","  0.0","  0.0"," 13.5","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 18.0","  0.0","  0.0","  1.5","  0.0"," 39.0"," 25.5"," 30.0","  0.0","  0.0","339.0","  1.5"
NA,NA,NA,"130","  0","  0","  3","  3","  6"," 12","  0","  0"," 15","  0","  0","  3"," 63","  0","  0","  0","  0","  0"," 27","  0","  3","  6","  0"," 24"," 21"," 39","  0","  0","450","  0"
NA,NA,NA,"  5.0","  0.0","  3.0","  3.0","  1.5","  0.0"," 15.0","  0.0","  0.0","  3.0","  3.0","  0.0","  1.5"," 22.5","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0"," 15.0"," 18.0"," 67.5","  7.5","  0.0","339.0","  0.0"
NA,NA,NA,"140.0","  1.5","  0.0"," 18.0","  0.0","  3.0"," 22.5","  0.0","  0.0"," 36.0","  0.0","  0.0","  7.5","130.5","  0.0","  0.0","  0.0","  0.0","  6.0"," 22.5","  4.5","  7.5","  0.0","  0.0"," 52.5"," 12.0"," 21.0","  0.0","  0.0","690.0","  0.0"
NA,NA,NA,"120.0","  0.0","  3.0","  7.5","  0.0","  1.5","  6.0","  0.0","  0.0"," 24.0","  3.0","  4.5","  0.0"," 78.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  6.0","  1.5","  0.0","  0.0"," 24.0"," 15.0"," 28.5","  0.0","  0.0","411.0","  0.0"
NA,NA,NA," 80","  0","  0","  6","  3","  3","  9","  0","  9","  6","  3","  0","  0"," 27","  0","  0","  0","  3","  0"," 42","  0","  3","  0","  0"," 36"," 42"," 78","  0","  0","540","  0"
NA,NA,NA," 55.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 22.5","  0.0"," 13.5","  4.5","  0.0","  4.5","  0.0"," 27.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 13.5","  0.0"," 13.5","  4.5","  0.0"," 40.5"," 36.0"," 52.5","  0.0","  0.0","490.5","  0.0"
NA,NA,NA," 95.0","  1.5","  3.0","  4.5","  0.0","  1.5","  6.0","  0.0","  1.5"," 12.0","  0.0","  0.0","  0.0"," 37.5","  0.0","  0.0","  0.0","  1.5","  0.0"," 15.0","  0.0","  3.0","  0.0","  1.5"," 46.5"," 28.5"," 30.0","  0.0","  0.0","387.0","  0.0"
NA,NA,NA,"105.0","  1.5","  0.0"," 12.0","  0.0","  0.0"," 13.5","  0.0","  3.0"," 30.0","  0.0","  0.0","  0.0"," 54.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 25.5"," 18.0","  6.0","  3.0","  1.5"," 36.0"," 19.5"," 28.5","  0.0","  1.5","507.0","  0.0"
NA,NA,NA," 20.0","  1.5","  0.0","  0.0","  0.0","  0.0"," 19.5","  0.0","  0.0","  0.0","  0.0"," 12.0","  1.5"," 22.5","  0.0","  0.0","  0.0","  0.0","  1.5","  4.5","  3.0"," 21.0","  1.5","  4.5"," 30.0"," 22.5"," 33.0","  4.5","  0.0","366.0","  0.0"
NA,NA,NA," 15.0","  0.0","  1.5","  7.5","  0.0","  1.5"," 49.5","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0"," 27.0","  0.0","  4.5","  0.0","  0.0","  0.0"," 15.0","  6.0"," 15.0","  0.0","  1.5"," 19.5"," 34.5"," 51.0","  4.5","  0.0","495.0","  0.0"
NA,NA,NA," 75.0","  1.5","  0.0","  9.0","  0.0","  3.0"," 21.0","  0.0","  6.0","  4.5","  0.0","  3.0","  0.0"," 16.5","  1.5","  3.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  0.0","  0.0"," 43.5"," 18.0"," 33.0","  0.0","  4.5","412.5","  0.0"
NA,NA,NA," 35.0","  0.0","  0.0","  4.5","  0.0","  0.0"," 18.0","  0.0","  9.0","  9.0","  4.5"," 13.5","  0.0","  4.5","  0.0"," 22.5","  0.0","  0.0","  0.0","  9.0","  4.5","  3.0","  0.0","  9.0"," 31.5"," 13.5"," 36.0","  0.0","  0.0","393.0","  4.5"
NA,NA,NA,"110.0","  0.0","  1.5"," 18.0","  0.0","  1.5"," 12.0","  0.0","  1.5"," 25.5","  0.0","  6.0","  0.0"," 63.0","  0.0","  0.0","  1.5","  0.0","  0.0"," 19.5","  0.0","  4.5","  1.5","  1.5"," 45.0"," 30.0"," 40.5","  0.0","  1.5","549.0","  0.0"
NA,NA,NA," 25.0","  1.5","  0.0","  0.0","  3.0","  0.0"," 21.0","  0.0","  0.0","  3.0","  1.5","  9.0","  1.5","  9.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 22.5","  0.0","  6.0","  0.0","  1.5"," 48.0"," 16.5"," 30.0","  3.0","  0.0","369.0","  4.5"
NA,NA,NA," 30.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 18.0","  0.0","  9.0","  9.0","  0.0"," 21.0","  0.0","  3.0","  0.0","  9.0","  6.0","  1.5","  0.0"," 36.0","  9.0"," 10.5","  0.0","  9.0"," 45.0"," 12.0"," 45.0","  0.0","  0.0","516.0"," 12.0"
NA,NA,NA," 10.0","  1.5","  4.5","  0.0","  0.0","  1.5"," 25.5","  0.0","  1.5","  1.5","  0.0","  0.0","  0.0"," 43.5","  1.5","  6.0","  0.0","  0.0","  0.0","  4.5","  4.5","  6.0","  3.0","  3.0"," 10.5"," 27.0"," 34.5","  6.0","  0.0","372.0","  0.0"
NA,NA,NA," 40.0","  3.0","  3.0","  0.0","  1.5","  0.0"," 21.0","  0.0"," 18.0","  9.0","  6.0"," 15.0","  0.0","  9.0","  0.0","  3.0","  4.5","  0.0","  0.0"," 15.0","  0.0","  6.0","  0.0","  6.0"," 45.0"," 24.0"," 57.0","  0.0","  0.0","522.0"," 15.0"
NA,NA,NA,"  0.0","  0.0","  1.5","  4.5","  0.0","  0.0"," 18.0","  1.5","  0.0","  4.5","  3.0","  0.0","  0.0"," 30.0","  3.0","  1.5","  0.0","  0.0","  3.0","  3.0","  4.5"," 13.5","  1.5","  3.0"," 24.0"," 22.5"," 90.0","  7.5","  0.0","480.0","  0.0"
NA,NA,NA," 45.0","  0.0","  0.0","  4.5","  0.0","  3.0"," 28.5","  0.0"," 15.0"," 12.0","  0.0","  9.0","  1.5","  9.0","  0.0","  6.0","  6.0","  0.0","  0.0"," 10.5","  3.0","  6.0","  0.0","  1.5"," 64.5"," 12.0"," 24.0","  0.0"," 28.5","498.0","  4.5"
