"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Calluna","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Lamiaceae undif.","Lonicera","Olea t.","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Rumex t.","Salix","Thymelaeaceae undif.","Urtica t."
"-19",NA,NA,"  2","  1","  2","  2","  2","  1","  0","  2","  0","  4","  1","  1"," 13","  4","  5","133","  2","  3","  1"," 29","  3","  8","  4","  0"," 19","  1","  3"," 11"," 53","  2"," 16","  0","  9"," 13","  5","  4","  4","  1"
" 49",NA,NA,"  4","  2","  3","  1","  3","  2","  0","  1","  0","  5","  2","  0"," 12","  2","  7","141","  2","  2","  2"," 27","  4","  7","  3","  0"," 23","  0","  4","  3"," 29","  3"," 21","  0","  8","  9","  6","  3","  5","  1"
"119",NA,NA,"  6","  1","  3","  1","  4","  1","  0","  3","  2","  4","  1","  0"," 15","  1"," 11","153","  3","  3","  2"," 32","  5","  8","  5","  0"," 21","  0","  2","  2","  2","  2"," 23","  0","  7"," 11","  4","  5","  5","  0"
"191",NA,NA,"  8","  2","  2","  1","  3","  0","  0","  3","  1","  6","  3","  0"," 17","  2"," 35","134","  2","  5","  1"," 15"," 13","  7","  4","  0","  2","  0","  4","  4","  3","  4"," 15","  0","  9","  8","  8","  6","  3","  0"
"266",NA,NA," 10","  1","  1","  1","  2"," 11","  0","  3","  0"," 13","  2","  3"," 26","  3","  6","156","  3","  6","  3"," 33","  7","  6","  4","  0","  1","  0","  9","  3","  4","  3"," 14","  0","  2"," 21","  6","  0","  2","  0"
"346",NA,NA," 12","  0","  4","  2","  4","  0","  2","  2","  0","  4","  2","  2"," 11","  2"," 43","167","  1","  4","  0"," 18"," 24","  7","  3","  0","  2","  2","  5","  3","  3","  3"," 23","  0","  8","  7","  6","  4","  4","  0"
"430",NA,NA," 14","  0","  3","  1","  3","  0","  1","  5","  0","  3","  4","  1","  9","  3"," 50","129","  4","  6","  0"," 18"," 25","  6","  2","  1","  0","  3","  4","  2","  2","  0"," 22","  0","  7","  6","  7","  3","  3","  2"
"520",NA,NA," 16","  2","  2","  2","  5","  3","  0","  4","  0","  4","  3","  3","  8","  4"," 39","189","  3","  7","  1"," 21"," 15","  7","  5","  0","  2","  1","  5","  1","  0","  0"," 18","  0","  9","  5","  6","  4","  4","  1"
"617",NA,NA," 18","  3","  4","  3","  0","  2","  0","  5","  1","  5","  2","  2"," 12","  2"," 23","211","  2","  6","  2"," 17"," 18","  5","  4","  0","  1","  1","  3","  3","  0","  3"," 30","  2","  7","  7","  6","  5","  2","  3"
"722",NA,NA," 20","  0","  3","  3","  0","  0","  0","  4","  2","  4","  1","  1"," 11","  1"," 33","203","  4","  7","  1"," 14"," 22","  8","  6","  0","  2","  0","  2","  2","  5","  4"," 25","  3","  9","  8","  4","  4","  3","  0"
