"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Centaurea","Cercophora undiff.","Chaetomium undiff.","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Fabaceae Undif.","Glomus cf. G. fasciculatum","Lamiaceae undif.","Malva","Petaloid monocot","Pinus nigra/sylvestris t.","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Resedaceae undiff.","Rumex t.","Scrophulariaceae undif.","Sordaria undiff.","Sporormiella undiff.","Ulmus t.","Urtica t."
NA,NA,NA," 3"," 0","17"," 1","22","21"," 2","36"," 5"," 1","13"," 0","69"," 8"," 0"," 2"," 0"," 0"," 1"," 2"," 0"," 2"," 6"," 1"," 8","68"," 0"," 4"," 0"," 4","13"," 0"," 7"," 5","24","21"," 1","23"
NA,NA,NA," 2"," 0","23"," 1","21","19"," 2","43"," 4"," 2"," 9"," 0","88"," 8"," 0"," 1"," 0"," 0"," 2"," 2"," 3"," 1"," 5"," 2"," 6","57"," 0"," 2"," 0"," 3","19"," 1"," 4"," 4","39","13"," 0","21"
NA,NA,NA," 1"," 0","21"," 2","13","11"," 2","34"," 4"," 2","11"," 0","77"," 5"," 0"," 2"," 0"," 1"," 2"," 2"," 3"," 2"," 5"," 2"," 8","63"," 0"," 2"," 1"," 2","23"," 2"," 3"," 3","23","13"," 2","13"
NA,NA,NA,"11"," 1","13"," 0","13"," 9"," 5","22"," 5"," 2"," 7"," 9","45","10"," 1"," 4"," 0"," 0"," 7"," 5"," 1"," 2"," 2"," 4","12","42"," 0"," 1"," 2"," 4","48"," 1"," 1"," 5"," 9"," 8"," 6"," 8"
NA,NA,NA," 9"," 0","21"," 0"," 9"," 5"," 5","21"," 5"," 1"," 5","13","39"," 7"," 0"," 5"," 1"," 2"," 4"," 8"," 1"," 1"," 2"," 6","11","39"," 0"," 2"," 2"," 1","42"," 1"," 2"," 4"," 7"," 6"," 2"," 9"
NA,NA,NA,"10"," 2","17"," 2"," 9"," 8"," 4","15"," 4"," 1"," 5","21","61"," 9"," 0"," 3"," 0"," 1"," 5"," 8"," 0"," 2"," 3"," 5","13","27"," 0"," 1"," 4"," 3","51"," 2"," 2"," 4"," 8"," 5"," 5"," 9"
NA,NA,NA," 8"," 1","13"," 2","11"," 7"," 5","19"," 6"," 2"," 5"," 1","43"," 7"," 0"," 4"," 1"," 1"," 4"," 5"," 0"," 3"," 3"," 5"," 8","44"," 0"," 2"," 2"," 5","35"," 2"," 2"," 4"," 7"," 5"," 2","11"
NA,NA,NA," 6"," 2","13"," 2"," 9"," 4"," 3","23"," 5"," 1"," 4"," 1","66"," 8"," 0"," 3"," 0"," 1"," 3"," 8","23"," 3"," 3"," 5"," 9","26"," 0"," 2"," 3"," 5","39"," 1"," 2"," 4"," 5"," 9"," 3"," 5"
NA,NA,NA," 7"," 3","15"," 1"," 8"," 5"," 4","34"," 5"," 2"," 6"," 2","59","10"," 1"," 2"," 0"," 0"," 3"," 7","31"," 2"," 3"," 5","11","33"," 0"," 3"," 3"," 4","49"," 2"," 2"," 5"," 8","11"," 3"," 6"
NA,NA,NA," 5"," 1","17"," 4","12"," 9"," 4","19"," 4"," 1"," 9"," 1","58"," 6"," 0"," 3"," 1"," 1"," 3"," 4"," 8"," 2"," 2"," 1"," 9","56"," 0"," 4"," 2"," 4","26"," 2"," 2"," 4","13","13"," 2","17"
NA,NA,NA,"13"," 3","19"," 1","13"," 9"," 5","29"," 5"," 3"," 8","21","37","12"," 2"," 6"," 0"," 2"," 5"," 4"," 3"," 3"," 5"," 8","12","36"," 0"," 1"," 5"," 8","53"," 2"," 3"," 4"," 9","13"," 5"," 5"
NA,NA,NA," 4"," 2","14"," 5","11","11"," 3","25"," 4"," 2"," 7"," 2","44"," 7"," 0"," 2"," 2"," 2"," 1"," 2"," 4"," 3"," 3"," 2","11","44"," 0"," 1"," 4"," 3","27"," 2"," 1"," 2","11","11"," 2","13"
NA,NA,NA,"18","12"," 9"," 4"," 3"," 5"," 5","13"," 3"," 0"," 7"," 6","17","14"," 5","11"," 3"," 3"," 3"," 4"," 8"," 7"," 1"," 2"," 9","25"," 0"," 1","12"," 6","80"," 3"," 2"," 7"," 8"," 7","16"," 5"
NA,NA,NA,"12"," 2","21"," 2","11"," 5"," 6","26"," 4"," 2"," 5","13","33","14"," 1"," 5"," 1"," 1"," 8"," 6"," 2"," 1"," 2"," 5"," 9","40"," 0"," 2"," 3"," 7","49"," 2"," 1"," 6"," 8","11"," 6"," 9"
NA,NA,NA,"15","11"," 8"," 2"," 7"," 9"," 4","13"," 3"," 2"," 6","18","19","10"," 3","13"," 5"," 1"," 2"," 5"," 8"," 3"," 1"," 5","17","19"," 0"," 3","11"," 6","83"," 3"," 1"," 4"," 3"," 2","15"," 4"
NA,NA,NA,"17"," 9","10"," 2"," 4"," 4"," 2"," 9"," 3"," 2"," 5"," 7","13","11"," 3"," 9"," 3"," 1"," 4"," 2"," 5"," 5"," 3"," 3"," 9","19"," 0"," 2","13"," 5","76"," 3"," 2"," 4"," 5","11","21"," 4"
NA,NA,NA,"14"," 8","11"," 2"," 8","11"," 6","11"," 4"," 3"," 3","33","23"," 6"," 4","11"," 3"," 2"," 1"," 3"," 6"," 4"," 2"," 3","13","21","19"," 2","13"," 5","78"," 2"," 1"," 3"," 2"," 4","13"," 7"
NA,NA,NA,"16","13"," 8"," 2"," 6"," 5"," 8","15"," 2"," 3"," 3","23","21"," 7"," 3","12"," 2"," 2"," 3"," 6"," 5"," 4"," 2"," 3","12","23","31"," 2","12"," 5","69"," 1"," 2"," 4"," 4"," 4","14"," 5"
