"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cannabaceae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cyperaceae","Ephedra","Fabaceae Undif.","Fern","Juglans","Juncaceae","Lamiaceae undif.","Lythrum","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Sanguisorba t.","Sesamum","Tamarix","Triletes","Typha","Unknown"
"788",NA,NA," 26","  0","  0","  4","  0","  0"," 10","  7","  0","  0","  0","  1","  0","241"," 22","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  2","  0","  9"," 73","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  2","  0"
"849",NA,NA," 28","  0","  0","  8","  1","  0","  8","  8","  0","  0","  0","  0","  0","266"," 27","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  5","  0","  2"," 74","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  3","  0"
"910",NA,NA," 30","  0","  0","  5","  2","  0","  9","  9","  0","  0","  0","  0","  0","268"," 25","  0","  1","  0","  0"," 13","  3","  0","  0","  0","  0","  2","  0","  1"," 73","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0"
"970",NA,NA," 32","  0","  0","  6","  0","  1"," 11","  9","  0","  2","  0","  1","  0","279"," 25","  0","  0","  0","  0"," 24","  0","  0","  1","  0","  0","  2","  0","  4"," 65","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  5","  0"
"1031",NA,NA,"  34","   0","   0","   2","   2","   1","   8","   6","   0","   1","   0","   0","   1"," 268","  27","   0","   0","   0","   0","  19","   0","   0","   0","   0","   1","   2","   0","   3","  68","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0"
"1092",NA,NA,"  36","   0","   0","   5","   0","   0","   8","   6","   0","   0","   0","   1","   0"," 295","  38","   0","   1","   0","   0","  26","   1","   0","   0","   0","   0","   5","   0","   2","  59","   0","   1","   0","   0","   1","   0","   2","   0","   0","   0","   0","   1","   0"
"1152",NA,NA,"  38","   0","   1","   7","   0","   0","   9","   5","   0","   0","   0","   0","   2"," 287","  30","   0","   1","   0","   0","  16","   0","   0","   0","   0","   0","   2","   0","   5","  70","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0"
"1213",NA,NA,"  40","   0","   1","   4","   3","   0","  11","   5","   0","   0","   0","   0","   2"," 282","  29","   0","   2","   0","   0","  11","   1","   0","   0","   0","   0","   4","   0","   4","  72","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1304",NA,NA,"  43","   0","   0","   2","   2","   1","   7","   3","   0","   1","   0","   0","   3"," 248","  20","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1","  62","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"1334",NA,NA,"  44","   0","   1","  11","   1","   0","  11","   2","   0","   0","   0","   0","   2"," 280","  37","   0","   0","   0","   0","  36","   1","   0","   0","   0","   1","   2","   0","  16","  38","   0","   0","   6","   0","   0","   0","   4","   0","   0","   0","   0","   4","   0"
