"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calicotome","Calligonum","Cannabaceae undif.","Cannabis","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Casuarina","Casuarina/Corylus","Cedrus","Celtis","Centaurea","Ceratonia","Chrozophora","Cichorieae","Cistaceae","Combretaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern-Lycopodiaceae","Fraxinus","Geranium","Haplophyllum","Hepaticae","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Musci","Myrtaceae undif.","Nitraria","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potamogeton","Prosopis t.","Protist","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Riccia","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Searsia","Styrax","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Unknown (monolete, non-psilate)","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Vitis","Zygophyllum t."
"-41.0",NA,NA,"  2.5","  0.0","  0.0","  1.0","124.0","  2.0"," 25.0","  0.0"," 19.0"," 10.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  2.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0"," 18.0","  0.0","  0.0","  0.0"," 18.0","  3.0","  3.0","  0.0"," 18.0","  1.0","112.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  6.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  2.0","  0.0"," 32.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"
" 56.0",NA,NA," 17.5","  0.0","  0.0","  0.0","110.0","  3.0"," 35.0","  0.0"," 16.0","  6.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  1.0","  9.0","  2.0","  8.0","  0.0","  9.0","  4.0","104.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 15.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0"," 50.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"161.0",NA,NA," 33.5","  0.0","  0.0","  0.0","126.0","  0.0"," 18.0","  0.0"," 26.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  2.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 13.0","  1.0","  0.0","  0.0"," 13.0","  0.0","  7.0","  0.0"," 17.0","  1.0","439.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 206.0",NA,NA,"  40.5","   0.0","   2.0","   0.0","  97.0","   0.0","  50.0","   0.0","  33.0","   0.0","   0.0","  26.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  28.0","   0.0","   0.0","   1.0","   3.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","  30.0","   1.0","   0.0","   0.0","  19.0","   6.0","   7.0","   0.0","  31.0","   3.0","9792.0","   1.0","   0.0","   0.0","   0.0","   0.0","  10.0","   4.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   1.0","   1.0","   4.0","   0.0","   0.0","   2.0","   1.0","   0.0","   2.0","   5.0","   0.0","  40.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"214.0",NA,NA," 41.7","  0.0","  0.0","  1.0"," 70.0","  0.0"," 31.0","  0.0"," 25.0","  1.0","  0.0"," 13.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  1.0","  6.0","  9.0","  0.0","  0.0","  0.0"," 10.0","  4.0"," 13.0","  0.0"," 35.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  9.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 34.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"  227.0",NA,NA,"   43.7","    0.0","    0.0","    0.0","  101.0","    3.0","   39.0","    0.0","   17.0","    0.0","    0.0","   13.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   17.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","   16.0","    0.0","    0.0","    0.0","    3.0","    3.0","   15.0","    0.0","   27.0","    3.0","18238.0","    0.0","    0.0","    0.0","    0.0","    0.0","   19.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    9.0","    0.0","    0.0","    1.0","    1.0","    1.0","    1.0","    3.0","    0.0","   40.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"240.0",NA,NA," 45.7","  0.0","  1.0","  0.0"," 64.0","  1.0"," 59.0","  0.0"," 16.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0","  0.0","  2.0","  4.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  9.0","  7.0"," 24.0","  0.0"," 57.0"," 11.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  2.0","  2.0","  3.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"," 42.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"275.0",NA,NA," 51.1","  0.0","  0.0","  0.0"," 72.0","  2.0"," 41.0","  0.0"," 19.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0"," 10.0","  0.0","  0.0","  0.0"," 11.0"," 11.0"," 20.0","  0.0"," 54.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 30.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  1.0","  9.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"
"  297.0",NA,NA,"   54.5","    0.0","    0.0","    0.0","  140.0","    8.0","   66.0","    0.0","   14.0","    0.0","    0.0","    5.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   26.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","   10.0","    0.0","    0.0","    0.0","   19.0","    4.0","    6.0","    0.0","   23.0","    5.0","10427.0","    1.0","    0.0","    0.0","    0.0","    0.0","   30.0","    3.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","    3.0","    0.0","    8.0","    0.0","    0.0","    4.0","    0.0","    0.0","    1.0","    1.0","    0.0","   42.0","    0.0","    1.0","    0.0","    1.0","    1.0","    0.0","    0.0"
" 408.0",NA,NA,"  71.5","   0.0","   0.0","   0.0","  81.0","   1.0","  57.0","   0.0","  11.0","   0.0","   0.0","   4.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","  26.0","   0.0","   0.0","   0.0","  15.0","   5.0","   9.0","   0.0","  13.0","   4.0","2500.0","   0.0","   0.0","   0.0","   0.0","   0.0","  31.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","   6.0","   0.0","   0.0","   4.0","   1.0","   0.0","   1.0","   1.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
