"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hypecoum","Hypericum undif.","Ilex","Juncaceae","Lamiaceae undif.","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Menyanthes","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Paronychieae","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Thesium","Thymelaeaceae undif.","Typha","Unknown","Urtica t.","Valeriana","Valerianella","Viburnum","Viscum","Vitis"
"  -54",NA,NA,"  1","0.7","0","0","0","0","1","0","0","0","0","14","0","1","0","71","0","0","0","0","0","0","2","0","0","0","0","3","0","0","1","142","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","1","0","71","0","4","20","1","598124.5","0","0","0","0","36","24","0","0","0","1","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"  -40",NA,NA,"  4","0.5","0","1","0","2","0","0","0","0","0","19","0","1","0","71","1","0","5","0","0","0","5","0","0","0","0","0","0","0","0","142","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","18","0","1","55","48","334393.94","0","0","0","0","22","15","0","0","0","0","3","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0"
"  -31",NA,NA,"  6","0.6","0","1","0","1","2","0","3","0","0","23","0","2","0","53","0","0","2","0","0","1","5","0","0","0","0","5","0","0","0","185","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","6","0","0","0","0","2","0","10","1","1","61","23","260831.25","0","0","0","0","24","13","0","0","0","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"  -21",NA,NA,"  8","0.5","0","2","2","1","0","0","0","0","0","22","0","0","0","55","0","0","2","0","0","0","3","0","0","1","0","3","0","0","0","158","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","0","2","0","8","0","2","50","23","302628.25","0","0","0","3","20","10","1","0","0","0","0","0","0","2","0","0","0","0","0","14","0","0","0","0","0","0"
"  -12",NA,NA," 10","0.5","0","0","1","2","0","1","0","1","0","28","0","1","0","49","0","0","1","0","0","1","3","0","0","0","0","10","0","0","1","152","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","0","2","1","3","0","0","116","2","569746.19","1","0","0","2","23","15","2","0","0","6","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0"
"   49",NA,NA," 12","0.5","0","0","0","1","2","0","3","0","0","21","0","1","0","25","1","0","0","0","0","2","4","0","0","0","0","3","0","0","0","143","0","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","9","0","1","0","0","3","1","5","0","1","109","0","300145.94","0","0","0","6","16","11","1","0","0","3","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0"
"  194",NA,NA," 14","0.5","0","0","0","2","3","0","0","0","1","67","0","2","0","18","0","0","0","0","0","4","10","0","0","0","0","10","0","0","0","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5","0","0","0","0","1","0","0","0","0","95","0","220277.66","0","0","0","7","27","22","0","0","0","0","0","0","1","0","0","0","0","0","0","24","0","0","0","0","0","0"
"  267",NA,NA," 15","0.6","0","1","0","1","5","0","0","0","0","41","0","1","0","12","0","0","0","1","0","2","7","0","0","1","0","2","0","0","0","124","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0","4","0","3","112","2","434938.88","0","0","0","2","19","7","0","0","0","3","1","0","1","0","0","0","0","0","0","35","0","0","0","0","0","0"
"  340",NA,NA," 16","0.5","0","1","0","1","2","1","3","0","0","130","0","0","0","22","1","0","0","0","0","16","8","0","0","0","0","4","0","0","0","142","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","1","0","1","0","0","63","0","392932.25","0","0","0","3","26","15","1","0","0","2","2","0","0","3","0","0","0","0","0","144","0","0","0","0","0","0"
"  413",NA,NA," 17","0.6","0","1","0","4","1","0","1","0","0","125","0","0","0","12","0","1","0","0","0","0","3","0","0","0","0","8","0","0","0","110","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","2","0","0","0","0","1","1","1","0","5","69","0","493840.5","0","0","0","1","24","7","1","1","1","0","2","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0"
"  485",NA,NA," 18","0.5","0","1","2","2","4","1","1","0","0","197","0","1","0","23","0","0","1","0","0","3","6","0","0","0","0","14","0","0","0","82","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","1","0","0","64","0","480588.44","1","0","0","2","31","5","0","1","0","1","1","0","1","1","0","2","0","0","0","4","1","0","0","0","0","0"
"  558",NA,NA," 19","0.6","0","0","0","0","0","0","0","0","0","357","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","34","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","2","0","3","46","1","723939.81","0","0","0","0","20","6","0","0","0","0","1","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0"
"  631",NA,NA," 20","0.6","0","2","0","0","3","0","0","0","0","433","0","1","0","3","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","28","1","809156.5","0","0","0","0","44","10","0","0","0","1","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0"
