"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Erica t.","Fern","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hypericum undif.","Ilex","Lamiaceae undif.","Musci","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Spergularia t.","Ulmus t.","Viola","Vitis"
"499.900",NA,NA,"  0.000","  0.282","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  4.000","  0.000","  2.000","  0.000","  0.000","  1.000","  1.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","144.000","  8.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  1.000"," 25.000","  0.000","  0.000","  0.000","  0.000","  1.000"," 58.000","  3.000","  0.000","669.000","  4.000","  0.000","  0.000"," 17.000","  6.000","  1.000","  0.000","  0.000"," 13.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000"
"592.030",NA,NA," 10.000","  0.282","  3.000","  0.000","  0.000","  1.000","  0.000","  3.000","  0.000","  1.000"," 12.000","  0.000","  4.000","  0.000","  1.000","  5.000","  1.000","  0.000","  1.000","  0.000","  0.000","  1.000","  1.000","  3.000","  0.000","  0.000","342.000","  3.000","  0.000","  1.000","  4.000","  0.000","  4.000","  0.000","  0.000","  0.000"," 14.000"," 35.000","  3.000","  0.000","  1.000","  0.000","  1.000"," 21.000","  3.000","  3.000"," 90.000","  8.000","  0.000","  0.000"," 43.000","  2.000","  2.000","  0.000","  0.000"," 11.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000"
"684.150",NA,NA," 20.000","  0.282","  4.000","  1.000","  3.000","  8.000","  0.000","  5.000","  0.000","  1.000"," 20.000","  0.000","  0.000","  0.000","  0.000","  2.000","  1.000","  0.000"," 13.000","  0.000","  0.000","  0.000","  1.000","  1.000","  1.000","  0.000","397.000","  5.000","  0.000","  1.000","  5.000","  0.000","  6.000","  2.000","  1.000","  1.000","  9.000"," 33.000","  0.000","  0.000","  1.000","  0.000","  1.000"," 15.000","  2.000","  2.000","159.000","  6.000","  0.000","  0.000"," 59.000"," 12.000","  1.000","  0.000","  1.000"," 16.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"
"776.280",NA,NA," 30.000","  0.282","  0.000","  0.000","  0.000","  3.000","  0.000","  3.000","  0.000","  0.000","  6.000","  0.000","  4.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","263.000"," 10.000","  1.000","  0.000","  6.000","  0.000","  6.000","  2.000","  0.000","  0.000","  5.000"," 30.000","  0.000","  2.000","  1.000","  0.000","  0.000","  7.000","  0.000","  1.000","309.000","  7.000","  0.000","  0.000"," 39.000","  3.000","  1.000","  1.000","  0.000"," 11.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000"
"1242.810",NA,NA,"  40.000","   0.282","   8.000","   0.000","   0.000","   7.000","   1.000","   6.000","   1.000","   1.000"," 210.000","   0.000","   5.000","   2.000","   0.000","   1.000","   4.000","   0.000","   3.000","   0.000","   0.000","   3.000","   2.000","   0.000","   1.000","   1.000"," 268.000","   7.000","   0.000","   0.000","   2.000","   0.000","   1.000","   1.000","   1.000","   0.000","   6.000","   4.000","   1.000","   0.000","   6.000","   0.000","   2.000","   3.000","   4.000","   1.000"," 253.000","   4.000","   0.000","   0.000"," 174.000","   9.000","   1.000","   0.000","   0.000","  12.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"1709.340",NA,NA,"  50.000","   0.282","   6.000","   1.000","   1.000","   5.000","   0.000","   1.000","   1.000","   1.000"," 434.000","   1.000","   3.000","   0.000","   0.000","   2.000","   5.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000"," 173.000","   5.000","   0.000","   1.000","   9.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   2.000","   0.000","   1.000","   4.000","   0.000","   0.000","   2.000","   1.000","   1.000"," 703.000","   3.000","   0.000","   0.000"," 213.000","  14.000","  12.000","   0.000","   0.000","  10.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"2175.870",NA,NA,"  60.000","   0.282","   5.000","   1.000","   1.000","   3.000","   0.000","   3.000","   0.000","   1.000"," 310.000","   0.000","   7.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 147.000","   4.000","   1.000","   1.000","   7.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   2.000","   0.000","   0.000"," 446.000","   0.000","   1.000","   0.000"," 153.000","   5.000","   6.000","   0.000","   0.000","   9.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2284.880",NA,NA,"  70.000","   0.282","   7.000","   0.000","   2.000","  25.000","   0.000","   3.000","   1.000","   0.000","  82.000","   1.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000","   1.000","   3.000","   2.000","   0.000","   0.000"," 261.000","   8.000","   0.000","   0.000","   8.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   2.000","   3.000","   0.000","   1.000","  10.000","   1.000","   0.000"," 313.000","   0.000","   0.000","   0.000"," 305.000","   3.000","  25.000","   0.000","   1.000","  11.000","   2.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"
"2393.890",NA,NA,"  80.000","   0.282","   9.000","   0.000","   0.000","  16.000","   0.000","   4.000","   0.000","   0.000","  59.000","   0.000","   5.000","   1.000","   0.000","   1.000","   0.000","   0.000","   5.000","   0.000","   0.000","   2.000","   1.000","   0.000","   1.000","   0.000","  98.000","   6.000","   0.000","   3.000","  17.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   6.000","   0.000","   0.000"," 151.000","   1.000","   0.000","   3.000"," 200.000","   5.000","  20.000","   0.000","   1.000","  10.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2502.900",NA,NA,"  90.000","   0.282","   9.000","   0.000","   2.000","  10.000","   0.000","   5.000","   0.000","   2.000"," 235.000","   2.000","   4.000","   1.000","   1.000","   1.000","   2.000","   0.000","   3.000","   0.000","   2.000","   1.000","   2.000","   0.000","   0.000","   1.000"," 183.000","   6.000","   0.000","   1.000","   5.000","   1.000","   0.000","   0.000","   1.000","   0.000","   9.000","   2.000","   0.000","   0.000","   3.000","   0.000","   1.000","  10.000","   1.000","   0.000"," 335.000","   4.000","   0.000","   0.000"," 243.000","  11.000","  19.000","   0.000","   1.000","  14.000","   8.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000"
