"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fraxinus","Galium t.","Geranium","Hibiscus","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lysimachia","Malva","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rumex t.","Salix","Sanguisorba t.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Vitis"
" 147"," 615","-307","  10","   0","   0","   0","   1","   0"," 111","   1","   1","   2","   0","  18","   0","   0","  12","  13","   0","   0","   1","   0","   0","   6","  29","  52","   0","  42","   0","   0","   0","   0","   2"," 200","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","   1","   7","   0","   0"," 192","   0","   0","   0","  40","   7","   1","   0","   0","   4","   5","  17","   5","   0","   0","   0","   0","  79","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0"
"369","792","-46"," 25","  0","  0","  0","  0","  0","190","  0","  2","  5","  0"," 21","  0","  0","  3","  0","  0","  0","  0","  0","  1","  4"," 16"," 96","  0"," 78","  0","  0","  0","  0","  0","240","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","158","  1","  0","  0"," 47","  4","  0","  0","  0","  1","  3","  3","  0","  0","  0","  0","  0"," 93","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0"
"591","970","214"," 40","  1","  0","  0","  0","  1","179","  1","  1","  5","  0"," 65","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 49","233","  0","240","  0","  0","  0","  0","  2"," 42","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 10","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","283","  0","  0","  0"," 37","  1","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 887","1210"," 557","  60","   3","   0","   0","   0","   1"," 202","   0","   2","   6","   0","  68","   1","   1","   1","   1","   0","   0","   0","   0","   3","   2"," 119"," 306","   0"," 188","   0","   3","   0","   0","   1","  55","   0","   2","   4","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1"," 402","   1","   0","   0","  71","  10","   2","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  56","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0"
"1183","1457"," 898","  80","   6","   0","   0","   0","   3","  25","   2","   5","  20","   0","  75","   5","   1","   0","   0","   0","   0","   0","   0","  11","   1"," 282"," 146","   0"," 100","   2","   0","   0","   4","   0"," 106","   0","   5","  21","   4","   0","   0","   1","   1","   0","   1","  81","   1","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2"," 553","   1","   0","   0","  19","   8","   2","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0"," 110","   0","   0","   0","   0","   0","   0","   2","   2","   0","   1","   0","   0"
"1405","1648","1151","  95","   5","   0","   0","   0","   5","  35","   4","   4","  13","   0","  56","   1","   2","   1","   3","   0","   0","   1","   0","   4","   3"," 143","  67","   0","  90","   0","   0","   0","   2","   0"," 103","   0","   3","  10","   1","   1","   2","   0","   0","   0","   1","  27","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1"," 317","   1","   0","   0","  15","   2","   4","   0","   0","   1","   6","   5","   0","   1","   0","   0","   0","  84","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0"
"1628","1844","1402"," 110","  13","   0","   0","   0","   2","  13","   1","   2","  38","   0","  24","   0","   1","   6","   2","   0","   0","   0","   0","  12","   2"," 289","  70","   0","  37","   8","   0","   0","   3","   1"," 351","   0","   4","   4","   0","   0","   0","   0","   0","   0","   1","   9","   0","   3","   1","   0","   0","   1","   0","  13","   0","   0","   0","   0","   0","   0","   0","   2","   5","   0","   1","   0","   0"," 375","   1","   0","   1","  26","   4","   2","   0","   0","   5","   9","   6","   0","   0","   0","   1","   0"," 100","   0","   0","   0","   1","   0","   0","   2","   2","   0","   0","   0","   1"
"1924","2111","1724"," 130","   2","   0","   0","   0","   5","  17","   8","  10","  66","   4"," 127","   0","   0","  12","   8","   0","   0","   7","   0","   6","  26","  89"," 185","   0"," 109","   3","   1","   2","   0","   0"," 177","   0","   4","   2","   2","   0","   2","   0","   2","   0","   0","  25","   0","   0","   2","   1","   0","   0","   0","   7","   2","   0","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0"," 302","   0","   0","   1","  49","  32","   8","   0","   0","   1","   4","  89","   0","   0","   0","   0","   0"," 151","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2"
"2072","2247","1880"," 140","   2","   0","   0","   0","   3","  36","   2","   6","  26","   5","  84","   1","   0","   7","   3","   0","   0","   8","   0","   2","  10"," 143"," 111","   0"," 139","   0","   0","   0","   1","   1","1414","   0","   2","   9","   1","   0","   0","   0","   0","   0","   1","  30","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  19","  16","   0","   0","   0","   0"," 257","   0","   0","   0","  83","  17","  16","   0","   0","   6","   6","  29","   0","   0","   0","   0","   0"," 111","   0","   0","   0","   0","   0","   0","   3","   6","   0","   0","   1","   0"
"2220","2389","2037"," 150","   2","   0","   0","   0","   2","  47","   2","   5","  66","   0","  89","   0","   0","   0","   0","   0","   0","   3","   0","   0","  11","  82"," 166","   0"," 104","   0","   0","   0","   1","   1"," 155","   0","   2","   1","   4","   0","   2","   3","   5","   0","   0","  24","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0"," 268","   1","   0","   0","  25","  13","  10","   0","   0","   2","   0","   7","   1","   1","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"2368","2533","2185"," 160","   3","   0","   0","   0","   2","  25","   1","   4","  15","   0","  32","   0","   0","   2","   0","   0","   0","   2","   0","   2","   3"," 115","  45","   0","  54","   0","   0","   0","   2","   0"," 129","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 251","   0","   0","   0","  19","   4","   1","   0","   0","   2","   5","   5","   0","   0","   0","   0","   0","  32","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0"
"2516","2685","2326"," 170","   1","   0","   0","   0","   1","  69","   1","   3","  14","   0","  68","   0","   0","   0","   0","   0","   0","   3","   0","   0","  10","  89","  71","   0","  61","   0","   0","   0","   0","   1"," 229","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  21","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0"," 307","   0","   0","   0","  24","   8","   0","   0","   0","   1","   1","   1","   0","   1","   0","   0","   0"," 138","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2804","3006","2587"," 190","   0","   1","   1","   0","   2"," 102","   1","   1","   2","   0","  29","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","  19","  38","   0","  47","   0","   0","   0","   0","   2","  88","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   1","   0","   0"," 116","   0","   0","   0","  19","   3","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 224","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0"
"3100","3349","2838"," 210","   1","   0","   0","   0","   1","  89","   0","   3","  29","   0"," 115","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","  42"," 150","   0","  70","   0","   0","   0","   0","   1"," 101","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0"," 203","   0","   0","   0","  46","   3","   2","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","  93","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"3396","3699","3082"," 230","   0","   0","   3","   0","   4"," 132","   1","   6","  54","   0"," 273","   0","   3","   1","   0","   0","   1","   1","   0","   0","   1","   8"," 593","   0","  92","   0","   0","   0","   0","   4","  11","   0","   2","   0","   1","   9","   0","   0","   1","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0"," 117","   0","   0","   0","  73","   5","   1","   0","   1","   3","   1","   0","   1","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0"
"3693","4052","3324"," 250","   1","   0","   1","   0","   1"," 196","   0","  12","  60","   0"," 121","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","  12"," 460","   0","  38","   0","   0","   0","   0","   3","   4","   0","   3","   0","   2","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  32","   0","   0","   0","  54","   5","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0"
"3989","4408","3564"," 270","   0","   0","   0","   0","   3"," 180","   2","   5","  60","   0"," 345","   1","   1","   1","   0","   0","   0","   1","   0","   0","   4","  17"," 471","   0","  48","   0","   0","   0","   0","   1","   8","   0","   2","   0","   1","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  93","   0","   0","   0","  94","   9","   4","   0","   0","   3","   2","   1","   2","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0"
"4285","4764","3802"," 290","   0","   0","   0","   0","   1"," 160","   0","   3","  61","   0"," 245","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   7"," 218","   0","  22","   0","   0","   0","   0","   1","   3","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   1","   0","   0","  45","   3","   1","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0"
"4581","5119","4039"," 310","   0","   0","   0","   0","   2"," 272","   0","   1"," 215","   0"," 545","   2","   1","   0","   1","   0","   0","   0","   0","   1","   2","  15"," 212","   1","  44","   0","   0","   0","   1","   0","  29","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  75","   1","   0","   0","  52","   9","   3","   0","   0","   2","   4","   2","   2","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0"
"4729","5296","4156"," 320","   0","   0","   0","   0","   0"," 116","   1","   6","  53","   0"," 280","   2","   1","   0","   0","   0","   1","   4","   1","   1","   0","  26"," 216","   0","  30","   1","   0","   0","   0","   1","   3","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  47","   0","   0","   1","  18","  12","   2","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0"
"4877","5474","4274"," 330","   2","   0","   0","   0","   2","  66","   5","   9","  61","   0","  19","   2","   2","   1","   0","   0","   6","   4","   1","   1","   2","  23","  41","   0","  27","   0","   0","   0","   1","   4","  16","   0","   3","   0","   2","   0","   0","   0","   1","   0","   0","   3","   0","   0","  20","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   7","   0"," 108","   1","   0","   0","  80","  10","   4","   0","   0","   4","   6","   1","   6","   0","   1","   0","   0","   8","   1","   0","   0","   0","   0","   0","   1","   2","   1","   0","   1","   7"
"5025","5652","4391"," 340","   0","   0","   0","   0","   1","  40","   0","   8","  38","   0"," 170","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  32"," 109","   0","  25","   0","   0","   0","   0","   0","  29","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  65","   0","   0","   0","  57","   7","   7","   0","   0","   3","   6","   2","   1","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","   2","   0"
"5173","5829","4508"," 350","   1","   0","   0","   0","   1","  76","   1","   2","  36","   0"," 188","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  23"," 106","   0","  27","   0","   0","   0","   1","   0","   8","   0","   7","   0","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  45","   0","   0","   0","  47","   4","   2","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0"
"5469","6185","4742"," 370","   1","   0","   0","   0","   5","  75","   0","   2","  31","   0"," 150","   3","   0","   0","   0","   0","   0","   2","   0","   2","   1","  16","  93","   0","  23","   0","   0","   0","   0","   0","   1","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   0","   0","  27","   3","   0","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5617","6363","4859"," 380","   1","   0","   0","   0","   3","  28","   0","   0","  18","   0","  71","   0","   1","   1","   0","   0","   0","   1","   0","   2","   0","  61","  51","   0","  20","   0","   0","   0","   0","   1","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  72","   1","   1","   0","  37","   3","   1","   1","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0"
