"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Cardueae undif.","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Cupressaceae","Erica t.","Erodium","Fabaceae Undif.","Fraxinus","Fumaria","Fungi","Genisteae","Geranium","Ilex","Lamiaceae undif.","Malva","Myrtus","Olea t.","Periploca","Petaloid monocot","Phillyrea","Pinus mediterranea","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Portulacaceae t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Rhamnus","Rosa t.","Rubiaceae undif.","Salix","Smilax","Solanum","Tamarix","Taxus","Withania","Ziziphus/Paliurus"
"6145",NA,NA,"   0","   2","   0","  19","   1","  13","  11","   5","  15","   6","   3","   2","  49","  13","  11","   9","   1","   1","   0","   2","  63","   6","   0","   0","   7","   3","   9","   6","   9","   1","   9","  13","  31","  14","  35","  10","   4","   0","   2","   0","   5","   1","   9","   0","   2","   0","   4","   2","  13","   0","   4","  11"
"6370",NA,NA,"   5","   3","   0","  21","   0","  19","   9","   4","  23","   5","   4","   1","  58","  15","   8","   8","   0","   0","   0","   2","  74","   7","   1","   0","   7","   4","  13","  10","  11","   0","   9","  15","  29","  18","  48","  13","   5","   1","   2","   0","   4","   2","   8","   0","   0","   0","   5","   3","  15","   0","   3","   8"
"6730",NA,NA,"  13","   1","   0","  25","   0","  15","  13","   6","  19","   4","   4","   1","  43","  19","   8","  13","   2","   2","   0","   1","  64","   5","   0","   0","   9","   5","  11","  11","  13","   2","  13","  22","  28","  15","  39","   9","   6","   0","   1","   0","   6","   1","  11","   0","   3","   0","   7","   4","  18","   0","   5","   9"
"6885",NA,NA,"  25","   0","   4","   5","   3","   3","  12","   4","  12","   6","   3","   3","  25","  11","   9","   2","   1","   0","   0","   2","  73","   1","   0","   0","   4","   3","   2","  13","   2","   1","   2","   8","   6","  20","  21","  11","   5","   0","   0","   0","   7","   2","   1","   1","   3","   2","   1","   2","   3","   0","   1","   2"
"7016",NA,NA,"  35","   0","   5","   6","   2","   2","  14","   4","  13","   5","   3","   2","  34","   3","  13","   3","   0","   1","   0","   0","  96","   0","   1","   0","   2","   3","   1","  21","   1","   0","   1","   6","  11","  23","  18","  15","   7","   2","   3","   0","  13","   1","   0","   0","   1","   3","   0","   1","   2","   0","   0","   1"
"7116",NA,NA,"  45","   0","   4","   5","   0","   0","   9","   5","   9","   6","   2","   2","  37","   4","  14","   3","   0","   0","   2","   3","  65","   2","   0","   0","   1","   4","   2","  15","   0","   3","   0","   8","   9","  18","  17","   8","   6","   3","   2","   3","  21","   3","   0","   0","   0","   2","   1","   3","   1","   0","   0","   0"
"7186",NA,NA,"  55","   2","   6","   7","   0","   3","   8","   5","  11","   7","   4","   1","  27","   3","   8","   4","   1","   2","   0","   1","  66","   0","   0","   0","   1","   3","   2","  23","   0","   3","   0","   8","   8","  20","  23","  11","   5","   0","   0","   2","  16","   5","   2","   2","   0","   5","   0","   3","   0","   3","   1","   1"
"7257",NA,NA,"  65","   0","   7","   5","   1","   1","   9","   6","  13","   6","   3","   0","  33","   5","   7","   3","   1","   0","   1","   1","  86","   0","   2","   0","   0","   4","   0","  18","   1","   3","   3","   9","   9","  23","  13","  12","   4","   1","   1","   1","  22","   4","   2","   0","   1","   5","   0","   2","   2","   0","   0","   2"
"7327",NA,NA,"  75","   0","   9","   4","   1","   0","   8","   7","  14","   5","   3","   0","  34","   6","   9","   2","   0","   2","   3","   2","  60","   0","   0","   0","   0","   2","   1","  24","   2","   5","   2","   6","   6","  20","  10","   7","   5","   3","   4","   2","  25","   6","   1","   0","   2","   3","   0","   3","   3","   0","   0","   0"
"7944",NA,NA,"  85","   1","  11","   3","   1","   0","  11","   5","  21","   4","   3","   2","  27","   5","  13","   3","   0","   3","   3","   3","  67","   1","   0","   1","   1","   5","   1","  31","   0","   5","   0","   7","  12","  20","   9","   9","   6","   3","   3","   0","  19","   7","   0","   0","   0","   4","   0","   1","   5","   2","   0","   0"
