"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Aristolochia","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fumaria","Galium t.","Geranium","Hedera","Hibiscus","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lysimachia","Malva","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Vitis","Zea","Zygophyllum t."
NA,NA,NA,"640","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","  2"," 11","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  1","  0","  0","  7"," 67","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"580","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  3","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  4","278","  0","  0","  0","  0","  0","  0","  0"," 48","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","251","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"265","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","112","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"720","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  4","  0","  0","  3","  3","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2"," 50","  0","  0","  0","  0","  2","  0","  1"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"680","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  2","  0","  2","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  1","  0","  1"," 19","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","150","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 30","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","  3"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  0","  2"," 61","  0","  0","  0","  0","  0","  0","  0"," 76","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","218","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0"," 62","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 38","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"700","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  4","  0","  0","  0","  0"," 22"," 18","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  1","  0","  7"," 31","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  4","  1","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 60","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"235","  0","  0","  0","  0","  0","  0","  1","  2","  5","  0","  1","  0","  0","  0","  0","  2","  7","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  8","  0","  7","  0","  0","  0","  0","  2","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","426","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 200","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   9","   0","   4","   6","   0","   0","   0","   1","   0","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   2","   1","   0","   0","   1","   5","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1058","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0"
NA,NA,NA,"500","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  1","  0","  6"," 14","  1","  0","  0","  0","  0","  0","  0","  4","  2","  4","  0","  0","  0","  4"," 88","  0","  0","  0","  0","  2","  0","  0"," 68","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","112","  0","  1","  0","  0"," 33","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"660","  0","  0","  0","  0","  0","  0","  2","  5","  0","  0","  2","  0","  3","  0","  0","  5","  9","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0"," 12"," 84","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  7","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","300","  0","  0","  0","  0","  6","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"250","  1","  0","  0","  0","  0","  0","  1","  3","  0","  0","  5","  0","  0","  0","  0","  8"," 11","  0","  0","  0","  1","  1","  0","  0","  7","  0","  0","  0","  1","  0","  8","  3","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","357","  0","  0","  0","  0","  3","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"220","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  2","  0","  1","  0","  0","  2"," 14","  4","  0","  0","  1","  0","  0","  0","  3","  2","  5","  0","  2","  0","  9"," 90","  0","  0","  0","  0","  0","  0","  0","210","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","424","  0","  0","  0","  0"," 45","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"170","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  3","  1","  0","  0","  0","  6","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"," 24","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","293","  0","  3","  0","  0","  5","  0","  8","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  2","  0","  0"
NA,NA,NA,"445","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  3"," 66","  0","  1","  0","  1","  0","  0","  0"," 10","  0"," 15","  0","  2","  0","  1","230","  0","  0","  0","  0","  0","  0","  0"," 68","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  5","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","276","  0","  1","  0","  0"," 51","  1","  2","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","118","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"620","  1","  0","  0","  0","  0","  0","  1"," 36","  0","  0","  0","  0","  7","  0","  0"," 13"," 37","  1","  0","  0","  0","  0","  0","  0","  8","  0","  3","  0","  0","  0"," 46","248","  1","  0","  0","  2","  1","  0","  0","  8","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","226","  0","  0","  0","  0","  9","  1","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 50","  1","  0","  0","  0","  0","  0","  0"," 15","  1","  0","  0","  0","  1","  0","  0","  6"," 16","  0","  0","  0","  3","  0","  0","  0","  8","  0"," 23","  0","  4","  0","  5","139","  0","  0","  1","  0","  0","  0","  0"," 91","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","426","  0","  0","  0","  0"," 48","  2","  3","  0","  0","  0","  0","  0","  0","  6","  5","  0","  0","  0","  0","  0","  0","  0","  0"," 79","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 88","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 70","  0","  0","  0","  0","  0","  0","  0"," 89","  4","  0","  3","  0","  0","  0","  0","  8"," 13","  0","  0","  0","  2","  0","  0","  1","  9","  1","  4","  1","  2","  0","  5"," 42","  0","  0","  0","  1","  0","  1","  0"," 65","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","347","  0","  0","  0","  0"," 59","  3","  2","  0","  0","  0","  0","  0","  0","  7"," 44","  0","  0","  1","  0","  0","  0","  0","  0","113","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 86","  1","  0","  0","  0","  0","  0"
