"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Betula","Betulaceae undif.","Buxus","Carpinus","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Hedera","HippophaÃ«","Picea","Pinus undif.","Poaceae","Quercus undif.","Rubiaceae undif.","Salix","Taxus","Tilia","Ulmus t."
NA,NA,NA,"2385","   0","   0","   0","  25","   3","  43","   0","   1","   0","   0","   0","  83","   1","   0","   0","   0","   0","   0","   5","  85","   3","   9","   0","   0","   0","   0"
NA,NA,NA,"2405","   0","   0","   1","  21","   1","  48","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   2","   0","   5","  80","   1","   6","   0","   0","   0","   1"
NA,NA,NA,"2375","   0","   0","   1","  20","   2","  45","   0","   0","   0","   0","   0","  58","   1","   0","   0","   0","   1","   0","  10","  81","   1","   2","   0","   0","   0","   0"
NA,NA,NA,"2175","   5","   0","   3","  20","   0","  29","   1","   0","   0","   0","   0","  13","   0","   1","   0","   0","   0","   0","  37","  96","  16","   3","   0","   0","   0","   1"
NA,NA,NA,"2445","   4","   0","   2","  41","   1","  52","   1","   0","   0","   0","   0","  17","   0","   0","   0","   0","   1","   0","   3"," 109","   4","   3","   0","   0","   0","   0"
NA,NA,NA,"2185","   0","   0","   4","  20","   6","  26","   1","   0","   0","   0","   0","   5","   1","   0","   0","   0","   1","   0","  35"," 123","  11","   5","   0","   0","   0","   0"
NA,NA,NA,"2224","   4","   1","   0","  31","   4","  57","   2","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","  31"," 141","   7","   4","   0","   0","   0","   1"
NA,NA,NA,"2585","   6","   0","   2","  12","   0","  21","   0","   0","   0","   0","   0","   2","   2","   1","   0","   0","   1","   0","  25"," 161","   9","   3","   0","   0","   0","   1"
NA,NA,NA,"2465","  25","   0","   7","  14","   1","  19","   0","   0","   0","   0","   0","  16","   1","   8","   0","   0","   0","   0","  37","  79","  14","   5","   0","   0","   0","   2"
NA,NA,NA,"2005","  20","   0","  13","  44","   4","  45","   3","   0","   0","   0","   0","   4","   0","   3","   0","   0","   1","   0","  22"," 106","   6","   4","   0","   0","   0","   0"
NA,NA,NA,"2545","   3","   0","   3","  27","   0","  32","   1","   0","   0","   0","   0","  21","   1","   1","   0","   0","   1","   0","  40"," 132","   4","   8","   2","   0","   0","   0"
NA,NA,NA,"2525","   6","   0","  11","  13","   3","  42","   1","   0","   0","   0","   0","  32","   1","   1","   0","   0","   0","   0","  13"," 128","   9","   8","   0","   0","   0","   2"
NA,NA,NA,"2315","   1","   0","   2","  16","   2","  25","   8","   1","   0","   0","   1","  30","   1","   2","   0","   0","   0","   0","  25"," 124","  42","   6","   0","   0","   0","   0"
NA,NA,NA,"2345","   0","   0","   3","   6","   1","  41","   1","   0","   1","   0","   0","  18","   1","   2","   0","   0","   1","   0","  15"," 128","  10","   3","   2","   0","   0","   0"
NA,NA,NA,"2605","  29","   0","   3","   8","   2","  26","   3","   1","   0","   0","   1","   0","   0","   4","   0","   0","   1","   0","  31"," 134","  26","   5","   0","   0","   0","   7"
NA,NA,NA,"2425","   6","   1","   4","  23","   2","  43","   2","   0","   0","   0","   0","  14","   1","   0","   0","   0","   2","   0","   6","  62","   6","   3","   0","   0","   0","   1"
NA,NA,NA,"1985","  12","   0","   5","  43","   3","  63","   2","   0","   0","   1","   0","  53","   0","   7","   0","   0","   1","   0","  20"," 122","  13","   3","   0","   0","   0","   1"
NA,NA,NA,"2325","   1","   0","   1","  12","   1","  41","   4","   0","   0","   0","   0","  22","   3","   1","   0","   0","   0","   1","  26"," 110","  25","   5","   1","   0","   0","   0"
NA,NA,NA,"2565","   7","   1","   3","  10","   2","  19","   1","   0","   0","   0","   0","  10","   0","   3","   0","   0","   1","   0","  27"," 125","  11","   6","   1","   0","   0","   1"
NA,NA,NA,"2365","   3","   0","   2","  20","   3","  53","   1","   0","   0","   2","   0","  57","   3","   3","   0","   0","   2","   0","  21"," 127","   4","   6","   0","   0","   1","   0"
NA,NA,NA,"1925","   5","   0","   1","  24","   2","  43","   3","   0","   0","   2","   1","   4","   0","   2","   0","   0","   0","   0","  22"," 168","  12","  10","   1","   0","   0","   1"
NA,NA,NA,"1905","   8","   3","   7","  28","   4","  32","   5","   0","   0","   3","   1","   5","   0","   4","   0","   0","   0","   0","  13","  69","  19","   3","   0","   0","   0","   2"
NA,NA,NA,"1865","   3","   0","   1","  16","   2","  28","   0","   1","   0","   1","   0","   4","   1","  11","   0","   0","   1","   0","  20"," 141","   7","  11","   1","   0","   0","   0"
NA,NA,NA,"2495","  32","   2","  27","  22","   4","  25","   0","   0","   0","   0","   0","  14","   1","  15","   0","   0","   1","   0","  11","  78","  23","   4","   1","   0","   0","   7"
NA,NA,NA,"2105","  46","   1","   0","  10","   2","  11","  15","   0","   0","   1","   0","   3","   0","   8","   1","   0","   0","   0","  28","  46","  48","   2","   0","   0","   1","   3"
NA,NA,NA,"2025","  10","   0","   1","  19","   3","  40","   7","   0","   0","   4","   0","   4","   1","   6","   0","   0","   0","   4","  30"," 124","  35","   2","   0","   0","   0","   3"
NA,NA,NA,"2285","   2","   0","   4","  23","   5","  40","   8","   0","   0","   0","   0","  18","   4","   9","   4","   0","   0","   0","  32"," 149","  43","   8","   0","   0","   0","   3"
NA,NA,NA,"2245","   5","   1","   1","  10","   1","  13","   1","   0","   0","   1","   1","   6","   0","   8","   1","   0","   0","   0","  28"," 118","  44","   3","   0","   0","   0","   1"
NA,NA,NA,"2095","  21","   2","   4","  11","   1","  20","  14","   1","   1","   7","   0","   0","   1","  10","   0","   0","   0","   0","  31","  85","  88","   3","   0","   0","   0","   4"
NA,NA,NA,"2715","  44","   1","  65","   1","   2","   5","   1","   0","   4","   2","   0","   0","   0","  33","   0","   2","   0","   0","  10","  51","  73","   1","   0","   3","   1","  11"
NA,NA,NA,"2745","  19","   1","  45","   6","   0","   2","   0","   1","   3","  10","   1","   1","   0","  44","   0","   1","   0","   0","   7","  29"," 135","   0","   0","   1","   1","   8"
NA,NA,NA,"2145","   4","   2","   1","   7","   4","  12","   7","   0","   0","   1","   2","   2","   0","  22","   2","   0","   0","   1","  33","  64","  60","   4","   0","   0","   0","   4"
NA,NA,NA,"2115","  38","   5","   0","  12","   5","  17","  10","   1","   0","   5","   0","   6","   1","  15","   2","   0","   0","   0","  38","  71","  64","   5","   0","   0","   1","   9"
NA,NA,NA,"2204","   4","   2","   1","  27","  10","  29","   8","   2","   0","   0","   0","   7","   3","  12","   0","   0","   0","   0","  35"," 141","  41","   8","   4","   0","   0","   1"
NA,NA,NA,"2165","   3","   2","   1","  15","   1","  17","  12","   0","   0","   0","   0","  10","   2","   2","   1","   1","   0","   0","  45","  95","  39","   5","   2","   0","   0","   0"
NA,NA,NA,"1955","  11","   3","   1","   7","   3","  10","  19","   0","   0","   9","   2","   7","   0","  13","   4","   0","   0","   0","  33","  55","  85","   3","   0","   0","   3","   8"
NA,NA,NA,"2125","  36","   1","   0","   7","   5","  12","  25","   0","   0","   1","   4","   2","   1","  19","   1","   0","   0","   0","  28","  69","  71","   2","   0","   0","   6","   4"
NA,NA,NA,"1975","  25","   0","  19","  16","   9","  31","   2","   0","   0","   3","   2","  23","   1","  17","   0","   1","   2","   0","  33"," 100","  50","   2","   0","   0","   0","   2"
NA,NA,NA,"1928","  14","   0","   7","  21","   1","  30","   2","   0","   0","   2","   1","   3","   5","   8","   0","   0","   0","   1","  37"," 122","  25","   8","   0","   0","   1","   1"
NA,NA,NA,"2305","   0","   1","   3","   5","   3","  27","   7","   2","   0","   0","   1","   5","   1","   2","   0","   0","   0","   1","  27"," 116","  33","   5","   2","   0","   1","   1"
