"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Geranium","Hedera","HippophaÃ«","Indeterminable","Lamiaceae undif.","Larix","Lonicera","Mercurialis","Myriophyllum spicatum/verticillatum t.","Onagraceae","Ostrya","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polypodiophyta undiff.","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus deciduous","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Sambucus","Saxifraga t.","Scrophulariaceae undif.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Viscum"
"36657.0",NA,NA,"23.15","1.5","0","0","0","14","1","1","4","53","9","0","7","0","8","0","3","2","25","0","0","0","0","0","2","0","156","0","0","0","0","0","0","0","3","0","0","0","122","0","0","0","0","0","0","0","0","0","8","0","0","57","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36690.8",NA,NA,"29.15","1.0","8","1","33","26","0","3","6","113","12","7","4","0","7","1","6","4","20","1","1","6","2","0","3","0","290","0","0","5","1","0","1","0","19","0","0","1","162","0","0","0","0","0","0","0","0","0","23","8","0","156","0","0","0","0","16","1","1","1","6","0","0","2","1","0","1","1","3","0","0","0","0"
"36703.2",NA,NA,"31.35","0.9","0","0","2","52","0","4","7","111","23","1","5","0","3","0","8","1","16","0","0","0","0","0","2","0","88","0","0","0","0","0","1","1","9","3","0","0","54","0","0","0","0","0","0","0","0","0","9","1","1","78","1","0","0","0","2","0","0","0","2","0","0","0","0","0","1","0","0","2","0","0","0"
"36704.9",NA,NA,"31.65","0.9","0","0","0","27","0","5","1","63","9","1","6","0","4","0","16","2","12","1","0","1","0","0","2","0","98","0","0","0","0","0","0","0","13","0","0","1","194","0","0","0","0","1","0","0","0","0","8","2","0","119","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"36714.5",NA,NA,"33.35","0.9","0","0","0","20","0","0","3","36","8","1","2","0","2","0","3","0","11","0","0","0","0","0","1","0","57","0","0","0","0","0","1","0","2","0","0","0","46","0","0","0","0","0","0","1","0","0","6","0","0","49","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36731.3",NA,NA,"36.35","0.8","3","0","5","14","2","2","5","48","11","2","3","0","3","0","3","4","29","1","0","0","1","0","2","0","235","0","1","0","0","0","0","0","9","0","0","0","35","0","0","0","0","0","0","0","0","1","14","2","0","103","0","0","0","0","1","1","0","0","3","0","0","0","2","0","1","0","0","0","0","0","0"
"36751.0",NA,NA,"39.85","1.0","1","0","2","30","0","6","0","40","21","1","6","0","7","0","6","0","24","5","0","0","1","1","2","0","191","0","0","0","0","0","0","0","8","0","0","0","94","1","0","0","0","0","0","1","0","0","18","4","0","178","0","0","0","0","1","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0"
"36773.0",NA,NA,"43.75","1.0","3","0","0","148","0","1","8","83","2","2","2","0","1","0","2","0","8","6","0","1","1","0","2","0","111","0","0","1","1","1","1","1","3","0","1","3","26","0","0","0","0","0","1","2","1","0","25","5","0","97","0","0","0","0","3","0","0","0","1","0","0","0","2","0","0","0","1","2","0","0","0"
"36774.1",NA,NA,"72.10","1.0","7","0","9","140","1","22","23","440","6","6","2","0","6","1","11","6","8","7","0","19","14","0","10","0","178","0","0","5","1","0","4","0","13","0","0","5","18","1","1","0","1","0","0","0","0","0","57","25","0","368","0","1","0","1","11","4","0","5","5","1","0","3","11","0","1","0","0","4","4","1","0"
"36779.5",NA,NA,"73.10","0.8","14","0","7","60","0","8","11","265","2","1","2","1","0","0","6","1","4","8","0","7","10","0","3","1","387","0","0","5","0","1","1","0","2","0","0","3","7","0","0","0","1","0","0","2","0","0","37","10","0","197","0","0","0","0","9","0","0","0","3","0","0","0","7","0","0","1","2","0","0","0","0"
"36784.8",NA,NA,"74.10","1.0","3","0","8","72","0","4","3","238","4","3","8","0","0","1","4","0","4","1","0","5","9","0","0","0","391","0","0","1","0","3","1","0","9","0","0","5","7","0","0","0","0","0","0","0","0","0","30","6","0","202","0","0","1","0","3","3","0","1","3","0","1","0","7","0","0","0","2","4","1","0","0"
"36790.2",NA,NA,"75.10","0.8","8","0","5","91","0","14","9","216","8","2","4","0","1","0","10","5","2","6","0","6","16","0","3","0","161","0","1","2","0","0","1","0","6","0","0","2","11","0","0","1","0","0","0","0","1","1","44","4","0","194","0","0","0","0","14","1","0","0","11","1","3","3","8","2","0","0","3","0","0","0","1"
