"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","HippophaÃ«","Indeterminable","Lamiaceae undif.","Menyanthes","Mercurialis","Nymphaea","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Poaceae","Populus","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Viola","Viscum","Vitis"
"31110",NA,NA,"57.3","0.6","2","0","0","16","0","1","7","47","3","16","1","0","0","1","2","11","1","0","2","1","30","16","0","2","1","585","0","0","0","7","0","4","0","8","3","7","3","0","2","0","0","0","0","0","1","32","3","180","0","0","2","25","0","5","0","1","2","1","0","0","1","1","0","0","5","0","0","0","0","0","0","0","0"
"31112",NA,NA,"57.5","0.7","1","0","1","21","0","1","6","54","1","16","2","1","0","1","0","6","0","4","1","0","37","41","1","3","0","399","0","0","0","7","0","5","0","11","3","3","0","0","1","0","0","0","0","1","0","34","7","264","1","1","0","28","2","0","0","1","4","1","1","0","2","0","2","0","1","0","0","0","0","4","0","0","0"
"31113",NA,NA,"57.6","0.6","1","0","0","14","0","3","12","54","1","2","6","0","0","2","0","8","1","2","0","0","20","36","0","2","0","2437","0","0","0","3","0","1","0","9","0","6","0","0","3","0","0","1","0","1","0","40","3","208","0","5","1","11","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"31114",NA,NA,"57.7","0.7","3","0","3","26","0","3","9","78","1","14","8","0","0","0","1","5","2","7","1","0","31","46","1","0","0","802","0","1","0","7","0","1","0","16","3","10","0","0","1","0","0","0","0","1","0","38","2","317","0","2","0","35","0","2","0","0","6","3","2","0","0","0","2","0","4","0","0","4","1","2","0","0","0"
"31115",NA,NA,"57.8","0.7","1","0","4","30","0","4","13","93","5","20","1","0","0","2","0","17","0","8","0","0","66","46","0","4","1","1667","0","0","0","13","0","4","1","29","6","7","1","0","5","0","0","0","0","0","0","77","7","418","1","0","0","47","0","2","0","1","4","1","0","0","0","1","1","0","8","0","1","3","2","2","1","0","0"
"31116",NA,NA,"57.9","0.7","2","0","0","11","1","1","4","60","2","13","5","0","1","3","0","3","3","3","1","1","46","30","1","3","0","882","0","1","0","15","0","2","0","13","1","0","2","0","4","0","0","1","0","0","0","33","4","328","2","0","0","32","0","3","0","0","3","2","0","0","0","0","0","0","4","1","0","1","2","0","0","0","0"
"31117",NA,NA,"58.0","0.6","1","0","1","20","0","3","5","36","2","14","2","0","0","1","1","7","3","4","0","1","37","113","0","2","0","111","0","0","0","8","0","0","0","11","5","2","0","0","3","0","0","0","0","0","0","30","5","256","1","1","0","46","0","0","1","1","5","0","2","0","4","0","0","0","2","0","1","0","1","0","0","2","0"
"31118",NA,NA,"58.1","0.7","1","0","4","17","0","2","7","66","1","11","1","0","0","2","0","16","1","4","2","0","57","26","0","1","1","311","0","0","0","15","0","2","0","10","3","7","2","0","3","0","0","0","0","1","0","29","4","276","0","0","0","25","0","1","0","1","4","1","1","1","0","0","0","0","4","1","1","0","2","4","0","0","0"
"31119",NA,NA,"58.2","0.6","1","1","1","22","0","2","2","56","1","14","7","0","0","0","1","11","0","5","0","0","39","10","0","1","0","239","0","0","0","17","0","2","1","11","0","8","0","0","5","0","0","1","0","0","0","19","3","201","0","0","0","27","0","5","0","0","2","1","0","0","0","0","1","0","1","0","0","4","1","0","0","0","0"
"31120",NA,NA,"58.3","1.1","0","0","0","2","0","0","0","6","1","1","1","0","0","0","0","3","0","1","0","0","5","0","0","0","0","338","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","16","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31121",NA,NA,"58.9","2.0","1","0","1","4","0","1","2","7","2","2","1","0","0","0","0","3","0","0","2","0","0","4","0","0","0","113","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","6","1","31","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31173",NA,NA,"70.0","1.0","2","0","1","20","0","4","3","35","0","7","1","0","1","0","1","0","0","0","0","1","21","8","0","1","0","365","0","2","1","8","10","0","0","7","3","3","0","1","0","1","1","2","1","0","2","33","1","157","0","3","0","32","0","0","0","0","2","7","0","0","0","0","0","1","3","0","0","2","0","2","0","0","0"
