"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Gentiana t.","Geranium","Humulus","Hydrocharitaceae","Hypericum undif.","Ilex","Indeterminable","IsoÃ«tes","Juglans","Koenigia","Lamiaceae undif.","Lonicera","Malva undif.","Mimulus","Morus","Olea t.","Onagraceae","Ononis t.","Ostrya","Oxyria","Papaver t.","Pedicularis","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polemoniaceae","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcobatus","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Spergularia t.","Symphoricarpos","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Zea"
"-54.00",NA,NA,"  0.25","  0.00","  1.00","  0.00","  2.00","  2.00","  0.00","  0.00"," 44.00","  3.00","  0.00","  0.00"," 11.00","  0.00","  0.00","  0.00","  3.00","  4.00","  0.00","  0.00","  2.00","  2.00","  0.00","  0.00","  0.00"," 10.00"," 11.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 36.00","  0.00","  1.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 58.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00"," 34.00","  0.00","  1.00","  0.00"," 41.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00","  3.00","  5.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  0.00","  0.00"
"-44.00",NA,NA,"  2.25","  0.00","  2.00","  2.00","  5.00","  0.00","  0.00","  5.00"," 54.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 10.00","  7.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00","  5.00"," 10.00","  1.00","  1.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 27.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","103.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 33.00","  0.00","  1.00","  0.00","120.00","  1.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 18.00","  0.00","  0.00"
"-36.00",NA,NA,"  3.75","  0.00","  3.00","  0.00","  6.00","  0.00","  0.00","  1.00"," 69.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  2.00"," 13.00","  4.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  0.00","  2.00","  6.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00"," 69.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  1.00","  5.00","  0.00","118.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  4.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  0.00"
"-29.00",NA,NA,"  5.25","  0.00","  0.00","  1.00","  6.00","  0.00","  0.00","  1.00","103.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 16.00","  0.00","  0.00","  0.00","  0.00"," 10.00","  6.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 32.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 25.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  9.00","  0.00","  1.00","  0.00"," 42.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  1.00"
"  4.00",NA,NA,"  7.25","  0.00","  1.00","  1.00","  7.00","  1.00","  0.00","  0.00","118.00","  2.00","  0.00","  1.00","  5.00","  0.00","  0.00","  0.00"," 10.00","  1.00","  0.00","  0.00"," 20.00","  1.00","  0.00","  0.00","  0.00","  5.00"," 13.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00"," 28.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 12.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  7.00","  1.00","  1.00","  0.00"," 94.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00"," 14.00","  0.00","  0.00"
"49.00",NA,NA," 8.75"," 1.00"," 0.00"," 0.00"," 9.00"," 0.00"," 0.00"," 1.00","90.00"," 2.00"," 0.00"," 0.00"," 9.00"," 0.00"," 2.00"," 0.00","10.00"," 2.00"," 0.00"," 0.00","14.00"," 0.00"," 0.00"," 0.00"," 0.00"," 2.00"," 8.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00","51.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 7.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00","15.00"," 3.00"," 1.00"," 0.00","96.00"," 0.00"," 0.00"," 2.00"," 0.00"," 0.00"," 0.00"," 2.00"," 1.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 3.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 1.00"," 0.00"," 0.00"," 0.00"," 0.00","25.00"," 0.00"," 0.00"
"108.00",NA,NA," 10.28","  0.00","  1.00","  4.00","  0.00","  0.00","  0.00","  0.00"," 85.00","  1.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00"," 12.00","  5.00","  0.00","  0.00"," 25.00","  0.00","  0.00","  0.00","  0.00","  7.00","  8.00","  0.00","  0.00","  1.00","  0.00","  4.00","  8.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 29.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  1.00","  0.00"," 57.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  9.00","  0.00","  0.00","  0.00","  0.00"," 14.00","  0.00","  0.00"
"244.00",NA,NA," 12.56","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  4.00"," 96.00","  3.00","  0.00","  0.00"," 17.00","  2.00","  0.00","  2.00"," 11.00","  2.00","  0.00","  0.00"," 26.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 12.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 48.00","  1.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  3.00","  1.00","  2.00","  0.00","102.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  3.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00"," 16.00","  0.00","  0.00"
"317.00",NA,NA," 13.68","  0.00","  0.00","  1.00"," 10.00","  0.00","  0.00","  4.00"," 97.00","  0.00","  0.00","  0.00","  4.00","  2.00","  0.00","  0.00","  7.00","  1.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.00","  4.00","  9.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  3.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 21.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  3.00","  0.00","118.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  6.00","  0.00","  0.00","  0.00","  0.00"," 11.00","  0.00","  0.00"
"545.00",NA,NA," 15.98","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00"," 66.00","  3.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00"," 19.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  0.00","  0.00","  7.00"," 10.00","  1.00","  0.00","  0.00","  1.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 29.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  2.00","  0.00"," 12.00","  0.00","  1.00","  0.00"," 75.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00"," 17.00","  0.00","  0.00"
