"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabis","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Geranium","Hedera","HippophaÃ«","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Littorella","Loranthus","Lythrum","Mercurialis","Morella","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>37 Âµm)","Pollen concentration","Polygonum t.","Potamogeton","Pteridium aquilinum-type","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhododendron","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Unknown (monolete, non-psilate)","Unknown (monolete, psilate)","Unknown (trilete, non-psilate)","Unknown (trilete, psilate)","Urtica t.","Valerianella","Viburnum","Vitis"
"    6.0",NA,NA,"   18.5","    1.0","    0.0","    1.0","   52.0","    6.0","    0.0","    0.0","   14.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","   52.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    6.0","   16.0","    4.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","   82.0","    0.0","    1.0","    0.0","    2.0","    8.0","    0.0","    0.0","    0.0","    0.0","    1.0","    8.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   70.0","    0.0","    7.0","    8.0","   45.0","    0.0","26959.0","    0.0","    3.0","   26.0","    0.0","   94.0","    3.0","    2.0","    0.0","    0.0","    1.0","    0.0","    4.0","    5.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    8.0","   20.0","    0.0","    0.0","    0.0","    3.0","    3.0","    0.0","    0.0","    2.0"
"  76",NA,NA,"  40","   3","   0","   0","  21","   1","   0","   0","   3","   0","   4","   0","   0","   0","   0","   0","   0","  22","   0","   1","   1","   0","   0","   0","   1","   0","   0","   4","   3","   4","   0","   0","   0","   1","   1","   0","  11","   1","   0","   0","   0","   0","   0","   0","   0","   1","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  34","   3","   7","   1","  11","   1","6558","   0","   0","   0","   1","  15","   0","   0","   4","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   5","  48","   1","  10","   0","   4","   3","   0","   0","   2"
" 186",NA,NA,"  74","   3","   0","   0","   8","   2","   2","   1","   3","   0","   0","   1","   0","   1","   0","   0","   0","   8","   2","   4","   0","   0","   1","   0","   0","   0","   0","   6","   0","   2","   0","   0","   0","   0","   0","   0","  19","   2","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   2","   1","   4","   0","3315","   0","   0","   0","   0","  11","   2","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  20","   0","  20","   0","   5","   1","   0","   0","   3"
"  278.0",NA,NA,"  102.5","    1.0","    0.0","    0.0","   50.0","    1.0","    0.0","    1.0","    6.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","   49.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","   19.0","    6.0","    0.0","    0.0","    0.0","    6.0","    0.0","    1.0","   41.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    3.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","   27.0","    1.0","    2.0","    4.0","   24.0","    0.0","48248.0","    0.0","    2.0","    2.0","    0.0","   73.0","    6.0","    0.0","    1.0","    0.0","    0.0","    0.0","    2.0","    6.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    2.0","    3.0","   18.0","    0.0","    0.0","    0.0","    3.0","    0.0","    1.0","    0.0","    1.0"
"  362.0",NA,NA,"  128.5","    0.0","    0.0","    0.0","   41.0","    2.0","    0.0","    0.0","    7.0","    3.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","   51.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    4.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","   40.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   56.0","    0.0","    1.0","    6.0","   15.0","    0.0","59501.0","    0.0","    0.0","    1.0","    0.0","  140.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    3.0","    0.0","    6.0","   32.0","    0.0","    2.0","    0.0","    2.0","    0.0","    0.0","    0.0","    3.0"
"  535.0",NA,NA,"  157.5","    0.0","    1.0","    0.0","   55.0","    0.0","    0.0","    0.0","    5.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   23.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    7.0","    3.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","   14.0","    0.0","    0.0","    0.0","    2.0","   14.0","    0.0","    0.0","    0.0","    0.0","    9.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   38.0","    0.0","    2.0","   13.0","   12.0","    0.0","19032.0","    0.0","    0.0","    0.0","    0.0","  127.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","   13.0","    4.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0"
" 737.0",NA,NA," 194.5","   4.0","   0.0","   0.0","  30.0","   2.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  32.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   3.0","  17.0","   0.0","   0.0","   0.0","   7.0","   0.0","   1.0","  34.0","  11.0","   0.0","   0.0","   0.0","   9.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  80.0","   0.0","   0.0","   4.0","   3.0","   0.0","5963.0","   0.0","   0.0","   4.0","   0.0","  76.0","   0.0","   0.0","  12.0","   1.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   2.0","   3.0","  70.0","   5.0","  18.0","   0.0","  14.0","   2.0","   0.0","   0.0","   1.0"
"  791.00",NA,NA,"  217.25","    2.00","    0.00","    0.00","   56.00","    1.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.00","    1.00","   14.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    3.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","   23.00","    1.00","    0.00","    0.00","    0.00","    6.00","    0.00","    1.00","    0.00","    1.00","    4.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   70.00","    0.00","    0.00","    8.00","    9.00","    0.00","15042.00","    0.00","    0.00","    2.00","    0.00","   58.00","    0.00","    0.00","    5.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    2.00","   50.00","    4.00","   21.00","    0.00","   21.00","    2.00","    0.00","    0.00","    3.00"
"  897",NA,NA,"  263","    0","    0","    0","   39","    4","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    6","    0","    0","    0","    2","    0","    1","   33","    0","    0","    0","    0","    4","    0","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","  110","    0","    5","   13","   22","    1","98089","    0","    0","    1","    0","  104","    1","    1","    0","    0","    0","    1","    0","    7","    0","    1","    0","    0","    0","    0","    0","    0","    6","   24","    0","    1","    0","   11","    2","    0","    0","    7"
" 979.0",NA,NA," 298.5","   1.0","   0.0","   0.0","  43.0","   1.0","   0.0","   0.0","   6.0","   1.0","   1.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","  20.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   3.0","   5.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  25.0","  14.0","   0.0","   0.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   5.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","  43.0","   0.0","   0.0","   6.0","  11.0","   1.0","8884.0","   0.0","   0.0","   7.0","   0.0","  96.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0","   6.0","  80.0","  13.0","  31.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0"
