"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Agrimonia","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Aruncus","Asphodelus t.","Asteroideae undif.","Atraphaxis","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Gossypium","Haplophyllum","Heliotropium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lotus t.","Lycium","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prosopis t.","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Reaumuria","Rhamnus","Rheum","Rhododendron","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Syringa","Tamarix","Taxus","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viola","Vitis"
" 54","133"," -7","  0","  0","  0","  0","  0","  0","  0","  2"," 95","  0"," 37","  6","152","  0","  0"," 16","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 17","  0","  2","  0"," 19","  0"," 14","  0","  0","  0","  1","  0","  0"," 15","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  4","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 60","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  3","157","  0","  8","  3","  1"," 60"," 57","  3","  0","  0","  0","  0","  0","  1","  0","  0","334","  5","  0","  0","  0","  0","  0","  0","  1","  0","  9","  4","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2"
"251","335","173"," 10","  0","  1","  0","  0","  0","  0","  0"," 88","  0"," 16","  8"," 87","  0","  0","  4","  0","  0","  3","  0","  1","  1","  0","  0","  0","  0","  3","  1","  5","  0","  1","  0"," 11","  0"," 11","  0","  0","  0","  2","  0","  0","  8","  0","  2","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","182","  2","  5","  0","  1"," 31"," 48","  3","  0","  0","  0","  0","  0","  0","  0","  1","338","  5","  0","  0","  0","  1","  0"," 12","  3","  0","  0","  6","  0","  0","  2","  0","  0","  0","  3","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  6","  1","  0","  0","  0","  0"
"449","550","346"," 20","  1","  1","  0","  0","  0","  0","  1","109","  0"," 16","  8","102","  0","  0","  8","  0","  0","  2","  1","  0","  2","  0","  0","  0","  0","  2","  0","  5","  0","  2","  0"," 21","  0","  7","  0","  0","  0","  1","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  2","  0","  0","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","112","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  3","218","  1","  2","  0","  1"," 26"," 32","  7","  0","  0","  0","  0","  0","  0","  0","  0","525","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  7","  0","  0","  1","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  0","  0","  0","  0","  3"
"645","766","516"," 30","  0","  1","  0","  0","  0","  0","  6","121","  0"," 33"," 11","155","  0","  0"," 10","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  1","  1","  6","  1","  2","  0","  9","  0"," 17","  0","  0","  0","  1","  0","  3"," 15","  0","  0","  1","  0","  5","  1","  2","  0","  0","  0","  7","  0","  0","  0","  0","  2","  2","  0","  1","  0","  1","  0","  0","  1","  0","  0"," 52","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","109","  5"," 14","  2","  0"," 63"," 54","  9","  0","  0","  0","  0","  0","  0","  0","  1","523","  2","  0","  0","  0","  0","  0","  0","  1","  2","  0","  9","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  1","  6","  0","  0","  0","  0","  3"
"840","981","686"," 40","  0","  0","  0","  0","  0","  0","  4","107","  0"," 26"," 21","119","  0","  0"," 15","  0","  0","  4","  1","  0","  6","  0","  0","  0","  0","  2","  0","  8","  0","  1","  0"," 16","  0"," 15","  1","  0","  0","  1","  0","  2"," 14","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  6","  0","  2","  0","  0","  0","  6","  0","  1","  1","  0","  0","  0","  2","  0","  1"," 61","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  1"," 91","  5"," 12","  0","  1"," 65"," 93","  8","  0","  0","  0","  0","  0","  0","  0","  1","556","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  3","  6","  0","  0","  0","  1","  3"
"1034","1197"," 856","  50","   0","   0","   0","   0","   0","   0","   4"," 105","   0","  29","   4"," 189","   0","   0","  21","   0","   0","   3","   0","   1","  11","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","  10","   0","  12","   0","   1","   0","   0","   0","   1","  18","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   2","  60","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   2","   0","   0"," 111","   7","  10","   1","   0","  42","  41","   1","   0","   0","   0","   1","   0","   0","   0","   0"," 779","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","  18","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   3"
"1225","1411","1028","  60","   0","   0","   0","   0","   0","   0","   3"," 120","   0","  28","  25"," 211","   0","   1","  13","   0","   0","   3","   0","   0","  11","   0","   0","   0","   0","   3","   2","   8","   1","   0","   0","  11","   0","  11","   0","   0","   0","   0","   0","   2","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   4","   0","   0","   3","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","  75","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  16","   0","   0","   0","   0","   0","   0","   2"," 110","   8","  10","   0","   0","  88","  20","   3","   0","   0","   0","   1","   0","   1","   0","   1"," 786","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   1","  13","   0","   0","   0","   0","   0","   0","   0","   2","   4","   0","   0","   0","   0","   2"
"1413","1620","1197","  70","   0","   0","   0","   0","   0","   0","   7"," 127","   0","  17","  13"," 162","   0","   0","  13","   0","   0","   3","   0","   1","   5","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   8","   0","   7","   0","   0","   0","   0","   0","   0","   9","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   2","   1","   4","   0","   0","   4","   8","   0","   0","   0","   0","   0","   0","   1","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   2","   0","   1"," 124","   4","  16","   0","   0","  71","  23","   1","   0","   0","   0","   3","   0","   0","   0","   1"," 438","   1","   0","   0","   2","   0","   0","   0","   5","   0","   1","  12","   0","   1","   0","   0","   1","   0","   6","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3"
"1598","1826","1365","  80","   0","   0","   0","   0","   0","   0","   7"," 111","   0","  24","  15"," 173","   0","   0","  14","   1","   0","   7","   0","   0","   9","   0","   0","   0","   0","   1","   1","   3","   1","   0","   0","   7","   0","   8","   0","   1","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0","   2","  13","   0","   0","   1","   0","   0","   0","   1","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   1"," 139","  11","  20","   0","   0"," 113","  35","   5","   0","   0","   0","   0","   0","   0","   1","   1"," 567","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","  18","   0","   1","   1","   0","   0","   0","   7","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   2"
"1780","2024","1531","  90","   0","   0","   0","   0","   0","   0","   7"," 129","   0","  32","  18"," 191","   0","   0","  23","   0","   0","   3","   1","   0","   6","   0","   0","   0","   0","   1","   3","   6","   1","   2","   0","  13","   0","  12","   0","   1","   0","   3","   0","   2","  12","   1","   3","   0","   0","   0","   1","   1","   1","   0","   0","   7","   0","   1","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","  12","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","  90","  12","  15","   0","   1","  92","  52","   4","   0","   0","   0","   2","   0","   0","   0","   2"," 526","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","  13","   0","   1","   0","   0","   0","   2","   0","   3","   0","   0","   1","   1","   0","   4"
