"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Adiantum capillus-veneris","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Cardueae undif.","Caryophyllaceae undif.","Castanea","Chaetomium undiff.","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Indeterminable","Juglans","Lamiaceae undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Polypodiophyta (trilete) undiff.","Quercus deciduous","Quercus evergreen","Rubiaceae undif.","Rumex t.","Scrophulariaceae undif.","Sordaria undiff.","Urtica t.","Viburnum"
"103",NA,NA,"  0","  3","  8","  0","  6","  4","  0","  7"," 13","  0","  0","  3","  7","  2","  5"," 34"," 13"," 33"," 11"," 21","  5","  3"," 44"," 15","  8","  3","  6"," 36","  3","  4","  9","288","  3","  2"," 45","  0"," 21","  7","  0","  2","  3","  3","  0","  3"
"152",NA,NA,"  2","  2","  9","  2","  7","  2","  0","  5"," 21","  3","  2","  2","  8","  0"," 11"," 78"," 21"," 46"," 13"," 33","  4","  2"," 70","  9","  9","  3","  6"," 17","  1","  5"," 11","153","  0","  3"," 66","  3"," 19","  3","  3","  2","  2","  0","  1","  3"
"201",NA,NA,"  4","  0"," 11","  2","  8","  2","  1","  8"," 25","  3","  2","  0","  9","  1","  8"," 95","  9"," 56"," 21"," 11","  6","  2"," 54","  9","  7","  2"," 10"," 21","  3","  4","  8","167","  2","  1"," 54","  0"," 11","  9","  3","  0","  3","  2","  0","  4"
"251",NA,NA,"  6","  0"," 13","  0","  5","  0","  0","  5"," 18","  2","  3","  1"," 11","  1"," 13"," 21","  9"," 39","  9","  9","  7","  3"," 35"," 11"," 11","  7","  9"," 29","  2","  5"," 13","311","  3","  1"," 39","  2"," 23"," 16","  0","  3","  4","  3","  0","  5"
"300",NA,NA,"  8","  0"," 15","  0","  4","  7","  0"," 13","  5","  0","  0","  2","  5","  0","  9"," 89"," 14"," 67","  8","  9"," 11","  0"," 87"," 12"," 12","  5","  7","  5","  1","  4"," 12","169","  0","  0"," 72","  0","  9","  8","  0","  2","  0","  0","  0","  3"
"349",NA,NA," 10","  0"," 15","  2","  0","  5","  1","  0","  3","  1","  1","  4","  3","  1"," 11","  0","  5"," 14","  8"," 33"," 12","  2"," 27"," 23"," 11","  2","  5","  0","  3"," 14"," 23","489","  3","  1"," 27","  5"," 36"," 15","  0","  1","  1","  5","  1","  5"
"399",NA,NA," 12","  1"," 25","  0","  3"," 11","  0","  0","  3","  0","  1","  8","  2","  2"," 13","  4","  1"," 22"," 19"," 21"," 15","  4"," 31"," 18","  9","  5"," 11","  0","  4"," 11"," 17","521","  4","  0"," 31","  5"," 28"," 21","  2","  2","  2","  4","  5","  2"
"448",NA,NA," 14","  0"," 15","  5","  2","  4","  3","  8"," 21","  1","  3","  2"," 15","  2","  6"," 65"," 33"," 77","  9","  7"," 21","  2"," 45"," 11"," 11","  7","  4","  0","  6","  3"," 21","213","  0"," 13"," 66","  0","  7","  8","  1","  2","  1"," 43"," 13","  1"
"498",NA,NA," 16","  0"," 11","  8","  2","  3","  4","  9"," 33","  3","  5","  2","  9","  0","  8"," 88"," 54"," 65"," 11","  8"," 35","  0"," 35"," 21","  9","  8","  4","  0","  6","  3"," 13","222","  0"," 18"," 59","  1"," 11","  5","  0","  2","  0"," 28"," 16","  0"
"547",NA,NA," 18","  0"," 23","  2","  5","  7","  0","  0","  4","  2","  2","  2","  2","  1","  6","  0","  4"," 23"," 11"," 33"," 13","  2"," 18"," 13","  5","  2","  6","  0","  4","  9"," 11","400","  4","  0"," 44","  4"," 23"," 13","  0","  1","  1","  0","  3","  3"
"596",NA,NA," 20","  2"," 18","  3","  5"," 13","  1","  0","  4","  1","  3","  1","  0","  3","  7","  0","  5"," 19"," 23"," 41"," 24","  1"," 36"," 22"," 15","  2","  7","  0","  3"," 12"," 13","444","  4","  1"," 38","  5"," 15"," 24","  2","  1","  2","  1","  3","  3"
"646",NA,NA," 22","  0"," 23","  0","  4","  9","  0","  2","  2","  2","  0","  0","  1","  2","  5","  3","  7"," 44"," 17"," 23"," 14","  0"," 26"," 18"," 11","  3"," 12","  0","  0"," 11"," 17","359","  0","  1"," 25","  0"," 28"," 27","  1","  0","  3","  0","  0","  4"
"695",NA,NA," 24","  0"," 11","  3","  6"," 11","  1","  7","  3","  2","  1","  8","  2","  3","  7","133","  2"," 93"," 11"," 21"," 35","  4","114","  9"," 13","  1","  9","  0","  5","  4"," 12","165","  1","  1"," 78","  2"," 19"," 23","  2","  5","  5","  1","  3","  1"
"740",NA,NA," 26","  1"," 21","  0","  5","  7","  0","  0","  2","  0","  0","  4","  1","  0","  4","  1","  3"," 11","  9"," 21"," 23","  3"," 30"," 11","  7","  0","  4","  0","  3","  9"," 21","477","  2","  0"," 39","  0"," 21"," 25","  5","  2","  2","  0","  0","  2"
"783",NA,NA," 28","  0"," 19","  2","  5","  8","  0","  0","  0","  3","  5","  4","  0","  1","  0","  3","  1","  9"," 13"," 19"," 11","  3"," 38"," 13"," 11","  4","  8","  0","  4","  9"," 15","513","  0","  1"," 42","  3"," 33"," 32","  3","  2","  0","  1","  0","  3"
"826",NA,NA," 30","  0"," 11","  1","  6","  5","  0","  0","  3","  0","  1","  3","  2","  0","  9","  0","  4"," 13"," 19"," 23"," 18","  0"," 26","  8","  6","  0","  6","  0","  5"," 15","  9","449","  4","  0"," 45","  1"," 15"," 19","  0","  3","  3","  0","  1","  2"
"869",NA,NA," 32","  0"," 15","  3","  1","  9","  1","  0","  3","  1","  2","  3","  2","  1","  5","  0","  5"," 19"," 11"," 15","  8","  1"," 26","  9"," 11","  3"," 12","  0","  3"," 13","  7","469","  2","  0"," 41","  5"," 18"," 23","  1","  1","  2","  0","  1","  5"
"913",NA,NA," 34","  0"," 17","  0","  5","  8","  0","  0","  2","  2","  3","  2","  0","  2","  4","  0","  1"," 32","  9"," 23"," 11","  2"," 28","  7","  8","  4","  8","  0","  0"," 11","  6","500","  0","  0"," 32","  4"," 23"," 11","  0","  0","  3","  0","  0","  4"
"967",NA,NA," 36","  0"," 23","  0","  6","  6","  0","  1","  3","  3","  4","  2","  3","  3","  5","  0","  0"," 28"," 11"," 32","  9","  3"," 45"," 11","  9","  3","  8","  0","  5"," 23","  8","456","  2","  1"," 29","  5"," 27"," 21","  1","  3","  0","  0","  0","  5"
"1033",NA,NA,"  38","   0","  19","   3","   5","   7","   1","   0","   0","   1","   3","   0","   3","   1","  16","   0","   4","  41","   9","  14","  12","   2","  21","  21","   7","   5","  12","   0","   4","  11","   9"," 397","   4","   2","  42","   5","  19","  33","   3","   2","   4","   1","   2","   8"
"1099",NA,NA,"  40","   1","  18","   0","   7","   8","   0","   1","   3","   0","   5","   2","   4","   4","   7","   0","   3","  33","   8","  15","  21","   1","  30","   9","  11","   4","   9","   0","   0","  14","   7"," 433","   7","   0","  32","   5","  21","  26","   3","   1","   4","   0","   2","   0"
"1165",NA,NA,"  42","   0","  26","   2","   8","  11","   0","   0","   3","   1","   5","   3","   0","   3","   8","   2","   5","  69","  13","  23","  13","   3","  47","   9","  12","   3","  13","   0","   4","   7","   9"," 509","   0","   0","  15","   3","  13","  27","   2","   0","   0","   2","   0","   3"
