"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Juglans","Lamiaceae undif.","Malva undif.","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Solanaceae undif.","Typha","Ulmus t.","Valerianaceae undif."
"512.973",NA,NA,"260.000","  0.000","  0.000"," 88.000","  0.000"," 28.000"," 52.000","  0.000","  0.000","  0.000","  3.000","  0.000"," 15.000","  0.000","  4.000","  4.000","  9.000"," 15.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 95.000","  5.000","  0.000","  7.000","  4.000","  0.000","  3.000","  9.000","  1.000","  0.000","  0.000","  1.000","  0.000","  8.000"
"536.6486",NA,NA,"272.0000","  2.0000","  0.0000"," 72.0000","  1.0000"," 25.0000"," 45.0000","  0.0000","  0.0000","  3.0000","  4.0000","  0.0000"," 14.0000","  0.0000"," 10.0000","  4.0000","  5.0000"," 12.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000"," 61.0000","  7.0000","  0.0000","  8.0000"," 11.0000","  0.0000","  4.0000"," 15.0000","  2.0000","  2.0000","  2.0000","  2.0000","  0.0000","  5.0000"
"562.2973",NA,NA,"285.0000","  2.0000","  0.0000"," 33.0000","  2.0000","  9.0000"," 26.0000","  3.0000","  0.0000","  9.0000"," 15.0000","  1.0000"," 10.0000","  2.0000"," 14.0000"," 34.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  5.0000","  3.0000"," 40.0000"," 16.0000","  2.0000"," 16.0000"," 32.0000","  6.0000"," 10.0000","  1.0000","  7.0000","  0.0000","  0.0000"," 10.0000","  1.0000","  0.0000"
"591.8919",NA,NA,"300.0000","  5.0000","  1.0000"," 37.0000","  0.0000","  5.0000"," 21.0000","  6.0000","  1.0000","  5.0000"," 17.0000","  2.0000","  5.0000","  1.0000","  0.0000"," 25.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  2.0000","  0.0000"," 17.0000","  4.0000"," 61.0000","  6.0000","  0.0000","  9.0000"," 26.0000"," 19.0000"," 18.0000","  0.0000","  6.0000","  0.0000","  0.0000","  6.0000","  3.0000","  0.0000"
"623.4595",NA,NA,"316.0000","  4.0000","  2.0000"," 32.0000","  0.0000"," 10.0000"," 37.0000","  5.0000","  0.0000"," 13.0000","  9.0000","  5.0000","  7.0000","  0.0000","  9.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  3.0000"," 61.0000","  5.0000","  0.0000"," 15.0000"," 21.0000"," 11.0000"," 12.0000","  2.0000","  4.0000","  1.0000","  0.0000","  5.0000","  8.0000","  0.0000"
"674.7568",NA,NA,"342.0000","  3.0000","  2.0000"," 35.0000","  0.0000","  7.0000"," 20.0000","  0.0000","  0.0000","  1.0000"," 13.0000","  0.0000","  2.0000","  0.0000","  5.0000"," 22.0000","  1.0000","  0.0000","  0.0000","  2.0000","  5.0000","  0.0000","  1.0000","  0.0000"," 11.0000","  0.0000"," 85.0000"," 18.0000","  1.0000","  4.0000","  5.0000","  8.0000"," 12.0000","  3.0000"," 13.0000","  2.0000","  0.0000","  3.0000","  4.0000","  0.0000"
"690.5405",NA,NA,"350.0000","  9.0000","  6.0000"," 19.0000","  0.0000"," 12.0000"," 30.0000","  3.0000","  0.0000","  5.0000"," 15.0000","  7.0000","  3.0000","  1.0000","  2.0000"," 24.0000","  0.0000","  0.0000","  1.0000"," 13.0000","  1.0000","  4.0000","  1.0000","  0.0000","  8.0000","  4.0000"," 55.0000"," 12.0000","  3.0000","  5.0000"," 11.0000"," 11.0000","  3.0000","  4.0000"," 12.0000","  2.0000","  6.0000"," 12.0000","  3.0000","  0.0000"
"710.2703",NA,NA,"360.0000","  7.0000","  4.0000"," 21.0000","  0.0000"," 13.0000"," 12.0000"," 10.0000","  1.0000","  2.0000","  3.0000","  8.0000","  1.0000","  1.0000","  0.0000"," 19.0000","  0.0000","  0.0000","  0.0000"," 14.0000","  4.0000","  7.0000","  0.0000","  0.0000"," 20.0000","  3.0000"," 52.0000"," 13.0000","  6.0000"," 25.0000"," 42.0000","  5.0000"," 10.0000","  1.0000","  4.0000","  6.0000","  1.0000","  2.0000","  0.0000","  0.0000"
"730",NA,NA,"370","  6","  1"," 20","  0"," 12"," 22","  9","  0","  6","  4","  7","  9","  0","  7"," 24","  0","  1","  0"," 11","  1"," 11","  0","  0"," 18","  0"," 60"," 13","  6"," 14"," 45"," 10","  9","  6","  8","  0","  7"," 11","  4","  0"
"842.3405",NA,NA,"380.0000","  8.0000","  4.0000"," 17.0000","  0.0000","  7.0000"," 37.0000","  3.0000","  2.0000","  9.0000"," 29.0000","  1.0000","  5.0000","  1.0000"," 11.0000"," 28.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  0.0000","  5.0000","  0.0000","  0.0000"," 12.0000","  0.0000"," 45.0000","  8.0000","  2.0000"," 23.0000"," 37.0000","  3.0000","  5.0000","  4.0000"," 11.0000","  2.0000","  6.0000","  5.0000","  0.0000","  0.0000"
