"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calicotome","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cercis","Cichorieae","Cistaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fraxinus","Geranium","Hedera","Humulus","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Osyris","Periploca","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Spergularia t.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Vitex","Vitis","Ziziphus/Paliurus"
"-19",NA,NA,"  0","  2","  0"," 15"," 35","  1","  0","  2","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  1","  1","  0"," 68","  2","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 66","  0","  0","  0","  6","  3","  0","  0","  4","  2","  2","  2","  0","  0","  0","  0","  1"," 15","  0","  2","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0"
"38",NA,NA,"10"," 2"," 0","20","27"," 1"," 0"," 2"," 0"," 7"," 0"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 1","56"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","67"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 5"," 3"," 0"," 1"," 0"," 0"," 1"," 2"," 0"," 4"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"
"96",NA,NA,"20"," 2"," 0","22","14"," 0"," 0"," 2"," 0"," 4"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 4"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0"," 1","59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 5"," 4"," 0"," 1"," 0"," 1"," 2"," 0"," 0"," 4"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"
"153",NA,NA," 30","  3","  0"," 23"," 11","  1","  0","  4","  0","  1","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  4","  0","  0","  0","  1","  1","  0"," 49","  7","  0","  2","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  2","  0","  6","  2","  0","  0","  4","  5","  1","  0","  0","  0","  2","  2","  0"," 21","  0","  5","  1","  1","  0","  0","  4","  0","  6","  0","  0","  1","  0","  1","  0"
"211",NA,NA," 40","  8","  0"," 79"," 18","  0","  0","  4","  0","  5","  0","  8","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  5","  1","  0","  3","  0","  3"," 26","  0","  0","  4","  1","  7","  3","126"," 13","  0","  0","  0","  0","  1","  4","  2","  0"," 14","  1","  0","  0","  0","  0","  0","  2","  0"," 71","  1","  5","  1"," 17","  1","  0","  0"," 12"," 15","  2","  3","  2","  6"," 11","  6","  8"," 54","  0"," 23","  1","  0","  0","  0","  2","  3","  8","  0","  0","  0","  0","  1","  0"
"268",NA,NA," 50","  4","  0","220","  7","  0","  0","  4","  0","  2","  0"," 10","  0","  7","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  3","  0","  6"," 13","  0","  0","  1","  3","  3","  1","197"," 10","  0","  0","  0","  0","  0","  2","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  0"," 53","  1","  6","  0"," 21","  4","  2","  0"," 13","  7","  2","  0","  0","  9","  4","  0","  2"," 19","  0"," 15","  2","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  3","  0"
"326",NA,NA," 60","  3","  0","145","  9","  3","  0","  6","  0","  3","  0","  7","  0","  4","  0","  0","  0","  1","  1","  4","  3","  0","  1","  0","  0","  5","  0","  7"," 16","  0","  0","  0","  6","  7","  2","114","  9","  0","  0","  1","  0","  0","  3","  0","  0","  4","  1","  0","  0","  0","  0","  0","  1","  0"," 61","  0","  6","  2"," 37","  1","  2","  0"," 10"," 12","  1","  4","  0","  7","  5","  1","  7"," 40","  0"," 12","  0","  1","  0","  0"," 11","  3","  8","  0","  0","  0","  0","  4","  0"
"383",NA,NA," 70","  3","  0","170","  6","  2","  0","  3","  0","  1","  0","  5","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  1","  2","  0","  5","  0"," 10"," 18","  0","  0","  2","  3","  3","  0","215","  3","  0","  2","  0","  0","  1","  5","  1","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0"," 45","  1","  3","  0"," 16","  2","  1","  0","  4","  4","  1","  1","  0"," 29","  6","  0","  1"," 25","  0","  7","  0","  0","  0","  0","  6","  2","  2","  0","  0","  0","  0","  4","  0"
"441",NA,NA," 80","  0","  0","186","  6","  0","  0","  6","  0","  5","  0","  2","  0","  5","  0","  0","  0","  1","  1","  1","  0","  0","  3","  1","  0","  7","  0","  2"," 12","  0","  0","  0","  0","  2","  1"," 81","  8","  1","  2","  0","  0","  0","  3","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  1","  5","  0"," 17","  0","  0","  0","  7"," 10","  2","  0","  0","  3","  1","  1","  2"," 28","  0","  7","  1","  0","  0","  0","  1","  2","  2","  0","  0","  0","  0","  1","  0"
"498",NA,NA," 90","  2","  0","255","  2","  0","  0","  7","  0","  6","  0","  7","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  3","  0","  1"," 15","  0","  0","  1","  0","  2","  0"," 92","  8","  0","  1","  0","  0","  1","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  1","  2","  0"," 10","  0","  0","  0","  6","  6","  0","  0","  0","  0","  7","  2","  3"," 32","  0","  5","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0"
