"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Callitriche","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","HippophaÃ« rhamnoides","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Microthyrium","Musci","Myrtus","Olea t.","Ononis t.","Parnassia","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum boryanum var. boryanum sensu lato","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Viola","Vitis","charcoal"
"-50.00",NA,NA,"  1","1","0","0","2","2","7","36","0","2","0","11","0","0","0","5","4","0","0","4","5","1","2","22","2","5","0","23","0","3","14","0","1","0","0","1","0","2","9","59","2","0","0","4","12","1","0","0","0","0","0","12","0","0","7","0","0","380","0","23","1","0","0","0","13","0","0","2","4","0","0","8","1","72","224","5","0","0","5","1","0","7","12","11","7","18","0","0","0","1","2","1","1","0","0","2","0","2","0","6","0","3","0","2","0"
" 32.76",NA,NA," 18","1","0","0","5","4","8","24","1","3","2","18","0","0","0","3","13","0","0","2","0","3","1","4","8","4","2","17","1","0","7","1","0","0","1","0","0","0","9","62","4","0","0","1","77","1","0","0","0","0","0","16","0","0","14","0","0","638","0","8","1","0","0","0","18","0","0","1","1","2","0","15","2","89","192","1","0","0","0","0","0","0","10","17","4","26","1","2","0","0","3","0","2","0","0","0","0","1","0","10","0","0","0","1","0"
" 63.02",NA,NA," 24","1","0","0","2","2","7","107","4","1","0","15","0","1","0","4","44","1","0","4","6","0","0","25","1","2","1","4","0","0","12","0","0","0","1","0","1","0","5","15","2","1","1","0","38","1","0","2","0","0","0","4","0","0","48","1","0","611","0","30","1","1","0","0","23","0","0","6","0","0","0","0","1","123","412","1","0","0","1","1","0","0","8","8","2","17","0","0","1","1","3","3","0","0","0","0","0","1","0","8","0","3","0","0","0"
"103.36",NA,NA," 32","1","1","0","1","7","31","153","1","6","0","36","0","0","0","2","2","3","0","9","4","0","0","57","13","0","0","3","0","0","5","1","0","0","2","0","0","0","0","4","26","0","0","0","30","4","1","1","0","0","0","2","0","0","0","2","0","1405","0","0","1","0","1","0","12","0","0","2","5","0","0","3","0","323","207","6","1","0","0","0","1","0","13","2","2","6","0","0","0","0","1","2","0","0","0","0","0","5","0","1","0","0","1","0","0"
"143.69",NA,NA," 40","1","0","0","2","4","22","80","0","8","0","17","0","0","0","1","0","1","0","6","2","0","2","25","5","0","0","2","0","0","6","0","0","1","0","0","1","0","0","7","16","0","0","1","31","1","0","1","1","0","0","4","0","1","2","0","0","236","0","0","0","0","0","0","14","0","0","1","0","0","0","2","0","216","142","2","0","1","0","0","0","0","9","0","0","3","0","0","0","0","3","2","0","0","0","0","0","5","0","2","0","1","0","0","0"
"184.03",NA,NA," 48","1","0","0","0","3","27","264","0","7","0","10","0","0","0","2","1","3","0","9","2","0","0","22","6","0","0","1","0","0","2","0","0","0","0","0","0","1","0","11","44","0","0","0","19","1","0","1","0","0","0","1","0","0","0","0","0","364","0","0","0","0","0","0","15","0","0","1","3","0","0","5","0","280","310","1","0","0","1","0","0","0","6","1","0","4","0","0","0","0","1","0","0","0","1","0","0","6","1","1","0","0","0","0","0"
"264.71",NA,NA," 64","1","0","0","0","1","8","11","0","2","0","7","0","0","0","0","3","0","0","4","0","0","1","19","7","1","0","1","0","0","4","0","1","0","0","0","0","0","1","2","8","0","0","0","4","2","0","0","0","0","0","2","0","0","0","4","0","3186","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","85","48","0","0","0","0","2","0","0","5","1","0","0","1","0","0","0","1","1","0","0","0","0","1","6","0","2","0","0","0","0","0"
"305.05",NA,NA," 72","1","0","0","1","4","33","17","0","4","1","37","0","0","0","1","2","2","0","10","3","0","0","91","14","0","0","0","0","0","8","0","0","0","5","0","0","0","1","9","27","0","0","2","17","1","0","0","0","1","3","2","0","0","0","1","0","1721","0","1","0","0","0","0","11","1","0","1","7","0","1","2","0","274","127","0","0","0","0","0","0","0","22","1","2","1","0","0","0","0","3","1","1","0","1","0","0","19","0","10","0","1","0","0","0"
"345.39",NA,NA," 80","1","0","0","2","5","39","15","1","11","0","28","0","0","0","5","1","3","0","7","1","0","1","76","8","0","0","5","0","0","12","0","0","0","2","0","0","1","0","16","33","0","0","2","46","4","0","0","1","0","1","4","0","0","0","4","0","1386","0","0","0","0","0","0","25","0","0","0","1","0","0","3","0","331","171","3","1","1","0","0","0","0","15","1","1","4","1","0","0","0","3","3","0","0","0","0","2","8","0","12","0","1","0","1","0"
"426.07",NA,NA," 96","1","0","0","1","4","29","22","0","7","0","29","1","0","0","3","2","6","0","8","0","0","2","90","11","2","0","0","0","0","12","0","0","1","0","0","0","2","0","24","29","0","0","1","31","16","0","1","0","0","1","4","0","0","3","2","0","688","0","2","0","0","0","0","29","1","0","3","9","0","0","2","0","325","497","1","0","0","0","0","0","0","23","0","4","4","0","0","0","0","0","1","0","0","0","0","0","15","0","11","0","0","0","0","0"
