"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Aesculus","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Brassicaceae/Olea","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis/Morus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coryloideae","Crataegus/Sorbus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Euphorbia t.","Fagus","Fern","Filipendula t.","Fraxinus","Gentiana t.","Hedera","HippophaÃ« rhamnoides","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Liquidambar","Lythrum","Moraceae undif.","Myriophyllum spicatum/verticillatum t.","Olea t.","Ononis t.","Ostrya","Persicaria t.","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Tilia","Trifolium t.","Typha","Ulmus t.","Valerianella","Vitis","charcoal"
"-50.0",NA,NA,"  1.2","  0.0","  0.0","  0.0","  0.0"," 49.0","  8.0","  0.0","  7.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  5.0","  0.0","113.0","  3.0"," 77.0","  1.0","  4.0","  0.0"," 11.0"," 43.0","  1.0","  2.0","  0.0","  2.0","  3.0"," 17.0","  0.0","  0.0","  0.0"," 22.0","  1.0","  0.0","  0.0"," 29.0","  0.0","  0.0","  0.0","  0.0"
"-32.0",NA,NA," 11.5","  1.0","  0.0","  0.0","  0.0"," 36.0","  7.0","  1.0"," 29.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  6.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0","132.0","  3.0"," 80.0","  0.0","  4.0","  0.0","  3.0"," 28.0","  0.0","  2.0","  0.0","  3.0","  5.0","  2.0","  0.0","  1.0","  0.0"," 22.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"-12",NA,NA," 23","  0","  0","  0","  0"," 15","  1","  0"," 25","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  6","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  9","  0","  5","  0","147","  3"," 55","  0","  9","  0","  2"," 35","  0","  0","  0","  1","  0","  1","  0","  2","  0"," 70","  0","  0","  0","  0","  0","  0","  0","  0"
"  8.0",NA,NA," 34.5","  1.0","  0.0","  0.0","  0.0"," 22.0"," 11.0","  3.0"," 44.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  9.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  3.0","  0.0","120.0","  3.0"," 82.0","  0.0","  5.0","  0.0","  1.0"," 50.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0"," 29.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"
" 28",NA,NA," 46","  0","  0","  0","  0"," 15","  3","  1"," 50","  4","  1","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  7","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  5","  0","  3","  0","129","  3"," 85","  0","  4","  0","  1"," 45","  0","  0","  0","  0","  1","  0","  0","  2","  0"," 45","  0","  0","  0","  0","  0","  0","  0","  0"
" 48.00000",NA,NA," 57.50000","  1.00000","  0.00000","  0.00000","  0.00000"," 20.00000","  5.00000","  3.00000"," 63.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  6.00000","  0.00000","  0.00000","  0.00000","  5.00000","  7.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  6.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  3.00000","  0.00000","114.00000","  2.00000","110.00000","  0.00000","  3.00000","  0.00000","  1.00000"," 31.00000","  0.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000"," 25.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000"," 94.80337"
" 68.00000",NA,NA," 63.50000","  3.00000","  0.00000","  0.00000","  0.00000"," 29.00000","  3.00000","  3.00000"," 62.00000","  5.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  5.00000","  0.00000","  1.00000","  1.00000","  5.00000"," 46.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  4.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  3.00000","  1.00000","160.00000","  2.00000","126.00000","  0.00000","  6.00000","  0.00000","  0.00000"," 40.00000","  0.00000","  1.00000","  4.00000","  4.00000","  1.00000","  0.00000","  0.00000","  1.00000","  0.00000"," 14.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"," 15.41096"
"91.00000",NA,NA,"70.30000"," 1.00000"," 0.00000"," 0.00000"," 0.00000","16.00000","10.00000"," 0.00000","73.00000"," 0.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000"," 0.00000"," 0.00000"," 1.00000"," 0.00000"," 0.00000"," 2.00000"," 1.00000"," 1.00000"," 0.00000","11.00000","14.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 3.00000"," 0.00000"," 2.00000"," 0.00000"," 9.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000"," 6.00000"," 0.00000","94.00000","15.00000","76.00000"," 0.00000","22.00000"," 0.00000"," 0.00000","26.00000"," 0.00000"," 6.00000"," 2.00000"," 2.00000"," 1.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000","26.00000"," 0.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000"," 0.00000"," 0.00000","42.85714"
" 108.000",NA,NA,"  75.300","   1.000","   0.000","   0.000","   0.000","  10.000","  10.000","   1.000","  69.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","  10.000","  59.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  70.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","  92.000","   3.000","  94.000","   0.000","   2.000","   0.000","   0.000","  35.000","   0.000","   1.000","   0.000","   3.000","   0.000","   2.000","   0.000","   2.000","   0.000","   7.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","1333.587"
"128.0000",NA,NA," 81.2000","  0.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  7.0000","  1.0000"," 77.0000","  2.0000","  0.0000","  1.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  4.0000","  0.0000","106.0000","  0.0000","171.0000","  0.0000","  1.0000","  0.0000","  0.0000"," 25.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 18.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","257.5107"
