"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Callitriche","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Closterium cf. C. rostratum","Closterium idiosporum","Closterium idiosporum-type","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Dyadosporites","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Fraxinus","Fungi","Fusiformisporites","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hydrocharitaceae","Hypecoum","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lycium","Lysimachia","Lythrum","Malva undif.","Mercurialis","Microthyrium-type","Morella","Mougeotia-type","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Parnassia","Paronychieae","Pellaea-type","Petaloid monocot","Phillyrea","Pilularia","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Pluricellaesporites","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rhus coriaria","Riccia lamellosa-type","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcocapnos","Scrophulariaceae undif.","Sparganium","Spike tablets","Tamarix","Taxus","Thalictrum","Thecaphora-type","Thymelaeaceae undif.","Tilletia caries-type","Transeauina","Trichuris","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
" 3014"," 3301"," 2713"," 37"," 1","0","0","0","0","77","0","0","11","0","0","2","0","0","0","0","9","1","0","0","0","0","0","0","0","2","29","8","0","0","0","0","0","1","0","0","49","0","2","0","0","0","18","0","0","0","0","0","0","239","0","334","3","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","9","0","0","1","0","0","0","0","0","0","98","10","0","6","19","0","0","0","0","0","0","5","2","3","62","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","6","0","33","0","0","0"
" 3135"," 3414"," 2846"," 38",NA,"0","0","0","0","30","0","2","0","0","0","0","0","0","3","0","11","0","0","0","0","0","1","0","0","3","22","4","0","0","0","0","0","0","0","0","31","0","5","0","0","0","16","0","0","0","0","11","0","184","0","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","2","4","5","6","0","0","0","0","0","0","2","1","3","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","16","0","26","0","0","0"
" 3256"," 3526"," 2978"," 39",NA,"0","0","0","0","60","0","1","1","0","1","0","4","0","8","0","6","0","0","0","0","0","0","0","0","4","24","13","0","0","2","0","0","0","0","0","22","0","5","0","0","0","9","0","0","0","0","7","0","199","0","210","6","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","2","0","2","0","0","0","0","51","3","0","3","22","0","0","0","0","3","0","0","0","8","96","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","21","0","18","0","0","0"
" 3377"," 3637"," 3109"," 40",NA,"0","0","0","1","63","0","0","8","0","0","0","1","0","1","0","4","0","0","3","0","0","0","0","0","1","14","1","0","1","0","0","0","0","0","0","8","0","15","0","0","0","0","0","0","0","0","0","0","95","0","72","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","0","1","26","0","0","0","0","0","0","0","0","2","25","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","5","0","2","0","1","0","4","0","56","0","0","0"
" 3498"," 3750"," 3241"," 41",NA,"0","0","0","0","17","0","1","4","0","0","2","4","0","3","0","0","2","0","0","0","0","0","0","0","1","14","2","0","0","0","0","0","2","0","0","13","0","20","0","0","0","1","0","0","0","0","1","0","198","0","94","1","0","5","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","8","0","1","26","0","0","0","0","0","0","0","0","5","45","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","50","0","1","0"
" 3619"," 3860"," 3370"," 42"," 1","0","0","0","0","34","0","0","5","0","0","0","2","0","7","0","3","0","0","0","0","0","0","0","0","0","16","15","0","0","0","0","0","0","0","0","5","0","13","0","0","0","0","0","0","0","0","0","0","199","0","191","8","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","7","0","4","26","0","0","0","0","0","0","0","3","1","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","80","0","0","0"
" 3740"," 3972"," 3500"," 43"," 1","0","0","0","0","71","0","0","8","0","0","0","16","0","6","0","3","0","0","0","0","0","0","0","0","5","15","7","0","0","0","0","0","0","9","0","48","0","14","0","0","0","9","0","0","0","0","11","0","179","0","143","2","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","5","0","2","49","0","0","0","0","0","0","0","0","7","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","12","0","76","0","0","0"
" 3861"," 4085"," 3630"," 44",NA,"0","0","0","0","57","0","5","5","0","0","0","3","0","4","0","3","0","0","4","0","0","0","0","0","0","14","4","0","0","0","0","0","3","0","0","45","0","17","0","0","0","8","0","0","0","0","2","0","244","0","124","22","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","46","19","0","2","28","0","0","0","0","0","0","0","0","8","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","3","0","0","0","12","0","64","0","0","0"
" 3982"," 4199"," 3759"," 45",NA,"0","0","0","0","31","0","4","3","0","0","0","2","0","2","0","3","0","0","0","0","0","0","0","0","2","19","4","0","0","0","0","0","0","0","0","59","0","18","0","0","0","2","0","0","0","0","2","0","229","0","193","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","56","14","2","2","43","0","0","0","0","0","0","0","0","10","56","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","46","0","0","0"
" 4103"," 4313"," 3888"," 46"," 2","0","0","0","0","37","0","0","2","0","0","0","1","0","0","0","11","0","0","11","0","0","0","0","0","0","11","4","0","0","0","0","0","0","3","0","16","0","11","0","0","0","8","0","0","0","0","1","0","201","0","236","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","57","6","0","1","11","0","0","0","0","0","0","0","0","4","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","23","0","42","2","0","0"
