"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Genisteae","Geraniaceae undif.","Hydrocharitaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Myriophyllum undif.","Myrtus","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Riccia","Roemeria","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Sparganium","Spike","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Zygnema/Spirogyra"
" 3241"," 3455"," 3011"," 35","0","1","2","0","3","0","0","1","0","0","0","0","1","0","1","1","0","2","32","0","0","5","0","12","0","0","0","0","1","0","0","1","0","0","0","1","0","62","0","1","0","25","1","0","6","31","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1","0","60"
" 3710"," 3891"," 3513"," 45","0","0","1","1","10","6","2","1","0","0","0","0","6","0","13","3","0","0","129","0","0","3","1","26","0","0","1","0","2","1","0","2","0","0","1","0","0","53","1","9","0","43","1","0","4","58","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","4","70"
" 4180"," 4336"," 4015"," 55","0","0","2","2","17","0","2","0","1","0","1","0","2","0","9","4","1","2","150","1","0","5","0","39","0","1","0","0","3","0","0","0","2","0","2","1","1","79","0","15","0","44","0","2","7","73","0","0","0","0","1","0","6","0","1","0","1","0","0","6","0","0","80"
" 4650"," 4790"," 4508"," 65","0","0","5","0","12","3","2","1","0","1","0","0","0","1","2","7","0","2","24","0","0","2","1","49","2","0","0","0","0","1","0","0","0","0","5","0","2","96","5","6","0","23","0","0","2","89","0","0","2","1","0","0","1","0","0","0","0","2","1","2","1","0","0"
" 5120"," 5252"," 4981"," 75","0","1","1","1","11","6","3","1","0","1","0","1","0","0","12","8","0","3","36","1","0","3","0","68","0","0","1","0","2","2","0","0","0","0","1","0","0","79","0","6","0","15","0","0","6","51","3","0","1","0","0","0","1","0","0","0","0","0","0","1","0","3","70"
" 5589"," 5728"," 5441"," 85","0","1","1","0","11","1","0","0","0","0","0","0","0","0","2","0","1","3","29","0","1","4","4","90","0","0","0","0","2","0","0","0","0","0","3","0","1","40","4","5","0","24","0","0","3","66","1","0","0","0","0","1","0","0","0","0","1","0","0","5","0","1","30"
" 6059"," 6213"," 5886"," 95","0","0","1","0","0","5","2","0","0","0","0","0","0","0","2","0","0","2","49","0","0","0","2","35","0","0","0","0","0","3","0","0","0","0","0","0","1","62","0","4","0","25","0","0","4","27","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","94"
" 6529"," 6712"," 6325","105","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","1","0","0","10","0","2","0","0","35","0","0","0","6","0","0","1","0","0","1","0","0","0","163","0","0","1","14","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","15"
" 8393"," 8592"," 8178","115","0","0","6","1","1","6","6","0","0","0","0","0","0","1","2","2","0","0","6","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","1","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"10257","10541"," 9913","125","0","0","6","0","0","31","5","0","0","0","0","0","0","1","5","0","0","1","2","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","2","0","173","1","1","0","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","20"
"13053","13522","12495","140","0","0","1","0","1","10","1","0","0","0","0","0","0","1","9","0","0","2","14","0","1","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","0","212","0","1","0","39","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","29"
"14917","15521","14206","150","0","0","2","1","0","10","1","0","0","0","0","0","0","0","3","0","0","1","9","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","147","0","0","0","41","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17"
"16312","16834","15754","160","0","0","0","0","0","3","1","0","0","0","0","0","0","0","3","0","0","0","5","0","1","0","0","22","0","0","0","0","1","0","0","0","0","0","0","0","0","252","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68"
"17708","18155","17243","170","1","0","4","0","1","19","5","1","0","0","0","0","1","0","1","0","0","1","19","0","1","0","0","10","0","0","0","0","0","0","0","0","0","4","0","0","0","189","0","2","0","32","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","40"
"19104","19516","18687","180","2","0","4","0","12","34","1","1","0","0","0","0","0","0","0","1","0","3","10","0","1","1","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","174","0","0","0","20","0","0","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","18"
