"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","HippophaÃ«","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"  6.888889",NA,NA,"  4.000000"," 12.000000","  9.000000","  0.000000","  8.000000","  4.000000","  2.000000","  5.000000","  0.000000"," 11.000000","  4.000000","  0.000000","  8.000000","  4.000000"," 10.000000"," 64.000000"," 42.000000","  0.000000","  0.000000","  8.000000"," 35.000000","  4.000000","  0.000000","  6.000000","  6.000000","  4.000000"," 12.000000","  2.000000","  0.000000"," 32.000000"," 29.000000"," 28.000000","142.000000"," 15.000000"," 10.000000","  1.000000","  8.000000","123.000000"," 12.000000","  4.000000"," 15.000000"," 15.000000"," 42.000000"," 44.000000","  9.000000","  8.000000","  4.000000","  8.000000","  1.000000","  0.000000","  0.000000","  0.000000","  0.000000","  8.000000","  3.000000","  0.000000","  0.000000"," 15.000000"," 12.000000","  8.000000","  0.000000","  0.000000","  0.000000"
" 20.66667",NA,NA," 10.00000","  3.00000","  0.00000","  5.00000","  9.00000","  0.00000","  8.00000"," 23.00000","  0.00000"," 15.00000"," 11.00000","  0.00000","  9.00000","  0.00000"," 16.00000"," 65.00000"," 18.00000","  1.00000","  3.00000"," 15.00000","  5.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 31.00000"," 15.00000"," 25.00000","158.00000"," 32.00000"," 12.00000","  0.00000"," 11.00000"," 45.00000","  8.00000","  6.00000","  0.00000","  0.00000"," 67.00000"," 25.00000"," 15.00000","  3.00000","  1.00000","  6.00000","  0.00000","  3.00000","  2.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"
" 41.33333",NA,NA," 16.00000","  3.00000","  0.00000","  5.00000","  9.00000","  0.00000","  8.00000"," 23.00000","  0.00000"," 15.00000"," 11.00000","  0.00000","  9.00000","  0.00000"," 16.00000"," 65.00000"," 18.00000","  1.00000","  3.00000"," 15.00000","  5.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 16.00000"," 15.00000"," 20.00000","158.00000"," 29.00000"," 12.00000","  0.00000"," 11.00000"," 45.00000","  8.00000","  6.00000","  0.00000","  0.00000"," 67.00000"," 25.00000"," 15.00000","  3.00000","  1.00000","  6.00000","  0.00000","  3.00000","  2.00000","  0.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000","  1.00000","  0.00000","  1.00000","  0.00000","  0.00000","  0.00000"
" 62",NA,NA," 22","  0","  4","  1","  5","  1"," 12"," 22","  0","  6","  8","  0"," 12","  4"," 12"," 65"," 12","  1","  0","  6"," 18","  2","  0"," 12","  2","  0","  0","  2","  0","  6","  2"," 10","117","  9","  9","  2","  3"," 31"," 10","  4","  7"," 10"," 53","  9","  8","  2","  0","  4","  2","  2","  6","  0","  0","  2","  1","  0","  0","  0","  5","  0","  0","  0","  0"
"82.66666",NA,NA,"26.00000"," 0.00000"," 0.00000","43.00000"," 6.00000"," 0.00000","23.00000","59.00000"," 0.00000"," 6.00000"," 8.00000"," 5.00000"," 5.00000"," 0.00000","15.00000","38.00000"," 2.00000"," 7.00000","14.00000"," 5.00000"," 3.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 8.00000"," 2.00000"," 8.00000","92.00000","12.00000"," 6.00000"," 0.00000"," 6.00000","16.00000"," 5.00000"," 4.00000"," 0.00000"," 0.00000","45.00000"," 2.00000"," 7.00000"," 1.00000"," 0.00000"," 5.00000"," 0.00000"," 6.00000"," 8.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 5.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 6.00000"," 3.00000"
"96.44444",NA,NA,"32.00000"," 1.00000"," 0.00000","76.00000"," 3.00000"," 0.00000","35.00000","85.00000"," 0.00000"," 3.00000"," 6.00000"," 8.00000"," 4.00000"," 0.00000","17.00000","32.00000"," 0.00000","10.00000","35.00000"," 3.00000"," 2.00000"," 0.00000"," 0.00000"," 1.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 5.00000"," 1.00000"," 4.00000","80.00000"," 5.00000"," 4.00000"," 0.00000"," 3.00000","12.00000"," 2.00000"," 2.00000"," 0.00000"," 0.00000","32.00000"," 0.00000"," 4.00000"," 0.00000"," 0.00000"," 2.00000"," 0.00000","12.00000","13.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 8.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","10.00000"," 6.00000"
"117.1111",NA,NA," 37.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 15.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
"134.3333",NA,NA," 41.0000","  0.0000","  0.0000"," 32.0000","  3.0000","  0.0000"," 42.0000"," 66.0000","  0.0000","  3.0000"," 14.0000","  3.0000"," 21.0000","  0.0000"," 26.0000"," 42.0000","  0.0000"," 21.0000","  5.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000"," 15.0000","110.0000"," 22.0000"," 12.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  7.0000","  0.0000","  0.0000"," 72.0000","  0.0000"," 14.0000","  0.0000","  0.0000","  3.0000","  0.0000"," 15.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  5.0000"
"148.1111",NA,NA," 46.0000","  0.0000","  0.0000"," 42.0000","  5.0000","  0.0000"," 22.0000"," 55.0000","  0.0000","  5.0000","  7.0000","  7.0000","  5.0000","  0.0000"," 15.0000"," 36.0000","  2.0000","  8.0000"," 15.0000","  4.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  7.0000","  2.0000","  8.0000"," 85.0000"," 11.0000","  6.0000","  0.0000","  5.0000"," 15.0000","  7.0000","  5.0000","  0.0000","  0.0000"," 41.0000","  2.0000","  6.0000","  1.0000","  0.0000","  4.0000","  0.0000","  7.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  7.0000","  3.0000"
"165.3333",NA,NA," 52.0000","  0.0000","  0.0000"," 43.0000","  6.0000","  0.0000"," 23.0000"," 59.0000","  0.0000","  6.0000","  8.0000","  5.0000","  5.0000","  0.0000"," 15.0000"," 38.0000","  2.0000","  7.0000"," 14.0000","  5.0000","  3.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  2.0000","  8.0000"," 92.0000"," 12.0000","  6.0000","  0.0000","  6.0000"," 16.0000","  5.0000","  4.0000","  0.0000","  0.0000"," 45.0000","  2.0000","  7.0000","  1.0000","  0.0000","  5.0000","  0.0000","  6.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  3.0000"
