"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cercophora undiff.","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Drosera","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Galium t.","Genisteae","Geranium","Ilex","Juglans","Lamiaceae undif.","Olea t.","Osmunda regalis-type","Pedicularis","Petaloid monocot","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Pseudoschizaea circula","Pteridium aquilinum-type","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Sordaria undiff.","Spike","Spike tablets","Taxus","Unknown (type 181, HdV)","Urtica t.","Viola"
"-58",NA,NA,"  0","21","0","16","11","11","0","0","4","0","0","2","5","1","2","9","1","0","1","0","1","0","1","3","0","4","72","0","2","1","11","0","3","0","7","0","2","1","0","0","2","0","20","19","0","9","370","1","0","0","5","49","3","5","7","15","0","2","8","0","1","2","17","8","0"
"-45",NA,NA,"  5","21","1","3","23","10","0","2","2","0","0","2","2","4","1","5","1","1","0","1","0","0","0","0","0","2","19","0","12","0","5","0","5","0","50","0","2","1","0","2","1","0","1","21","0","10","340","2","0","0","8","26","6","1","4","21","2","0","10","0","1","0","0","15","0"
"-32",NA,NA," 10","21","0","4","9","12","0","2","2","0","0","1","3","3","2","17","1","4","0","1","2","0","0","0","0","1","28","0","6","2","19","0","2","0","27","0","0","0","0","2","0","0","1","14","0","12","310","2","0","0","10","29","3","2","2","26","1","0","5","0","1","2","3","14","0"
"-19",NA,NA," 15","21","0","1","7","14","0","3","10","0","0","4","2","1","2","8","0","0","0","1","0","0","1","0","0","1","19","0","5","0","9","0","3","0","22","0","1","0","0","3","0","0","3","13","0","12","333","1","0","0","13","25","5","3","3","23","1","0","31","0","1","3","0","23","0"
" -6",NA,NA," 20","21","0","0","7","5","1","0","8","0","1","1","14","1","2","18","1","0","2","7","3","1","2","0","0","1","12","0","68","1","10","0","4","0","3","0","2","1","0","4","0","0","6","37","0","1","330","1","0","0","8","16","0","1","4","10","4","0","1","0","1","3","0","4","0"
"  7",NA,NA," 25","21","0","0","10","2","0","1","7","0","0","3","9","2","2","9","0","0","1","2","1","0","2","2","0","2","11","0","18","0","16","0","3","1","5","0","1","0","0","3","0","0","2","28","14","6","265","0","0","0","12","28","5","3","4","23","4","0","2","0","1","2","0","4","0"
" 20",NA,NA," 30","21","0","0","6","1","0","1","2","0","0","2","8","0","1","12","1","0","0","1","1","0","1","1","0","0","3","0","25","0","15","0","4","1","7","0","1","0","0","1","0","0","7","14","0","4","421","2","0","0","6","30","5","4","3","20","1","0","0","0","1","1","0","4","0"
" 33",NA,NA," 35","21","0","1","5","0","0","0","4","0","0","0","7","3","3","16","3","7","0","1","0","0","2","0","2","4","23","0","10","0","17","0","3","0","2","0","4","0","0","0","0","0","6","13","3","6","289","3","0","0","11","36","7","9","3","30","0","3","0","0","1","3","0","26","0"
" 46",NA,NA," 40","21","0","0","5","5","1","2","12","0","0","2","7","0","1","10","0","1","0","1","6","0","3","0","0","1","7","0","48","0","25","0","5","0","13","1","1","0","0","2","0","0","4","15","0","7","380","3","0","0","7","34","5","2","3","10","5","1","0","0","1","2","0","5","0"
" 59",NA,NA," 45","21","0","0","7","13","0","2","5","0","0","3","15","2","4","3","3","0","5","6","3","0","0","2","0","4","9","0","7","0","11","0","0","0","2","0","3","3","0","6","9","0","3","35","8","7","281","8","0","1","0","22","6","5","3","15","3","0","1","0","1","1","0","10","0"
" 72",NA,NA," 50","21","0","8","12","2","0","0","3","0","0","1","11","2","3","11","3","0","0","4","1","0","2","2","1","6","5","0","22","0","0","0","2","0","8","3","5","1","0","4","0","1","7","16","11","1","248","3","0","0","5","52","9","9","8","24","3","0","5","0","1","1","0","4","0"
" 85",NA,NA," 55","21","0","0","3","2","0","0","7","0","0","1","6","7","0","14","3","0","6","9","0","0","5","0","1","6","2","0","28","0","12","0","1","2","6","0","0","0","0","5","0","0","12","5","6","2","272","0","2","1","0","38","16","4","0","19","0","6","0","0","1","3","0","0","0"
" 98",NA,NA," 60","21","0","2","4","7","1","2","5","2","1","0","6","1","0","16","2","4","0","3","2","1","5","0","0","0","16","0","26","0","16","0","10","0","20","0","3","0","0","7","2","0","15","27","0","5","315","1","0","0","7","25","3","3","6","18","5","2","10","0","1","5","0","9","0"
"111",NA,NA," 65","21","2","12","7","8","0","1","9","7","0","3","3","5","4","23","11","0","3","2","6","0","1","11","0","1","8","1","28","0","56","0","8","0","13","0","9","0","0","3","2","0","1","7","0","3","223","3","0","0","29","38","12","2","12","18","3","0","6","0","1","4","0","3","0"
"124",NA,NA," 70","21","2","0","8","3","0","2","3","2","0","1","5","5","3","9","19","0","4","1","5","0","1","1","0","4","11","3","27","0","24","0","4","1","4","1","2","1","2","4","0","0","1","12","1","4","231","6","0","0","31","41","0","10","10","10","2","0","21","0","1","7","0","19","0"
"137",NA,NA," 75","21","1","0","8","1","0","2","3","3","0","2","8","1","0","22","4","2","0","2","1","0","2","3","0","3","29","0","37","0","36","0","2","0","11","0","3","0","0","0","2","0","2","9","3","1","256","1","0","0","23","36","5","10","10","12","4","0","10","0","1","2","0","15","1"
"150",NA,NA," 80","21","0","0","6","7","0","1","26","0","0","1","3","1","2","11","3","3","0","1","0","65","1","0","0","7","12","1","36","1","20","0","4","0","19","0","3","0","0","1","0","0","1","5","0","1","274","0","0","0","8","51","2","5","12","23","5","2","7","0","1","2","0","7","0"
"163",NA,NA," 85","21","0","0","10","2","0","0","12","0","0","0","4","6","6","13","11","6","5","5","5","0","8","3","0","26","15","0","24","1","32","1","1","0","17","0","4","0","2","0","0","0","1","1","3","4","173","1","0","0","11","73","6","15","5","17","8","5","4","0","1","5","0","4","0"
"176",NA,NA," 90","21","0","0","10","5","0","1","7","0","0","7","4","2","1","14","3","10","0","0","0","0","3","0","0","7","11","0","75","0","60","2","8","0","12","0","2","0","0","1","0","0","2","17","0","4","312","1","0","0","20","45","0","2","3","11","3","1","1","0","1","2","0","26","0"
"189",NA,NA," 95","21","2","0","13","1","0","1","2","0","0","1","3","3","3","23","4","0","0","0","4","0","1","0","0","0","5","0","119","1","33","0","5","0","11","0","2","0","0","9","0","0","0","18","1","2","210","0","0","0","11","50","3","5","9","5","9","0","0","0","1","3","0","7","0"
"202",NA,NA,"100","21","0","0","16","4","0","0","3","0","0","1","7","3","4","25","7","0","1","2","1","0","0","0","0","0","9","1","90","1","42","1","7","0","5","0","7","0","0","2","3","0","0","17","0","2","325","1","0","0","12","42","0","2","6","14","4","1","0","0","1","2","0","6","0"
"215",NA,NA,"105","21","0","0","16","1","0","0","10","0","0","0","7","2","3","46","0","0","2","4","0","0","8","0","1","4","10","14","114","2","28","0","0","0","2","0","2","0","0","9","0","0","3","7","3","5","124","0","0","1","7","48","1","0","0","12","0","7","0","0","1","8","0","37","0"
"228",NA,NA,"110","21","0","0","16","3","0","0","5","0","0","0","7","2","2","24","0","0","0","1","0","0","4","0","0","2","5","5","139","0","53","0","1","0","7","0","2","0","0","0","2","0","1","28","1","3","150","0","0","0","18","31","0","2","3","6","1","4","0","0","1","7","0","6","0"
