"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Algae","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Botryococcus (type 901, HdV)","Brassicaceae","Byssothecium circinans (type 16, HdV)","Byssothecium circinans (type 16C, HdV)","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cercophora-type/Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Coniochaeta ligniaria (type 172, HdV)","Copepoda (type 28, HdV)","Corylus","Cupressaceae","Cyperaceae","Entorrhiza sp. (type HdV-527)","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi (type 18, HdV)","Gelasinospora (type 1, HdV)","Genisteae","Glomus cf. G. fasciculatum (type 207, HdV)","Hymenophyllum","Indeterminable","Invertebrata (type 88, HdV)","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Musci","Neurospora crassa (type 55C, HdV)","Olea t.","Oribatida (type 36, HdV)","Paeonia","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Podospora-type (type 368, HdV)","Polygonum t.","Polypodiophyta (trilete)","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhabdocoela (type 353, HdV)","Rhamnus","Rhytidospora cf. R. tetraspora (type 171, HdV)","Riccia cf. R. sorocarpa (type 165, HdV)","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sordaria-type (type 55A, HdV)","Sporormiella (type 113, HdV)","Thymelaeaceae undif.","Tilletia sphagni (type 27, HdV)","Typha","Urtica t.","Ustulina deusta (type 44, HdV)","Viburnum","Zopfiella-type/Apiosordaria verruculosa (type 169, HdV)","cf. Persiciospora (type 124, HdV)","cf. Richonia variospora (type 140, HdV)"
" -60",NA,NA," 2","1.30","0","0","0","0","2","0","0","0","2","55","0","0","0","0","0","5","0","0","0","0","0","0","0","0","3","15","1","0","110","0","28","0","122","0","5","16","1","10","0","0","0","3","9","0","1","0","1","0","0","3","0","1","1","0","1","1","3","5","55","1","0","0","3","2","0","0","0","88","4","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","8","0","1","0","0","0","0","0"
" -50",NA,NA," 4","1.30","1","2","0","0","2","0","0","0","0","48","0","0","0","0","0","2","0","0","0","0","1","0","0","0","1","14","2","0","129","0","30","0","150","0","11","21","0","11","0","0","0","2","9","0","0","0","1","0","0","6","0","0","1","0","2","0","3","2","45","0","0","0","6","6","0","0","0","72","3","1","2","0","1","0","0","0","0","2","1","0","0","1","0","2","1","2","1","2","0","0","0","0"
" -40",NA,NA," 6","1.30","0","1","0","0","4","0","0","0","1","17","0","0","0","0","0","9","0","1","0","2","0","0","0","0","0","16","0","0","121","0","11","0","263","0","5","13","1","4","0","1","0","3","10","0","1","0","1","0","1","2","0","0","0","0","0","0","1","0","11","0","0","1","1","0","0","0","0","43","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -30",NA,NA," 8","1.30","0","0","0","0","0","0","2","0","4","22","0","0","0","0","1","9","0","1","0","0","0","0","0","0","1","17","0","0","138","0","11","0","213","0","5","13","0","1","0","1","0","4","9","0","0","0","1","0","0","3","0","0","0","0","0","0","1","0","25","0","1","0","3","1","0","0","0","44","3","0","0","0","1","0","1","0","0","1","2","0","0","0","0","0","1","1","1","0","0","0","0","0"
" -20",NA,NA,"10","1.32","6","0","0","0","0","1","0","1","3","19","1","1","2","1","0","12","0","0","0","1","0","0","0","0","4","13","2","0","137","0","40","0","134","3","4","30","0","11","1","0","2","3","10","0","0","0","1","0","0","3","0","0","2","0","0","0","4","3","80","1","3","0","9","1","0","0","1","52","5","0","2","2","3","0","0","0","0","0","2","0","0","1","1","1","1","0","0","0","0","0","1","0"
" -10",NA,NA,"12","1.31","2","0","0","1","0","0","1","0","2","40","0","0","0","1","0","3","0","7","3","1","0","0","0","0","1","18","3","0","147","0","33","2","113","0","4","20","2","6","0","0","0","3","8","0","0","0","1","1","0","6","0","0","2","0","0","1","4","9","63","1","0","0","5","0","0","1","1","74","3","0","0","0","1","0","0","0","0","1","1","0","0","5","3","2","1","1","1","0","0","0","0","0"
"   0",NA,NA,"14","1.30","1","1","0","0","1","0","0","0","1","52","0","0","1","0","0","7","0","1","0","0","0","0","0","2","2","11","1","0","162","0","32","2","104","0","5","22","1","9","0","2","1","4","9","1","0","0","1","0","0","6","1","0","0","1","0","0","3","8","87","1","0","0","1","0","1","0","0","36","2","0","2","0","1","1","0","0","2","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0"
"  11",NA,NA,"16","1.31","1","0","0","0","1","0","2","0","1","41","0","0","0","0","0","4","0","0","0","1","1","0","0","0","3","12","1","2","143","0","31","9","147","0","9","19","6","15","1","0","2","3","10","0","0","0","1","0","0","5","2","0","0","1","0","0","5","6","61","0","1","0","7","0","0","0","0","57","1","0","3","2","0","0","0","0","0","6","1","0","0","2","1","0","2","0","0","0","0","0","0","0"
"  22",NA,NA,"18","1.33","1","0","0","0","5","0","0","0","2","43","0","0","1","0","0","6","0","0","1","2","0","1","0","1","3","22","2","0","138","0","33","3","133","0","2","23","1","12","0","1","1","2","10","0","0","0","1","1","0","7","5","0","0","1","0","1","4","6","44","0","1","0","4","0","0","0","1","78","1","0","3","0","1","0","0","2","0","0","2","0","0","3","4","0","0","0","3","0","0","0","0","0"
"  33",NA,NA,"20","1.31","1","1","0","1","1","0","0","1","0","41","0","0","2","0","1","7","0","0","0","0","0","0","0","0","1","36","6","1","123","0","23","4","157","0","5","18","0","9","0","0","3","4","7","0","1","0","1","0","0","3","0","0","0","2","0","1","6","4","47","0","2","0","2","0","0","0","0","82","3","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","3","0","0","0","0","0"
"  44",NA,NA,"22","1.26","3","1","0","1","1","0","1","0","0","32","0","0","0","0","0","4","0","0","2","0","1","0","0","2","5","18","4","1","153","0","26","5","126","0","2","17","0","11","0","0","2","0","7","0","0","0","1","0","1","8","0","0","0","0","0","0","1","0","57","0","1","0","4","0","0","1","1","93","2","0","3","0","1","0","0","2","0","1","0","0","0","4","4","1","0","0","2","0","0","0","0","0"
"  55",NA,NA,"24","1.30","2","1","0","0","2","0","1","0","1","33","0","0","1","0","0","10","0","1","2","1","0","0","0","2","4","17","5","3","162","0","19","2","110","0","3","27","0","8","0","0","1","2","5","1","0","0","1","0","0","6","5","0","1","2","0","2","1","1","65","0","1","0","6","0","0","2","1","82","1","0","1","0","1","0","0","2","0","0","0","0","1","5","3","0","0","0","1","0","0","0","0","0"
"  66",NA,NA,"26","1.28","0","1","0","2","0","0","0","0","0","25","0","0","1","0","0","12","0","0","1","2","2","0","0","0","0","15","2","1","178","0","25","1","160","0","1","40","1","3","1","1","2","4","5","1","0","0","1","0","1","4","4","0","2","0","0","1","10","0","66","0","1","0","6","0","0","0","0","57","0","0","1","0","1","0","0","0","2","0","0","1","0","3","0","2","0","0","2","0","0","0","0","0"
"  77",NA,NA,"28","1.31","1","2","1","1","0","0","0","2","0","31","0","0","0","0","0","14","0","1","2","0","1","0","1","1","1","17","2","0","232","0","19","0","134","1","3","34","0","4","0","4","1","0","7","1","0","0","1","0","0","2","1","0","0","0","0","1","0","1","54","0","2","0","3","0","0","0","2","43","2","0","3","0","0","0","0","1","0","0","0","0","2","4","0","2","0","1","0","0","0","1","0","0"
" 123",NA,NA,"30","1.83","0","0","0","0","3","0","2","0","2","70","0","0","1","3","0","5","1","0","0","0","1","0","0","0","1","8","0","0","180","1","43","0","119","0","5","58","0","8","1","0","0","1","8","0","1","0","1","0","0","0","0","0","2","0","1","0","0","8","46","0","0","0","0","0","0","0","1","30","5","0","1","0","2","0","0","0","2","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0"
" 204",NA,NA,"32","1.84","3","1","0","0","4","0","2","0","1","53","0","0","1","0","0","4","0","1","0","0","0","0","0","0","2","4","0","0","170","0","68","0","151","0","13","24","0","4","0","1","1","4","6","0","2","0","1","0","0","2","1","0","0","2","1","0","1","1","34","0","0","0","2","0","0","0","0","41","6","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","5","0","0","0","0","1"
" 285",NA,NA,"34","1.81","1","0","0","0","4","0","0","0","0","123","0","0","0","0","0","6","0","0","1","0","0","1","0","1","4","13","0","0","118","0","37","0","151","0","8","29","1","0","0","0","0","4","5","0","0","0","1","0","0","2","1","0","0","0","2","1","0","4","30","0","0","0","6","0","0","0","0","30","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","3","0","0","2","0","0","0","0","0"
" 366",NA,NA,"36","1.81","2","0","0","0","3","0","2","1","0","101","1","0","7","0","0","6","0","1","0","2","0","0","0","0","0","7","0","0","120","0","48","0","147","0","9","32","0","2","0","0","0","4","9","0","0","0","1","0","0","0","6","0","5","0","5","1","1","5","34","0","0","0","2","0","0","0","0","30","3","0","0","0","0","0","0","0","0","0","5","0","1","0","0","3","0","0","0","0","0","0","0","0"
" 447",NA,NA,"38","1.71","3","0","0","0","4","0","0","0","0","119","0","0","4","0","1","7","0","1","0","0","0","1","0","0","0","7","0","0","132","0","71","0","169","0","5","50","2","6","0","0","0","8","13","0","0","0","1","0","0","1","4","0","0","0","2","1","0","1","16","1","0","0","4","0","0","0","0","24","0","0","0","0","0","0","0","1","1","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0"
" 528",NA,NA,"40","1.79","5","0","0","0","1","0","0","2","0","57","0","0","0","0","0","14","0","2","0","0","1","0","0","1","1","24","0","0","88","0","81","0","232","0","10","54","0","4","0","0","0","7","10","0","0","0","1","0","0","0","4","0","1","0","4","2","0","0","22","0","0","0","5","1","0","0","1","25","3","0","0","0","0","0","0","0","0","0","3","0","2","0","0","1","0","4","0","0","0","0","0","0"
"1102",NA,NA,"42","1.81","1","0","0","0","5","0","1","0","3","73","0","0","3","0","0","11","0","0","1","0","0","0","0","0","0","10","0","0","69","0","79","0","222","0","7","77","1","5","0","0","0","10","7","0","0","0","1","0","0","0","3","0","4","0","2","3","1","2","44","1","0","0","5","0","0","0","0","27","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0"
"1676",NA,NA,"44","1.75","3","1","0","0","1","0","1","1","0","74","0","0","2","0","8","19","0","0","0","0","0","0","0","0","0","16","0","0","45","0","89","0","252","0","8","176","0","2","0","0","0","18","11","0","1","0","1","1","0","0","4","0","3","0","1","1","3","1","42","0","0","0","6","0","2","0","0","16","3","0","2","0","0","0","0","0","0","0","4","0","3","0","0","1","0","0","0","0","1","0","0","0"
"2249",NA,NA,"46","1.70","2","1","0","1","4","0","1","2","0","44","0","0","0","0","0","18","0","0","0","0","2","2","0","0","0","7","0","0","68","0","142","0","213","1","2","36","1","1","0","0","0","21","7","0","1","0","1","0","0","1","4","1","2","1","4","0","0","3","75","0","0","0","4","0","2","0","0","35","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2823",NA,NA,"48","1.70","7","0","0","0","0","0","0","1","0","36","0","0","1","0","0","13","0","0","0","0","0","0","0","0","0","13","0","0","26","0","90","0","316","0","11","33","0","27","0","0","0","31","12","0","1","0","1","1","0","0","2","0","2","0","1","2","0","1","34","0","0","0","6","0","0","0","0","21","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","4","0","0","3","0","0","0","0","0"
"3397",NA,NA,"50","1.80","6","1","0","0","3","1","0","27","9","34","2","0","0","0","5","10","0","0","2","0","1","0","0","0","2","93","0","0","20","0","86","0","270","0","7","51","0","1","0","1","0","23","11","0","2","0","1","1","0","0","1","1","4","1","1","0","0","3","27","0","0","0","13","0","1","0","0","19","5","0","1","0","0","0","0","0","0","5","0","0","3","0","0","2","0","0","2","0","0","0","0","0"
