"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abutilon t.","Acacia t.","Acalypha","Adenium","Aizoaceae t.","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Antidesma t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Barleria","Blepharis","Boswellia","Brassicaceae","Caesalpinioideae undiff.","Capparaceae undif.","Capparis","Carissa","Caryophyllaceae undif.","Cassia","Celosia type","Celtis","Cissus t.","Cleome","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Delonix","Dodonaea","Dracaena","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fern","Ficus","Flacourtia","Fungi","Grewioideae","Heliotropium","Hygrophila","Hypoestes t.","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","Keetia","Kohautia","Lotus t.","Lycopodium spike","Lycopodium tablets","Maerua","Maesa","Maytenus","Nyctaginaceae","Olea t.","Pinus undif.","Poaceae","Polygala","Prosopis t.","Prunus t.","Psilotrichum t.","Resedaceae undiff.","Ricinus","Rumex t.","Salvadora","Scrophulariaceae undif.","Solanum","Tamarix","Tapinanthus","Tribulus","Unknown","Utricularia","Ziziphus/Paliurus","Zygophyllum t."
" 481",NA,NA," 1","1.25","0","18","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","7","0","0","2","0","8","2","1","0","235","1","0","0","0","0","0","2","6","0","0","0","0","0","2","0","0","0","0","0","0","0","6","0","789","0","6","2","3","0","0","0","9","0","0","0","1","0","0","0","19","15","0","9","0","2","0","0","21","9"
" 646",NA,NA," 2","1.25","0","11","0","0","0","0","11","3","0","0","1","1","0","0","1","0","1","0","0","0","0","3","3","0","0","0","2","0","16","12","1","0","152","1","0","1","0","2","6","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","17","3","61","0","3","2","0","0","1","0","28","2","0","0","0","1","0","0","7","1","0","0","0","0","0","0","10","10"
"1854",NA,NA," 3","1.25","3","7","0","0","0","0","6","1","0","0","1","9","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","31","55","6","0","4","1","0","6","0","1","17","0","10","0","0","0","0","0","0","0","0","1","2","0","0","0","51","0","30","0","23","0","0","0","4","0","58","0","0","1","0","0","0","0","6","0","0","0","0","1","0","2","9","2"
"4096",NA,NA," 4","1.25","0","5","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","1","0","7","2","0","0","0","0","10","1","0","0","0","0","1","0","0","0","4","1","0","0","0","0","0","0","0","0","16","0","550","0","9","0","1","0","0","0","5","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"4741",NA,NA," 5","1.25","0","3","0","0","0","0","37","0","0","0","1","1","0","0","0","3","5","0","2","1","0","6","0","0","0","0","3","0","41","1","0","1","1","0","3","14","0","0","1","0","0","0","1","0","9","0","1","0","0","3","1","0","1","0","37","0","1807","0","26","0","0","0","0","3","24","0","0","0","0","0","0","0","22","1","2","2","0","1","0","0","4","4"
"4744",NA,NA," 6","1.25","4","83","0","0","0","0","59","0","0","0","2","0","1","0","0","2","0","0","1","0","0","6","5","1","0","0","1","0","38","21","0","0","8","0","2","30","0","1","2","5","3","11","2","0","1","1","0","0","1","3","0","0","5","0","4","0","17","0","8","0","1","3","0","0","75","0","2","0","0","0","0","0","20","1","0","1","0","6","0","0","15","9"
"4903",NA,NA," 7","1.25","14","27","0","0","0","0","22","0","0","0","0","6","0","1","0","7","0","1","0","0","0","2","2","0","0","0","0","0","27","26","0","0","3","1","20","43","0","2","1","1","0","0","0","0","0","3","0","0","1","1","0","2","0","0","4","0","112","0","1","0","0","2","0","2","30","0","0","0","0","0","1","0","14","0","0","0","0","10","0","0","9","4"
"5114",NA,NA," 8","1.25","0","7","0","0","0","0","41","0","0","0","1","0","0","0","0","0","0","0","4","0","0","4","6","2","0","0","1","1","119","13","0","1","0","0","0","6","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","46","0","84","0","23","0","0","0","2","0","16","0","0","0","0","0","0","0","19","0","0","4","0","1","0","0","1","4"
"5136",NA,NA," 9","1.25","0","33","0","0","0","0","53","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","15","8","0","0","4","0","41","4","0","0","7","1","9","0","0","0","1","0","0","0","0","1","0","0","0","0","65","0","91","0","10","0","0","0","2","0","37","0","1","0","0","0","0","1","34","0","1","3","0","5","0","0","20","8"
"5155",NA,NA,"10","1.25","2","49","0","0","0","1","81","3","0","1","3","2","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","12","28","0","0","4","1","14","16","0","0","4","2","3","0","0","1","0","1","0","0","6","0","2","0","0","1","23","0","29","0","2","0","0","0","0","0","75","0","0","0","0","0","0","0","26","0","0","0","4","14","0","0","7","2"
