"Acacia t.","Acalypha","Adina","Aeschynomene","Aizoaceae t.","Albizia","Alnus","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Balanites","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Cleome","Combretaceae","Commelina","Commelinaceae Indeterminees","Commiphora","Cordia","Crateva","Crossopteryx","Cucurbitaceae undif.","Cyperaceae","Daniellia","Diospyros/Euclea t.","Echinulees","Elaeis","Eriocaulon","Euphorbia t.","Fagonia","Faidherbia albida","Ficus","Gomphrena t.","Grewioideae","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Ipomoea","Isoberlinia","Justicia t.","Kigelia","Lannea","Maerua","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Moltkia","Monoletes","Nesaeaerecta","Nymphaea","Oldenlandia","Petaloid monocot","Phyllanthus maderaspatensis","Phyllanthus undif.","Piliostigma","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Prosopis t.","Salix","Salvadora","Sample name","Sclerocarya","Securinega  t.","Sesbania","Spergularia t.","Sterculia","Stereospermum","Syzygium t.","Tapinanthus","Tribulus","Triletes","Typha","Uapaca","Ziziphus/Paliurus"
" 14","  0","  0","  2"," 17","  0","  0","  2"," 22","  0","  0"," 44","  2","  0","  2","  0","  0"," 14"," 91","  0","  1","  0"," 11","  6","  0","  0","  0","  1"," 17","  0","  0","  1","  1","  0","  0","  1"," 52","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 80","  0","  0","  0","  1","  0","  0"," 13","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  6","  2","658","  8","  0","  0","  0"," 23","  0","  3","  4","  0","  2","  0","  0","  0","  1","  0","  2","  1","  0","  6"
"  95","   0","   0","   0","   5","   0","   0","   0"," 152","   0","   0","  29","   0","   0","   0","   0","   0","   0","  67","   0","   0","   0"," 586","   0","   0","   5","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0"," 176","   0","   0","  19","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0"," 810","   0","   0","   0","  10","   0","   0","  67","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1819","  48","   0","  10","   5","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   5","   5","   0","   0","   0"
"136","  0","  0","  0","  8","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  4","  0","  0"," 38","113","  0","  0","  0","185"," 61","  0","  0","  0","  0","200","  0","  0","  0","  0","  0","  0","  0","151","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","246","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","703","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  4"," 64","  0","  4"
" 308","   0","  20","   0","  10","   0","   0","   0"," 119","   0","   0","   0","   0","   0","   0"," 229","   0","   0","3450","   0","   0","   0"," 249"," 249","  10","   0","   0","   0"," 209","   0","   0","   0","   0","   0","   0","   0"," 656","   0","   0","  40","   0","   0","   0","   0","   0","   0","   0","   0","  50","   0","1392","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50","   0","   0","   0","   0","   0","   0","  10","1372","   0","   0","  30","   0","   0","   0","  40","   0","   0","   0","   0","   0","   0","   0","  10","  20","2605","   0","   0"
" 16","  0","  0","  0","  2","  0","  1","  1","  6","  0","  1","  0","115","  0","  0","  0","  1","  0","489","  0","  0","  0"," 29","  1","  1","  0","  0","271"," 13","  0","  0","  0","  1"," 64","  0","  0"," 47","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  6","  0"," 79","  0","  0","  1","  0","  1"," 10"," 37","  1","  0","  0","  1","  1","  0","  0","  0","  3","  0","  0","  1","214","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","109","  0","  1"
"  73","   0","   0","   0","   0","   0","   0","  10"," 292","   0","   0","   0"," 584","   0","  10","   0","   0","   0"," 824","   0","   0","   0"," 344"," 219","   0","  31","   0"," 125"," 751","   0","   0","   0","   0","   0","   0","   0"," 969","   0","  83","  63","  10","   0","   0","   0","  10","   0","   0","  31"," 146","   0"," 782","   0","   0","   0","   0","   0","  31","   0","  83","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","4388","  10","   0"," 323","   0","   0","   0","   0","  42","   0","   0","   0","   0","  21","  10","   0","  42"," 469","   0","   0"
" 207","   0","  61","   0","   0","   0","   0","   0"," 208","   0","  12","   0"," 122","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0"," 110","   0","   0","   0"," 183"," 183","   0","   0","   0","   0","   0","  12","   0","2053","   0","  12"," 122","   0","   0","  49","   0","   0","   0","   0","   0","  49","   0","1222","   0","  12","   0","  12","   0","   0","  37","  98","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","7258","  12","   0","  24","   0","   0","   0","  24","   0","   0","   0","   0","   0","  12","   0","   0","  24"," 110","   0","   0"
"  97","   0","   0","   0","   6","   0","   0","   3","  22","  19","   3","   0","  22","   0","   0","   0","   3","   0","   9","   0","   0","   0","   0","  50","   0","   9","   0","  25"," 186","   0","   0","   0","   0","   0","   0","   0"," 708","   0","   0","  19","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","  72","   0","   0","   0","   0","   0","   3"," 132","   0","   3","  28","   0","   3","   0","   0","   0","  22","   0","   3","   0","1500","   0","   3","   0","   0","   0","   0","   0"," 138","   0","   0","   0","   0","   0","  19","   3","  12","  19","   0","   3"
"  44","  33","   0","   6","   6","   6","   0","   0","  39"," 149","   0","   0","   3","   0","   6","   0","   0","   0","   3","   0","   0","   0","   8","   3","   0","   6","   0"," 318"," 298","   0","   0","   0","   0","   0","   0","   0","5030","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","  77","   0","   0","   0","   0","   0","   3","  25","  11","   0","  55","   0","   0","   0","   0","   0","   3","   3","   0","   0","3711","   0","   0","   3","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   6","   6","   0","   3","   8"
"   9","   7","   0","  15","   3","   0","   0","   0","  54","   3","   0","   0","   1","   0","   6","   0","   1","   0","   0","   2","   4","   0","  12","   0","   0","   0","   0","  18"," 209","   0","   0","   0","   0","   0","   0","   0"," 283","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   1","   0","  33","   5","   0","   0","   0","   0","   2","   8","   0","   0","  21","   0","   0","   0","   0","   0","   1","   0","   0","   0","5271","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","  25"
"  10","   3","   0","   2","   1","   0","   0","   2","  79","   1","   0","   0","   0","   1","   1","   0","   0","   0","   7","   0","   7","   0"," 129","   5","   0","   1","   1","  18","  44","   1","   0","   1","   0","   0","   0","   0","  96","   1","   0","   1","   0","   1","  10","   0","   0","   0","   1","   0","   0","   0","  20","   3","   0","   0","   1","   0","   0","   4","   1","   0","  37","   0","   0","   0","   1","   0","   0","   0","   2","   2","3107","   1","   1","   0","   2","   0","   0","   2","   2","   3","   1","   0","   0","   0","   1","   0","   0","   1","   0","  32"
" 172","   0","   0","   0","  14","   0","   0","  28"," 454","   0","   0"," 310","  34","  28","  34","   0","   0","   0"," 248","  28","  28","   6","1102","   0","   0","   0","   0","  96"," 158","   6","   1","  34","   0","   0","   0","   0","1648","   0","   0","  82","   0","   0","  56","   0","   0","   0","   0","   6","   0","  28"," 778","   0","   0","   0","   0","   0","   0","   0","   0","   0","  42","   0","   0","  20","   6","  20","   0","   0","   0","   6","5162","   0","   0","   0","   0","  62","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","  14","   6","   0","  34"
