"Abies","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Aizoaceae t.","Alchornea","Alternanthera t.","Anacardiaceae undiff.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bauhinia","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Caesalpinia","Capparaceae undif.","Cassia","Casuarina","Ceiba","Celtis","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crossopteryx","Crudia","Cucurbitaceae undif.","Cyperaceae","Daniellia","Delonix","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Eucalyptus","Eugenia","Euphorbia t.","Faboideae Undif.","Fagara","Faidherbia albida","Fern","Ficus","Grewioideae","Heliotropium","Hygrophila","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Leucaena","Lotus t.","Maerua","Malva undif.","Mangifera","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Musci","Myrtaceae undif.","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Paronychieae","Pedaliaceae undif.","Pentodon","Peripores","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Prosopis t.","Psidium","Ricinus","Rumex t.","Salvadora","Sample name","Sapotaceae undif.","Securinega  t.","Sesbania","Spergularia t.","Symphonia","Tamarindus","Tapinanthus","Tephrosia","Tribulus","Typha","Uapaca","Utricularia","Vigna","Waltheria","Ziziphus/Paliurus"
"  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1"," 18","  0","  3","  0","  0","  0","  0","  0","  0"," 15","  0","  0"," 10","  0","  2","  0","  0","  0","  0"," 14","  1","  2","  0","  2","  1","  0"," 18","  1","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  6","  0","  0","  1","  1","  1","  5","  0","174","  0"," 28","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 18"," 16","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0"," 13","  0","  0","  4","  3","  1","  0","876","  1","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  2","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0"
"  0","  3","  0","  2","  0","  0","  0","  0","  0","  0","  2","  1","  2","  0","  0","  3","  0","  0","  0","  0","  0","  7","  0","  0","  2","  0","  1","  1","  0","  2","  0"," 59","  0","  0","  0","  1","  0","  0"," 37","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","109","  0"," 33","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0"," 18"," 47","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  2","  1","  1","  0","978","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0"
"   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   1","   3","   0","   0","   0","   0","   2","   5","   0","   0","   2","   0","   0","   0","   0","   1","   1"," 104","   0","   0","   0","   2","   1","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   1","   0","   0","   1","   5","   0","  68","   0","  21","   0","   2","   0","   2","   0","   0","   0","   0","   2","   1","   0","   0","   5","  25","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   1","   2","   0","   0","1022","   0","   0","   1","   0","   0","   0","   2","   0","   1","   1","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0"
"   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   1","   2","   1","   0","   0","   2","  12","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 166","   0","   1","   0","   0","   0","   0","  26","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   1","   6","   0","  21","   0","  29","   0","   0","   0","   4","   0","   4","   0","   0","   0","   0","   0","   0","   2","  44","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   1","   0","   1","   3","   0","   0","1629","   2","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   8","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0"
"   1","   1","   0","   0","   0","   2","   0","   0","   0","   2","   1","   0","   5","   0","   0","   3","   0","   2","   3","   0","   2","   3","   0","   0","   5","   1","   0","   0","   1","   1","   0"," 252","   0","   0","   0","   2","   0","   0","  30","   2","   0","   0","   0","   0","   0","   0","   0","   1","   2","   2","   2","   0","   0","   0","   0","   1","   9","   0"," 106","   0","  20","   1","   1","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   2","  36","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   2","   0","   1","   0","1506","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"   1","   3","   0","   0","   0","   4","   0","   0","   0","   0","   0","   2","   5","   0","   3","   2","   0","   0","   2","   0","   4","  13","   0","   0","   2","   0","   0","   0","   0","   3","   0"," 249","   0","   0","   1","   7","   0","   0","  69","   2","   0","   1","   0","   0","   0","   0","   0","   2","   2","   6","   3","   1","   0","   2","   2","   0","   1","   0"," 164","   0","  32","   1","   0","   0","   7","   0","   2","   0","   0","   1","   3","   1","   0","   5","  72","   2","   0","   0","   1","   0","   2","   1","   0","   1","   1","  16","   0","   1","   3","   2","   1","   0","1538","   0","   0","   0","   1","   0","   0","   0","   0","   0","  12","   0","   1","   0","   2","   1","   0","   3","   0","   0","   0","   0","   0","   0"
"  0","  5","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  1","  1","  0","  0","  3","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  6","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 98","  0"," 24","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  7","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  0","640","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   1","   0","   0","   0","   0","   2","   0","  68","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  33","   0","  13","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","  16","   0","   0","   1","   0","   1","   0","2626","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"  12","   4","   0","   0","   2","   9","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   5","   0","   0","   1","   0","   1","   0","  76","   0","   0","   0","   0","   0","   0","  62","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  69","   0","  18","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   1","   0","   2","   8","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","6228","   0","   0","   1","   0","   0","   4","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   1"
"   0","   6","   2","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   1","   0","   3","   0","   0","   1","   0","   1","   0","  70","   0","   0","   0","   0","   0","   0","  72","   0","   0","   0","   0","   0","   0","   1","   0","  37","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  44","   0","  13","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","  19","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  38","   1","   0","   1","   1","   0","   0","4865","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
