"Acacia t.","Acalypha","Adina","Aeschynomene","Aizoaceae t.","Albizia","Alnus","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Balanites","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Cleome","Combretaceae","Commelina","Commiphora","Cordia","Crateva","Crossopteryx","Cucurbitaceae undif.","Cyperaceae","Daniellia","Diospyros/Euclea t.","Elaeis","Eriocaulon","Euphorbia t.","Fagonia","Faidherbia albida","Ficus","Gomphrena t.","Grewioideae","Hyphaene t.","Hypoestes t.","Indigofera","Ipomoea","Isoberlinia","Justicia t.","Kigelia","Lannea","Maerua","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Moltkia","Monoletes","Nymphaea","Oldenlandia","Petaloid monocot","Phyllanthus maderaspatensis","Phyllanthus undif.","Piliostigma","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Prosopis t.","Salix","Salvadora","Sclerocarya","Sesbania","Spergularia t.","Sterculia","Stereospermum","Syzygium t.","Tapinanthus","Tribulus","Triletes","Typha","Uapaca","Ziziphus/Paliurus","Indeterminable","Sample name","Pollen sum","Total sum"
"1.363","0","0","0.195","1.655","0","0","0.195","2.142","0","0","4.284","0.195","0","0.195","0","0","1.363","8.861","0","0.097","0","1.071","0.584","0","0","0","0.097","1.655","0","0.097","0.097","0","0","0.097","5.063","0","0","0","0","0","0","0","0","0","0.195","0","0","0","0","0","0.097","0","0","1.266","0.097","0","0","0","0","0.097","0","0","0","0.584","0.195","64.07","0.779","0","0","0","2.24","0.292","0","0.195","0","0","0","0.097","0","0.195","0.097","0","0.584","7.201","0","1027","1111"
"3.052","0","0","0","0.161","0","0","0","4.883","0","0","0.932","0","0","0","0","0","0","2.152","0","0","0","18.824","0","0","0.161","0","0","0.482","0","0","0","0","0","0","5.654","0","0","0","0","0","0.161","0","0","0","0","0","0","0","0","0","0.321","0","0","2.152","0","0","0","0","0","0","0","0","0","0","0","58.432","1.542","0","0.321","0.161","0","0","0","0","0","0.45","0","0","0.161","0.161","0","0","0","20.621","0","3113","3928"
"8.153","0","0","0","0.48","0","0","0","1.799","0","0","0","0","0","0.24","0","0","2.278","6.775","0","0","0","11.091","3.657","0","0","0","0","11.99","0","0","0","0","0","0","9.053","0","0","0","0","0","0","0","0","0","0","0.24","0","0","0","0","0","0","0","0","0","0","0.48","0","0","0","0","0","0","0","0","42.146","0","0","0","1.139","0","0","0","0","0","0","0.24","0","0","0.24","3.837","0","0.24","12.412","0","1668","1982"
"4.387","0","0.285","0","0.142","0","0","0","1.695","0","0","0","0","0","0","3.262","0","0","49.138","0","0","0","3.547","3.547","0.142","0","0","0","2.977","0","0","0","0","0","0","9.343","0","0","0","0","0","0","0","0","0","0","0.712","0","0","0","0","0","0","0","0","0","0","0","0","0.712","0","0","0","0","0","0.142","19.541","0","0","0.427","0","0","0.57","0","0","0","0","0","0","0.142","0.285","37.103","0","0","12.554","0","7021","11088"
"1.193","0","0","0","0.149","0","0.075","0.075","0.447","0","0.075","0","8.576","0","0","0","0.075","0","36.465","0","0","0","2.163","0.075","0.075","0","0","20.209","0.969","0","0","0.075","4.773","0","0","3.505","0","0","0","0.075","0","0","0","0","0","0","0.447","0","0","0","0.075","0","0.075","0.746","2.759","0.075","0","0","0.075","0.075","0","0","0.224","0","0","0.075","15.958","0.075","0","0.149","0","0","0","0","0.075","0","0","0.149","0","0","0","8.128","0","0.075","5.16","0","1341","1531"
"0.778","0","0","0","0","0","0","0.107","3.11","0","0","0","6.221","0","0.107","0","0","0","8.777","0","0","0","3.664","2.333","0","0.33","0","1.331","8","0","0","0","0","0","0","10.322","0","0.884","0.107","0","0","0","0.107","0","0","0.33","1.555","0","0","0","0","0","0","0.33","0","0.884","0","0","0","0","0","0","0.107","0","0","0","46.741","0.107","0","3.441","0","0","0","0","0","0","0","0.224","0.107","0","0.447","4.996","0","0","7.321","0","9388","10681"
"1.921","0","0.566","0","0","0","0","0","1.931","0","0.111","0","1.132","0","0","0","0.111","0","0","0","0","0","0","1.021","0","0","0","1.699","1.699","0","0","0","0","0.111","0","19.055","0","0.111","0","0","0.455","0","0","0","0","0","0.455","0","0","0.111","0","0.111","0","0","0.343","0.91","0.111","0","0","0","0","0","0","0","0","0","67.366","0.111","0","0.223","0","0","0.223","0","0","0","0","0.111","0","0","0.223","1.021","0","0","10.074","0","10774","12130"
"3.356","0","0","0","0.208","0","0","0.104","0.761","0.657","0.104","0","0.761","0","0","0","0.104","0","0.311","0","0","0","0","1.73","0","0.311","0","0.865","6.436","0","0","0","0","0","0","24.498","0","0","0","0","0","0","0","0.311","0","0","0","0","0","0","0","0","0","0.104","4.567","0","0.104","0.969","0","0.104","0","0","0.761","0","0.104","0","51.903","0","0.104","0","0","0","0","0","0","0","0","0","0.657","0.104","0.415","0.657","0","0.104","2.403","0","2890","2996"
"0.449","0.337","0","0.061","0.061","0.061","0","0","0.398","1.521","0","0","0.031","0","0.061","0","0","0","0.031","0","0","0","0.082","0.031","0","0.061","0","3.247","3.042","0","0","0","0","0","0","51.353","0","0","0","0","0","0","0","0","0","0.061","0","0","0","0","0","0","0","0.031","0.255","0.112","0","0.562","0","0","0","0","0.031","0.031","0","0","37.887","0","0","0.031","0","0","0","0","0","0","0","0","0","0.061","0.061","0","0.031","0.082","0.78","0","9795","9878"
"0.151","0.117","0","0.251","0.05","0","0","0","0.905","0.05","0","0","0.017","0","0.101","0","0.017","0","0","0.034","0.067","0","0.201","0","0","0","0","0.302","3.501","0","0","0","0","0","0","4.741","0","0","0","0","0.034","0.034","0","0","0","0","0.017","0","0.084","0","0","0","0","0.034","0.134","0","0","0.352","0","0","0","0","0.017","0","0","0","88.306","0","0","0","0","0","0","0","0","0.034","0","0","0.017","0.017","0","0","0","0.419","0.55","0","5969","6002"
