depth	min	max	median	mean
30	7482	9661	8331	8403
40	7597	9755	8444	8516
60	7815	9981	8676	8741
80	8047	10197	8909	8965
100	8266	10409	9143	9192
120	8500	10587	9369	9417
140	8736	10826	9590	9641
160	8956	11019	9820	9867
180	9178	11216	10049	10092
200	9423	11424	10285	10320
220	9616	11630	10489	10528
240	9835	11823	10691	10736
260	10039	12055	10905	10946
280	10240	12258	11117	11156
300	10445	12468	11318	11364
320	10659	12693	11532	11575
340	10880	12900	11751	11786
360	11078	13100	11959	11995
380	11298	13294	12170	12204
400	11492	13518	12381	12414
420	11693	13720	12586	12622
440	11902	13934	12798	12830
460	12114	14131	13002	13041
470	12212	14259	13116	13150
480	12295	14357	13226	13258
490	12391	14466	13335	13366
500	12501	14587	13441	13473
510	12603	14705	13542	13577
520	12697	14811	13648	13678
529	12782	14936	13741	13771
