depth	min	max	median	mean
60	-72	210	-8	12
70	-46	289	57	74
90	32	429	183	195
110	126	544	307	314
130	232	663	434	436
150	343	766	554	555
170	474	876	675	674
190	631	990	797	795
200	711	1053	865	858
215	791	1207	971	978
230	872	1389	1088	1100
250	998	1572	1247	1258
270	1121	1763	1410	1420
290	1264	1933	1576	1582
310	1395	2118	1746	1748
330	1548	2284	1910	1911
350	1698	2441	2078	2076
370	1862	2596	2242	2238
390	2035	2743	2412	2405
410	2222	2893	2575	2570
430	2416	3034	2742	2735
450	2596	3168	2898	2895
470	2832	3295	3055	3057
490	3010	3495	3231	3238
510	3159	3738	3430	3438
530	3348	3953	3637	3639
550	3530	4149	3836	3836
570	3745	4314	4039	4037
590	3977	4481	4233	4229
610	4168	4804	4429	4440
625	4273	5058	4582	4605
650	4449	5480	4845	4875
660	4525	5635	4949	4981
680	4673	5979	5172	5207
700	4822	6288	5389	5426
720	4983	6633	5599	5644
740	5131	6952	5805	5862
760	5295	7275	6012	6078
780	5482	7611	6228	6300
800	5630	7931	6433	6521
815	5748	8207	6598	6685
830	5877	8412	6764	6850
845	6011	8691	6920	7016
860	6143	8985	7077	7180
870	6221	9155	7181	7289
890	6399	9495	7399	7514
910	6562	9843	7605	7731
930	6726	10180	7812	7952
940	6805	10329	7917	8060
950	6889	10529	8018	8171
955	6935	10606	8074	8227
960	6973	10702	8131	8283
965	7024	10796	8185	8341
970	7073	10873	8246	8399
980	7174	11052	8369	8526
990	7270	11274	8486	8653
1000	7389	11438	8601	8772
1010	7487	11531	8702	8876
1030	7672	11719	8900	9075
1040	7771	11827	9012	9179
1050	7879	11922	9112	9280
1060	7952	12004	9208	9382
1075	8101	12146	9365	9538
1085	8171	12269	9471	9641
1100	8317	12427	9623	9794
