depth	min	max	median	mean
470.5	5069	5433	5256	5237
471.5	5078	5443	5269	5250
472.5	5086	5452	5280	5262
473.5	5093	5467	5289	5274
474.5	5099	5481	5298	5287
475.5	5110	5497	5309	5299
476.5	5120	5506	5321	5312
477.5	5134	5519	5331	5325
478.5	5142	5537	5342	5338
479.5	5151	5556	5353	5351
480.5	5162	5574	5364	5363
481.5	5174	5589	5377	5376
482.5	5187	5604	5389	5389
483.5	5196	5623	5402	5401
484.5	5204	5643	5414	5414
485.5	5214	5659	5427	5427
486.5	5226	5669	5440	5439
487.5	5236	5681	5453	5452
488.5	5244	5695	5465	5465
489.5	5254	5713	5477	5478
490.5	5264	5725	5489	5490
491.5	5275	5738	5502	5503
492.5	5288	5754	5514	5516
493.5	5298	5770	5527	5529
494.5	5306	5784	5540	5541
495.5	5318	5799	5553	5554
496.5	5330	5809	5567	5566
497.5	5344	5822	5579	5579
498.5	5355	5832	5592	5591
499.5	5365	5844	5605	5603
500.5	5376	5856	5617	5616
501.5	5388	5865	5628	5628
502.5	5401	5875	5641	5640
503.5	5411	5887	5653	5653
504.5	5421	5903	5665	5665
505.5	5431	5915	5677	5677
506.5	5445	5924	5690	5690
507.5	5458	5933	5701	5702
508.5	5469	5946	5714	5714
509.5	5478	5960	5726	5727
510.5	5493	5975	5738	5739
511.5	5507	5983	5750	5751
512.5	5518	5993	5763	5764
513.5	5526	6004	5777	5776
514.5	5537	6019	5790	5788
515.5	5552	6033	5802	5801
516.5	5571	6040	5814	5814
517.5	5582	6051	5828	5826
518.5	5595	6064	5841	5839
519.5	5605	6078	5854	5852
520.5	5618	6089	5866	5864
521.5	5635	6098	5879	5877
522.5	5653	6109	5894	5890
523.5	5665	6122	5907	5903
524.5	5675	6139	5921	5916
525.5	5688	6152	5933	5928
526.5	5706	6162	5944	5941
527.5	5718	6172	5958	5953
528.5	5731	6184	5971	5966
529.5	5743	6196	5984	5978
530.5	5756	6209	5996	5991
531.5	5772	6215	6009	6003
532.5	5783	6223	6021	6015
533.5	5794	6231	6032	6027
534.5	5807	6243	6044	6040
535.5	5820	6253	6056	6052
536.5	5835	6262	6069	6065
537.5	5849	6274	6082	6077
538.5	5866	6286	6095	6090
539.5	5877	6301	6107	6102
540.5	5890	6311	6120	6115
541.5	5909	6318	6133	6127
542.5	5927	6328	6145	6140
543.5	5940	6336	6157	6153
544.5	5950	6349	6169	6165
545.5	5967	6358	6181	6178
546.5	5989	6366	6193	6190
547.5	6009	6372	6206	6203
548.5	6024	6382	6220	6215
549.5	6037	6393	6232	6228
550.5	6051	6401	6245	6240
551.5	6074	6408	6256	6253
552.5	6094	6415	6268	6265
553.5	6110	6423	6281	6277
554.5	6120	6430	6293	6290
555.5	6141	6439	6305	6302
556.5	6166	6445	6317	6315
557.5	6185	6453	6328	6327
558.5	6202	6462	6341	6339
559.5	6214	6471	6355	6352
560.5	6236	6479	6367	6364
561.5	6265	6485	6380	6376
562.5	6287	6495	6393	6387
563.5	6305	6503	6405	6399
564.5	6315	6515	6417	6411
