depth	min	max	median	mean
0	-62	605	170	198
5	36	815	381	390
10	158	1003	568	571
15	279	1192	746	745
20	471	1322	964	948
25	763	1416	1147	1135
30	1058	1494	1335	1319
35	1382	1698	1516	1519
40	1480	2297	1718	1761
45	1602	2600	1973	2013
50	1768	2839	2228	2252
55	1905	3058	2450	2454
60	2078	3221	2692	2673
65	2280	3395	2920	2894
70	2562	3549	3184	3148
75	2947	3663	3418	3389
79	3391	3734	3571	3566
85	3524	3935	3704	3711
90	3596	4089	3802	3811
95	3666	4220	3896	3906
100	3738	4337	3993	4002
105	3813	4442	4090	4098
110	3898	4546	4184	4193
115	3977	4650	4277	4287
120	4064	4763	4367	4378
125	4164	4865	4462	4472
130	4260	4971	4552	4565
135	4359	5092	4642	4660
140	4465	5183	4722	4744
145	4607	5254	4805	4839
150	4756	5486	4943	4998
155	4894	5958	5220	5275
157	4974	6069	5361	5405
160	5041	6337	5565	5600
165	5208	6703	5850	5871
170	5446	6994	6156	6174
175	5670	7290	6463	6462
180	5960	7554	6784	6772
185	6199	7792	7054	7039
190	6476	8010	7377	7334
195	6793	8222	7659	7618
200	7198	8396	7944	7906
205	7658	8551	8256	8218
207	7982	8582	8350	8330
209	8263	8642	8440	8442
215	8486	9496	8747	8812
220	8621	9954	9058	9122
223	8767	10162	9258	9307
225	8818	10373	9377	9430
230	9021	10773	9692	9749
235	9244	11067	10014	10048
238	9397	11205	10194	10222
240	9460	11346	10320	10338
245	9716	11634	10613	10637
250	9984	11926	10934	10939
255	10265	12214	11258	11244
260	10598	12438	11569	11559
265	10922	12662	11854	11842
270	11258	12870	12163	12140
275	11579	13078	12474	12436
280	12014	13252	12788	12746
285	12424	13401	13078	13037
289	13053	13480	13276	13271
295	13257	14141	13542	13583
300	13391	14522	13782	13829
