depth	min	max	median	mean
255	434	1749	1142	1132
265	550	1819	1253	1236
275	679	1895	1358	1338
285	812	1976	1461	1442
295	942	2062	1562	1544
305	1070	2146	1663	1648
315	1196	2236	1767	1751
325	1309	2297	1862	1850
335	1459	2370	1964	1953
345	1587	2436	2065	2053
365	1851	2574	2272	2259
375	2014	2633	2376	2363
385	2150	2691	2474	2463
395	2327	2746	2583	2565
405	2431	3001	2705	2701
415	2519	3289	2834	2852
425	2624	3500	2981	3006
435	2722	3713	3127	3155
445	2836	3927	3292	3314
455	2954	4114	3443	3468
465	3067	4292	3601	3621
475	3209	4474	3754	3778
485	3318	4650	3914	3931
495	3434	4842	4054	4079
505	3560	5004	4216	4235
515	3700	5187	4368	4389
525	3827	5373	4526	4544
535	3955	5550	4676	4697
545	4099	5697	4824	4847
555	4242	5867	4975	5002
565	4362	5962	5106	5136
575	4492	6060	5228	5254
585	4596	6179	5350	5369
595	4720	6269	5476	5485
605	4834	6356	5594	5600
615	4957	6467	5711	5718
625	5079	6560	5832	5838
635	5212	6661	5957	5957
645	5355	6746	6080	6077
655	5487	6842	6191	6191
665	5605	6934	6309	6307
675	5755	7035	6433	6424
685	5895	7128	6553	6542
695	6027	7234	6676	6663
705	6158	7324	6793	6779
715	6295	7432	6909	6898
725	6432	7528	7026	7014
735	6570	7619	7143	7131
745	6716	7694	7261	7247
755	6865	7787	7383	7366
765	7033	7878	7498	7486
775	7169	7968	7611	7601
785	7347	8064	7729	7720
795	7558	8145	7842	7841
