depth	min	max	median	mean
100	3265	4179	3665	3681
125	3310	4230	3719	3732
175	3425	4327	3821	3833
220	3522	4405	3915	3926
235	3556	4438	3945	3956
250	3586	4462	3975	3987
265	3625	4490	4004	4019
280	3671	4509	4036	4050
295	3709	4541	4062	4080
310	3737	4570	4094	4110
325	3769	4594	4122	4141
340	3797	4624	4153	4171
355	3836	4652	4184	4200
370	3864	4694	4214	4230
400	3929	4747	4273	4291
435	4014	4823	4342	4361
470	4103	4887	4409	4431
500	4188	4944	4468	4493
535	4274	5002	4539	4565
570	4369	5064	4606	4635
600	4431	5124	4664	4694
610	4459	5139	4684	4714
620	4486	5162	4703	4735
630	4513	5179	4720	4755
640	4531	5199	4740	4774
650	4564	5214	4756	4795
660	4590	5232	4776	4816
670	4615	5252	4798	4840
680	4641	5271	4823	4865
700	4696	5307	4883	4923
715	4740	5338	4935	4968
730	4784	5366	4985	5013
745	4829	5393	5036	5058
760	4868	5428	5085	5104
775	4917	5461	5135	5149
790	4958	5493	5183	5195
800	4982	5518	5218	5227
820	5035	5554	5281	5288
840	5103	5594	5346	5347
860	5167	5634	5411	5407
880	5239	5676	5476	5470
900	5320	5721	5540	5533
920	5390	5783	5597	5594
935	5469	5828	5636	5638
950	5497	5861	5675	5677
965	5521	5898	5709	5712
980	5544	5942	5746	5747
995	5579	5979	5783	5784
1010	5618	6023	5818	5820
1025	5652	6063	5852	5854
1040	5682	6104	5889	5889
1055	5715	6144	5922	5925
1070	5746	6186	5957	5961
1085	5780	6231	5994	5997
1100	5812	6266	6029	6033
1115	5847	6306	6064	6068
1130	5876	6345	6101	6103
1145	5906	6388	6135	6138
1160	5939	6430	6170	6174
1175	5972	6453	6205	6208
1190	6004	6493	6241	6243
1210	6053	6540	6289	6291
1220	6077	6567	6313	6315
1232	6103	6590	6340	6342
1244	6128	6618	6367	6370
1256	6157	6649	6396	6397
1268	6182	6674	6424	6425
1280	6211	6708	6451	6453
1292	6241	6737	6481	6483
1304	6266	6767	6510	6512
1316	6298	6789	6540	6540
1328	6328	6818	6569	6569
1340	6351	6851	6596	6598
1352	6381	6875	6625	6626
1364	6410	6908	6653	6655
1376	6435	6933	6685	6684
1388	6468	6956	6713	6713
1400	6496	6990	6743	6743
1415	6543	7025	6778	6779
1430	6580	7063	6815	6815
1445	6618	7089	6849	6850
1460	6651	7121	6884	6885
1475	6696	7151	6919	6922
1490	6734	7179	6955	6957
1500	6748	7207	6979	6980
1515	6794	7235	7017	7016
1530	6838	7261	7052	7052
1545	6878	7297	7089	7087
1560	6916	7325	7124	7122
1575	6948	7397	7164	7165
1590	6982	7457	7204	7207
1600	7002	7498	7233	7235
1615	7030	7545	7275	7278
1630	7066	7602	7316	7320
1645	7095	7656	7360	7362
1660	7128	7709	7400	7404
1675	7165	7753	7445	7447
1690	7193	7803	7489	7490
1700	7213	7843	7517	7518
1710	7237	7874	7546	7546
1720	7256	7912	7575	7574
1730	7277	7938	7601	7601
1740	7295	7972	7628	7629
1750	7317	7998	7657	7657
1760	7337	8034	7687	7686
1770	7360	8062	7713	7714
1780	7376	8092	7742	7742
1800	7437	8158	7797	7798
1835	7515	8250	7899	7895
1870	7589	8355	7998	7992
1905	7668	8457	8097	8092
1940	7754	8559	8200	8191
1975	7838	8665	8301	8288
2010	7912	8762	8402	8385
2080	8078	8949	8606	8583
2095	8118	8985	8651	8625
2145	8225	9124	8792	8764
2170	8290	9192	8865	8833
2195	8337	9250	8942	8903
2220	8396	9314	9016	8971
2245	8461	9372	9094	9042
2270	8519	9424	9172	9112
2295	8575	9477	9249	9182
2320	8628	9524	9326	9251
2345	8682	9579	9425	9319
2370	8730	9654	9473	9371
2390	8773	9715	9507	9413
2470	8928	9932	9654	9579
2510	9005	10038	9728	9661
2550	9084	10134	9807	9745
2590	9163	10234	9885	9826
2630	9247	10335	9957	9906
2670	9320	10431	10034	9988
2750	9480	10620	10194	10150
2790	9548	10717	10269	10233
2830	9634	10808	10351	10315
2880	9739	10933	10455	10417
