depth	min	max	median	mean
21.5	144	418	293	272
22.5	157	421	295	279
23.5	162	424	298	285
24.5	163	426	300	292
25.5	164	430	303	298
26.5	172	433	307	304
27.5	183	436	310	309
28.5	190	439	312	314
29.5	197	444	315	318
30.5	202	452	318	323
31.5	217	458	321	328
32.5	242	460	324	334
33.5	266	461	327	339
34.5	286	464	330	344
35.5	299	470	335	350
36.5	306	474	338	354
37.5	311	475	341	357
38.5	314	478	344	360
39.5	316	481	346	364
40.5	317	486	349	367
41.5	318	490	351	370
42.5	319	491	353	372
43.5	321	494	355	375
44.5	322	497	356	377
45.5	323	500	358	380
46.5	325	503	360	382
47.5	327	504	362	385
48.5	328	506	364	387
49.5	328	509	366	390
50.5	330	512	368	392
51.5	331	516	370	395
52.5	333	517	372	397
53.5	335	519	374	399
54.5	336	522	376	401
55.5	336	524	378	403
56.5	338	527	381	406
57.5	340	528	385	408
58.5	341	530	389	411
59.5	342	532	393	414
60.5	342	535	396	417
61.5	344	537	400	419
62.5	346	539	403	422
63.5	347	541	406	424
64.5	349	543	409	426
65.5	349	545	412	429
66.5	352	548	415	431
67.5	354	550	417	434
68.5	355	551	421	437
69.5	357	554	425	439
70.5	358	557	427	442
71.5	360	559	430	445
72.5	361	560	433	447
73.5	363	563	436	449
74.5	364	564	440	452
75.5	365	566	444	454
76.5	367	567	446	457
77.5	369	568	449	459
78.5	371	569	452	461
79.5	373	571	455	464
80.5	374	573	457	466
81.5	377	575	459	468
82.5	379	576	462	471
83.5	381	577	465	473
84.5	382	580	469	475
85.5	383	581	471	477
86.5	386	583	474	479
87.5	388	585	478	482
88.5	391	587	481	485
89.5	392	589	484	487
90.5	394	591	488	490
91.5	395	593	490	492
92.5	398	594	493	495
93.5	399	597	496	498
94.5	402	599	498	500
95.5	404	601	501	503
96.5	407	602	504	505
97.5	411	603	507	508
98.5	413	604	510	510
99.5	415	606	513	513
100.5	417	607	517	515
101.5	419	609	520	518
102.5	422	610	521	520
103.5	424	612	524	522
104.5	426	614	526	525
105.5	427	616	529	527
106.5	430	618	532	529
107.5	435	619	534	532
108.5	437	621	536	534
109.5	439	623	539	537
110.5	441	625	542	540
111.5	445	627	545	542
112.5	449	629	548	545
113.5	453	631	551	548
114.5	455	634	554	551
