depth	min	max	median	mean
7	239	496	401	389
17	398	566	492	487
27	492	725	586	593
37	567	844	692	696
47	649	973	801	804
53	706	1027	865	866
63	813	1118	974	973
73	931	1204	1084	1081
83	1068	1272	1202	1191
93	1214	1659	1387	1400
103	1382	2006	1650	1664
113	1579	2265	1914	1921
120	1771	2427	2110	2104
130	2078	2624	2395	2387
137	2325	2735	2591	2574
147	2595	3152	2854	2858
153	2731	3341	3045	3045
161	2886	3504	3362	3300
170	3030	3647	3498	3437
177	3114	3744	3558	3511
186	3246	3828	3638	3605
195	3373	3923	3726	3702
203	3478	3995	3801	3785
210	3589	4058	3871	3859
217	3691	4134	3944	3935
224	3802	4186	4017	4009
233	3931	4267	4104	4102
240	4007	4341	4180	4178
247	4053	4427	4257	4253
254	4101	4498	4352	4330
261	4146	4559	4427	4389
269	4195	4616	4472	4442
276	4238	4674	4513	4488
286	4301	4744	4572	4553
306	4430	4868	4696	4680
320	4515	4955	4784	4768
327	4548	4997	4828	4812
335	4606	5044	4880	4864
347	4678	5117	4958	4942
353	4709	5149	4998	4980
372	4837	5252	5126	5104
388	4953	5324	5229	5208
397	5042	5424	5293	5282
403	5111	5478	5351	5333
411	5197	5592	5438	5418
419	5286	5733	5528	5520
427	5371	5857	5624	5622
435	5462	5971	5721	5721
447	5593	6145	5871	5871
452	5650	6211	5933	5935
459	5737	6294	6026	6023
466	5813	6385	6119	6112
473	5899	6466	6209	6200
480	5978	6541	6302	6289
490	6092	6657	6430	6415
497	6168	6738	6523	6506
506	6276	6826	6643	6621
511	6347	6876	6712	6684
518	6423	6945	6793	6761
523	6455	6991	6829	6800
529	6499	7053	6871	6847
538	6570	7136	6936	6916
547	6638	7228	7002	6985
553	6692	7283	7046	7032
563	6762	7368	7120	7107
573	6838	7452	7194	7183
583	6920	7527	7269	7260
593	6993	7615	7345	7338
603	7068	7707	7419	7414
612	7140	7776	7486	7481
621	7217	7851	7556	7551
630	7285	7922	7627	7620
639	7351	7988	7691	7686
657	7495	8140	7825	7824
667	7578	8218	7902	7899
677	7644	8284	7978	7974
687	7719	8360	8050	8049
699	7813	8453	8142	8141
706	7870	8502	8197	8194
716	7945	8577	8274	8272
726	8026	8654	8347	8347
736	8107	8725	8423	8423
804	8670	9207	8940	8942
812	8734	9268	9000	9002
821	8818	9319	9066	9070
848	9056	9509	9274	9280
