depth	min	max	median	mean
45	671	723	683	689
46	679	762	706	710
47	682	823	724	732
48	685	888	741	753
49	687	954	758	774
50	689	1019	776	796
51	702	1037	797	817
52	711	1066	821	838
53	719	1100	843	859
54	725	1136	864	881
55	732	1181	883	902
56	749	1202	904	923
57	760	1225	924	943
58	769	1260	946	964
59	778	1294	968	985
60	786	1332	988	1006
61	805	1350	1008	1026
62	820	1371	1030	1046
63	833	1393	1050	1067
64	841	1422	1071	1087
65	849	1462	1090	1107
66	864	1485	1110	1127
67	881	1515	1130	1147
68	891	1535	1151	1167
69	902	1563	1171	1187
70	911	1597	1190	1206
71	935	1618	1210	1227
72	956	1640	1234	1247
73	969	1658	1255	1268
74	982	1685	1273	1288
75	998	1717	1293	1309
76	1013	1739	1315	1330
77	1032	1767	1337	1351
78	1046	1788	1358	1371
79	1057	1811	1379	1392
80	1070	1845	1400	1413
81	1093	1858	1422	1433
82	1114	1878	1441	1453
83	1130	1904	1461	1473
84	1140	1935	1478	1493
85	1152	1962	1498	1513
86	1174	1980	1519	1533
87	1195	2002	1539	1553
88	1211	2031	1558	1574
89	1221	2060	1581	1594
90	1234	2082	1604	1614
91	1255	2108	1622	1635
92	1270	2126	1644	1656
93	1288	2146	1665	1676
94	1308	2160	1688	1697
95	1321	2184	1707	1718
96	1341	2203	1726	1737
97	1367	2224	1745	1757
98	1387	2241	1765	1777
99	1398	2266	1783	1796
100	1414	2288	1803	1816
101	1442	2315	1824	1838
102	1464	2332	1848	1859
103	1490	2353	1868	1881
104	1505	2377	1890	1902
105	1520	2405	1912	1923
106	1550	2422	1932	1945
107	1572	2451	1954	1966
108	1596	2470	1977	1987
109	1619	2500	1997	2009
110	1637	2548	2017	2030
111	1662	2561	2038	2051
112	1682	2577	2058	2071
113	1699	2596	2079	2092
114	1715	2617	2099	2112
115	1729	2642	2120	2133
116	1758	2661	2139	2154
117	1778	2680	2161	2175
118	1800	2701	2182	2196
119	1814	2723	2204	2217
120	1829	2756	2226	2237
121	1858	2772	2246	2258
122	1880	2790	2266	2279
123	1899	2809	2285	2299
124	1923	2832	2304	2320
125	1938	2862	2327	2341
126	1971	2883	2344	2361
127	1992	2898	2364	2382
128	2018	2916	2383	2402
129	2034	2935	2402	2422
130	2046	2960	2423	2443
131	2082	2983	2444	2463
132	2110	3002	2461	2483
133	2140	3020	2479	2502
134	2162	3041	2500	2522
135	2181	3068	2520	2542
136	2216	3084	2538	2562
137	2242	3094	2558	2582
138	2264	3113	2578	2602
139	2284	3137	2598	2623
140	2295	3158	2618	2643
141	2334	3173	2634	2662
142	2361	3206	2652	2682
143	2382	3228	2670	2701
144	2403	3241	2691	2720
145	2421	3266	2710	2740
146	2453	3291	2740	2772
147	2484	3334	2770	2805
148	2504	3382	2800	2838
149	2528	3436	2831	2870
150	2544	3496	2860	2903
151	2568	3537	2892	2934
152	2593	3581	2923	2966
153	2613	3617	2957	2998
154	2630	3668	2989	3030
155	2647	3726	3023	3062
156	2676	3756	3054	3093
157	2700	3794	3084	3124
158	2722	3836	3115	3155
