labID,age,error,depth,cc
Ua-18269,7475,80,233,1
Ua-18269Ua-21999,7325,65,265,1
MAD-3927,16438,1497,342,0
MAF-3926,17582,1521,357,0
MAD-2405,18701,2154,380,0
AA34710,19990,480,385,1
MAD-2470,24344,2653,410,0
MAD-2482,26013,2777,433,0
MAD-2559,28019,2334,440,0
Ua-17150,33690,1195,443,1
Ua-18050,32770,1065,453,1
MAD-2377,28532,5319,460,0
Ua-18270,37005,1790,468,1
MAD-2463,28551,2909,475,0
Ua-18051,29165,725,490,1
MAD-2446,35847,3570,495,0
MAD-2410,31775,2598,500,0
MAD-2383,39183,4620,505,0
MAD-2392,39983,2710,512,0
MA0506-1,42000,3700,515,0
MA0506-2,36900,2800,517,0
MAD-2473,64500,6360,525,0
MA0505-2,65800,4200,530,0
MA0505-1,73100,3800,550,0
MA0507-2,149400,9600,565,0
MA0507-1,151200,14600,580,0
CERAK-6483,139900,33000,592,0
CERAK-6484,147000,9200,603,0
