depth	min	max	median	mean
11	-60	762	194	241
21	-25	797	245	291
31	14	847	289	337
42	53	888	339	388
52	91	922	389	434
62	138	950	434	480
72	185	984	481	527
86	244	1034	560	596
99	332	1082	640	673
103	371	1104	668	703
111	436	1142	756	773
121	535	1184	862	866
132	661	1233	981	971
142	801	1273	1080	1067
149	915	1301	1140	1134
153	961	1321	1172	1167
157	1007	1333	1197	1196
164	1073	1362	1246	1242
174	1154	1404	1302	1296
186	1253	1449	1362	1359
192	1302	1480	1391	1389
197	1349	1501	1409	1412
203	1374	1530	1430	1435
210	1388	1548	1448	1453
217	1405	1567	1465	1471
224	1418	1582	1483	1487
229	1428	1597	1495	1499
234	1440	1609	1507	1511
240	1451	1625	1522	1525
248	1469	1647	1540	1544
258	1488	1670	1566	1568
268	1509	1697	1591	1592
275	1524	1714	1608	1609
281	1538	1730	1623	1623
286	1548	1738	1634	1634
290	1555	1748	1642	1642
293	1560	1754	1647	1648
297	1566	1762	1654	1655
303	1576	1772	1663	1665
308	1585	1781	1672	1674
314	1594	1792	1682	1685
319	1601	1799	1692	1694
323	1609	1808	1699	1702
327	1616	1815	1705	1709
331	1621	1823	1712	1716
335	1628	1829	1720	1723
339	1636	1836	1728	1730
342	1641	1842	1733	1736
343	1643	1844	1735	1738
346	1648	1850	1741	1743
347	1650	1853	1742	1745
350	1655	1859	1748	1750
351	1656	1862	1750	1752
353	1661	1865	1753	1756
355	1664	1867	1757	1759
358	1670	1873	1763	1765
360	1674	1877	1766	1769
364	1680	1884	1773	1776
366	1683	1888	1777	1779
368	1686	1890	1781	1783
370	1689	1892	1785	1787
373	1694	1898	1790	1792
374	1695	1900	1792	1794
377	1701	1907	1798	1799
378	1703	1909	1800	1801
381	1707	1915	1805	1807
386	1719	1923	1814	1816
391	1728	1933	1823	1825
397	1739	1942	1834	1836
402	1748	1950	1844	1845
407	1758	1959	1853	1854
414	1771	1973	1865	1867
421	1781	1984	1878	1879
426	1792	1992	1887	1888
432	1804	2005	1898	1899
438	1816	2015	1909	1909
444	1828	2026	1920	1920
450	1838	2037	1931	1931
455	1849	2045	1941	1940
460	1859	2055	1951	1949
466	1871	2066	1963	1960
473	1887	2079	1977	1974
480	1898	2092	1990	1990
486	1913	2103	2002	2003
493	1927	2117	2018	2018
501	1942	2132	2035	2036
508	1958	2147	2051	2051
513	1968	2157	2062	2062
517	1976	2164	2071	2071
521	1981	2173	2080	2080
526	1992	2182	2092	2091
530	1999	2192	2101	2100
534	2010	2198	2110	2109
538	2019	2206	2119	2118
543	2030	2217	2131	2129
547	2039	2224	2140	2139
552	2051	2233	2152	2150
554	2055	2237	2157	2154
556	2060	2240	2162	2159
558	2065	2243	2166	2163
560	2068	2248	2171	2168
562	2073	2252	2175	2172
564	2077	2253	2179	2177
567	2084	2259	2186	2183
569	2087	2263	2191	2188
571	2090	2267	2196	2192
574	2097	2273	2202	2199
576	2101	2277	2206	2203
578	2105	2280	2211	2207
580	2110	2285	2215	2212
581	2112	2288	2217	2214
586	2125	2294	2228	2225
590	2133	2301	2237	2233
594	2143	2307	2246	2242
598	2153	2314	2255	2250
602	2161	2322	2264	2259
606	2169	2326	2273	2269
610	2178	2334	2282	2278
614	2189	2345	2293	2289
618	2199	2367	2304	2301
622	2213	2392	2313	2313
626	2222	2406	2325	2325
630	2231	2428	2336	2336
633	2241	2439	2345	2345
637	2251	2453	2357	2357
641	2259	2473	2369	2369
645	2272	2482	2382	2381
650	2280	2501	2397	2396
656	2296	2518	2415	2414
660	2303	2534	2427	2426
664	2316	2546	2439	2437
670	2329	2566	2459	2455
675	2342	2578	2474	2469
680	2353	2590	2489	2484
683	2360	2599	2498	2493
686	2367	2605	2508	2502
688	2371	2612	2514	2508
691	2377	2624	2523	2517
694	2387	2630	2533	2526
697	2393	2637	2543	2535
700	2399	2647	2554	2544
703	2408	2653	2563	2553
706	2414	2658	2573	2562
709	2420	2665	2583	2571
710	2422	2669	2586	2574
712	2427	2675	2592	2580
713	2430	2677	2595	2583
714	2433	2679	2599	2586
717	2437	2687	2609	2595
719	2441	2692	2616	2601
722	2446	2701	2627	2610
724	2451	2705	2635	2616
726	2458	2709	2643	2623
729	2464	2717	2654	2632
731	2468	2726	2660	2638
734	2478	2745	2670	2650
736	2484	2762	2676	2657
738	2487	2782	2681	2665
741	2495	2813	2690	2676
743	2503	2822	2698	2684
746	2513	2841	2709	2696
748	2519	2854	2715	2703
750	2524	2874	2721	2711
753	2535	2893	2733	2722
755	2542	2905	2741	2730
758	2554	2925	2752	2742
760	2559	2938	2759	2750
762	2566	2951	2766	2757
763	2571	2957	2770	2761
764	2577	2965	2773	2765
