depth	min	max	median	mean
2.5	-71	67	-38	-27
8.5	-55	108	3	9
9.5	-52	111	9	14
14.5	-32	136	39	43
16.5	-27	155	51	55
19.5	-12	173	70	73
24.5	8	203	100	102
29.5	38	230	132	133
31.5	48	242	145	146
35.5	71	256	171	168
37.5	81	267	183	180
39.5	95	273	197	191
43.5	120	288	225	214
45.5	132	294	242	225
49.5	157	311	271	249
50.5	162	320	276	256
54.5	185	358	295	282
57.5	200	391	309	302
59.5	213	401	322	315
64.5	243	442	353	349
69.5	276	481	388	384
71.5	288	496	401	398
73.5	301	508	414	411
78.5	341	537	449	446
79.5	350	542	456	454
85.5	404	574	500	497
89.5	446	592	527	525
93.5	487	613	554	552
95.5	507	620	569	566
99.5	547	638	593	591
102.5	565	661	609	610
105.5	588	695	628	632
107.5	600	722	645	649
110.5	617	782	678	683
114.5	644	853	725	731
119.5	682	926	786	791
124.5	729	983	851	852
129.5	782	1034	911	911
134.5	852	1079	970	969
139.5	926	1122	1030	1027
141.5	953	1145	1053	1050
143.5	984	1164	1076	1075
145.5	1004	1192	1102	1099
147.5	1019	1237	1125	1124
149.5	1035	1269	1147	1147
151.5	1046	1317	1167	1171
153.5	1065	1347	1189	1193
155.5	1080	1377	1211	1216
157.5	1095	1413	1231	1238
159.5	1113	1440	1255	1261
161.5	1127	1474	1278	1283
163.5	1142	1502	1300	1306
168.5	1184	1566	1354	1361
173.5	1227	1630	1410	1415
178.5	1271	1692	1467	1472
183.5	1315	1755	1527	1528
188.5	1362	1816	1580	1582
193.5	1409	1872	1636	1637
198.5	1455	1931	1698	1696
203.5	1501	1981	1749	1745
208.5	1551	2033	1800	1796
213.5	1590	2084	1849	1846
218.5	1638	2146	1897	1895
223.5	1691	2203	1947	1946
227.5	1729	2241	1987	1985
229.75	1759	2256	2010	2008
237.5	1833	2337	2087	2084
241.5	1878	2364	2124	2122
243	1892	2377	2139	2137
248.5	1950	2415	2192	2190
253.5	1997	2454	2233	2233
258.5	2044	2490	2277	2277
263.5	2094	2526	2320	2320
268.5	2143	2562	2365	2364
274	2201	2596	2415	2411
278.5	2249	2625	2457	2452
284.5	2312	2665	2509	2505
287.5	2339	2688	2536	2531
292.5	2396	2721	2581	2575
294.5	2423	2733	2597	2592
296.5	2439	2748	2614	2609
298.5	2468	2760	2630	2626
302.5	2509	2784	2665	2660
304.5	2537	2795	2682	2677
305.5	2552	2802	2691	2686
307.5	2571	2814	2707	2704
309.5	2602	2824	2722	2721
310.5	2615	2828	2730	2729
311.5	2623	2835	2738	2737
316.5	2702	2866	2779	2780
321.5	2738	2926	2829	2820
326.5	2763	3005	2871	2871
331.5	2792	3077	2920	2922
336.5	2825	3158	2972	2977
341.5	2858	3213	3021	3027
346.5	2899	3277	3073	3079
351.5	2941	3331	3120	3129
356.5	2987	3399	3174	3187
361.5	3044	3491	3255	3262
364.5	3087	3534	3305	3309
365.5	3103	3555	3320	3324
367.5	3125	3593	3352	3355
370.5	3171	3624	3398	3398
375.5	3244	3699	3477	3477
380.5	3324	3771	3555	3553
385.5	3419	3839	3632	3630
390.5	3509	3911	3710	3708
395.5	3612	3984	3786	3786
398.5	3684	4037	3833	3837
402.5	3756	4117	3908	3915
405.5	3800	4244	3980	3991
410.5	3878	4440	4106	4120
415.5	3961	4619	4241	4254
420.5	4045	4800	4380	4390
425.5	4145	4938	4517	4526
430.5	4252	5070	4671	4669
435.5	4375	5189	4815	4804
440.5	4498	5305	4962	4942
445.5	4636	5402	5118	5084
450.5	4769	5488	5264	5221
455.5	4880	5573	5359	5333
459.5	4939	5630	5424	5394
462.5	4971	5677	5464	5429
464.5	5005	5695	5491	5453
465.5	5020	5713	5505	5464
467.5	5048	5740	5529	5487
470.5	5103	5769	5560	5521
475.5	5182	5827	5613	5577
480.5	5255	5876	5667	5634
485.5	5323	5922	5724	5692
490.5	5395	5972	5773	5747
495.5	5466	6014	5827	5804
500.5	5568	6058	5882	5862
505.5	5646	6100	5937	5918
510.5	5713	6140	5989	5972
515.5	5799	6179	6045	6028
520.5	5874	6218	6102	6085
525.5	5948	6251	6157	6142
530.5	6007	6277	6207	6197
536	6062	6366	6261	6255
542	6114	6485	6319	6318
