depth	min	max	median	mean
80	530	657	606	601
81	531	658	607	602
82	532	660	608	603
83	533	661	609	604
84	535	662	610	605
85	536	664	611	606
86	537	665	612	607
87	538	665	613	608
88	539	667	614	609
89	540	668	615	610
90	541	669	616	611
91	542	670	617	612
92	543	671	618	613
93	544	672	619	614
94	544	673	620	615
95	545	675	621	616
96	546	676	622	617
97	547	677	623	618
98	549	677	624	619
99	549	678	625	620
100	550	680	626	621
101	551	681	627	622
102	552	683	628	623
103	553	685	630	624
104	554	686	631	625
105	555	688	631	627
106	556	688	632	628
107	557	689	634	629
108	558	691	635	630
109	559	692	635	631
110	559	692	637	632
111	561	694	637	633
112	561	695	639	634
113	562	696	640	635
114	563	697	641	636
115	564	698	642	637
116	565	699	643	638
117	566	701	644	639
118	567	702	645	640
119	568	704	646	641
120	569	705	647	642
121	570	706	648	643
122	571	707	649	644
123	572	708	650	645
124	573	709	651	646
125	574	711	652	647
126	575	712	653	648
127	576	712	654	650
128	577	714	655	651
129	578	715	656	652
130	579	717	657	653
131	580	718	658	654
132	581	719	659	655
133	582	721	660	656
134	583	722	661	657
135	584	724	662	658
136	585	725	663	659
137	585	726	664	660
138	587	727	665	661
139	587	728	666	662
140	588	729	667	663
141	589	730	668	664
142	590	731	669	665
143	591	732	670	666
144	592	733	671	667
145	593	734	672	668
146	594	735	673	669
147	595	737	674	670
148	596	737	675	671
149	596	739	676	672
150	597	740	677	673
151	598	741	678	674
152	599	742	679	675
153	600	743	680	676
154	601	744	681	677
155	602	746	682	679
156	603	747	683	680
157	604	747	684	681
158	605	749	685	681
159	606	749	686	682
160	607	750	687	683
161	609	751	688	685
162	610	753	689	686
163	610	754	690	687
164	611	755	691	688
165	612	756	693	689
166	613	757	694	690
167	614	758	695	691
168	615	760	696	692
169	615	761	697	693
170	617	761	698	694
171	618	763	699	695
172	618	764	699	696
173	619	765	700	697
174	621	766	701	698
175	621	768	702	699
176	622	768	703	700
177	624	769	704	701
178	625	771	705	702
179	625	772	706	703
180	626	774	707	704
181	627	775	708	705
182	628	776	709	706
183	629	776	710	707
184	630	778	711	708
185	631	779	712	709
186	632	780	713	710
187	633	781	714	711
188	634	782	715	712
189	635	783	716	713
190	636	784	717	714
191	637	785	718	715
192	638	786	719	716
193	638	787	720	717
194	639	789	721	718
195	640	790	722	719
196	641	791	723	720
197	642	792	724	721
198	643	793	725	722
199	644	795	726	724
200	645	797	727	725
201	645	799	728	726
202	647	800	729	727
203	648	802	730	728
204	648	803	731	729
205	650	804	732	730
206	651	805	733	731
207	651	806	734	732
208	653	807	735	733
209	653	808	736	734
210	654	810	737	735
211	655	810	738	736
212	656	812	739	737
213	657	813	740	738
214	658	813	741	739
215	659	815	742	740
216	659	816	743	741
217	660	817	744	742
218	661	819	745	743
219	662	820	746	744
220	663	821	747	745
221	663	822	748	746
222	664	823	749	747
223	664	823	751	748
224	665	824	751	749
225	666	826	752	750
226	667	826	754	751
227	668	828	755	752
228	669	829	756	753
229	670	830	757	754
230	671	831	758	755
231	671	832	759	756
232	673	833	760	758
233	674	834	761	759
234	675	836	762	760
235	676	837	763	761
236	678	838	764	762
237	678	839	765	763
238	679	841	766	764
239	680	841	767	765
240	681	843	768	766
241	682	844	769	767
242	683	845	770	768
243	684	846	771	769
244	685	847	772	770
245	686	849	773	771
246	687	849	774	772
247	688	851	775	773
248	689	852	776	774
249	690	853	778	775
250	691	854	779	776
251	692	855	779	777
252	693	856	780	778
253	694	857	781	779
254	695	858	782	780
255	695	860	783	781
256	697	860	784	782
257	697	862	785	783
258	699	863	787	784
259	699	865	788	785
260	701	866	789	786
261	702	867	790	788
262	704	868	791	789
263	705	869	792	790
264	706	870	793	791
265	707	871	794	792
266	708	872	795	793
267	708	873	796	794
268	709	874	797	795
269	710	874	798	796
270	711	876	800	797
271	712	877	800	798
272	713	878	801	799
273	714	880	802	800
274	715	881	803	801
275	716	882	804	802
276	717	883	805	803
277	717	884	806	804
278	718	885	807	805
279	719	887	808	806
280	720	888	809	807
281	722	889	810	808
282	723	890	811	809
283	724	891	812	810
284	725	892	813	811
285	726	894	814	812
286	727	894	815	813
287	728	895	816	814
288	729	896	817	815
289	730	897	818	816
290	731	898	819	817
291	732	899	820	818
292	733	899	821	819
293	734	901	822	820
294	734	902	823	821
295	735	903	824	822
296	737	905	826	823
297	738	906	827	824
298	738	907	827	825
299	740	909	828	826
300	741	910	829	828
301	741	911	830	829
302	743	912	832	830
303	744	914	832	831
304	745	916	834	832
305	746	917	835	833
306	748	918	836	834
307	749	918	837	835
308	749	920	838	836
309	750	920	839	837
310	751	921	840	838
311	752	922	841	839
312	754	923	842	840
313	755	925	843	841
314	756	926	844	842
315	757	927	845	843
316	758	928	846	844
317	759	929	847	845
318	760	930	848	846
319	762	931	849	847
320	763	932	850	848
321	763	933	851	849
322	764	934	852	850
323	765	935	853	851
324	766	936	854	853
325	767	938	855	854
326	768	939	856	855
327	768	940	857	856
328	770	942	858	857
329	771	943	859	858
330	772	944	860	859
331	773	945	861	860
332	774	946	862	861
333	775	947	863	862
334	777	948	864	863
335	778	950	865	864
336	779	950	866	865
337	780	951	867	866
338	781	952	868	867
339	782	953	869	868
340	782	955	870	869
341	783	956	871	870
342	784	956	872	871
343	785	957	874	872
344	786	958	875	873
345	787	960	876	874
346	788	961	876	875
347	788	962	877	876
348	789	964	878	877
349	789	965	879	878
350	791	966	880	879
351	792	967	882	880
352	793	968	883	881
353	794	970	884	882
354	795	971	885	884
355	796	973	886	885
356	796	974	887	886
357	797	975	888	887
358	799	976	889	888
359	799	978	890	889
360	800	979	891	890
361	802	979	892	891
362	802	981	893	892
363	803	982	894	893
364	804	983	895	894
365	805	984	896	895
366	806	984	897	896
367	806	986	898	897
368	808	987	899	898
369	809	988	900	899
370	810	990	901	900
371	811	991	902	901
372	812	991	903	902
373	812	992	904	903
374	813	993	905	904
375	814	995	905	905
376	815	996	907	906
377	817	997	908	907
378	817	998	909	908
379	818	1000	910	909
380	819	1001	911	910
381	820	1002	912	911
382	821	1002	913	912
383	822	1004	914	913
384	823	1005	915	915
385	824	1007	916	916
386	824	1008	917	917
387	826	1009	918	918
388	827	1010	920	919
389	828	1010	921	920
390	829	1011	922	921
391	830	1013	923	922
392	831	1014	924	923
393	831	1016	925	924
394	832	1017	925	925
395	833	1018	926	926
396	835	1019	928	927
397	836	1019	929	928
398	837	1020	930	929
399	838	1021	931	930
400	840	1022	932	931
401	840	1023	933	932
402	841	1024	934	933
403	842	1025	935	934
404	842	1026	936	935
405	843	1028	936	936
406	844	1029	937	937
407	844	1030	939	938
408	846	1030	939	939
409	847	1031	941	940
410	848	1032	942	941
411	849	1033	943	942
412	850	1033	943	943
413	851	1035	945	944
414	852	1037	946	945
415	853	1038	947	946
416	854	1039	948	947
417	855	1040	949	948
418	856	1041	950	949
419	857	1042	951	950
420	858	1044	952	951
421	859	1045	953	952
422	860	1046	954	953
423	861	1047	955	954
424	862	1047	956	955
425	863	1048	957	956
426	864	1049	958	958
427	865	1050	959	959
428	866	1051	960	960
429	867	1051	961	961
430	868	1052	962	962
431	868	1053	963	963
432	869	1055	964	964
433	870	1057	965	965
434	871	1059	966	966
435	872	1060	967	967
436	872	1061	968	968
437	873	1062	969	969
438	875	1062	970	970
439	876	1063	971	971
440	876	1063	972	972
441	878	1065	973	973
442	879	1065	974	974
443	880	1066	975	975
444	881	1068	976	976
445	882	1070	977	977
446	883	1071	978	978
447	884	1071	979	979
448	885	1072	980	980
449	885	1074	981	981
450	886	1076	982	982
451	887	1076	983	983
452	888	1077	984	984
453	889	1078	985	985
454	890	1078	986	986
455	890	1080	987	987
456	892	1082	988	988
457	893	1083	989	989
458	894	1084	990	990
459	895	1085	991	991
460	896	1086	992	992
461	897	1088	993	993
462	898	1088	994	994
463	899	1089	995	995
464	899	1090	996	996
465	900	1091	997	997
466	902	1092	998	998
467	903	1093	999	999
468	904	1094	1000	1001
469	905	1096	1001	1002
470	906	1097	1002	1003
471	907	1098	1003	1004
472	908	1098	1004	1005
473	908	1099	1005	1006
474	909	1100	1006	1007
475	910	1101	1007	1008
476	911	1102	1008	1009
477	913	1103	1009	1010
478	914	1105	1010	1011
479	914	1106	1011	1012
480	915	1106	1012	1013
481	916	1108	1013	1014
482	917	1109	1014	1015
483	918	1110	1015	1016
484	919	1112	1016	1017
485	920	1113	1017	1018
486	921	1114	1018	1019
487	922	1115	1019	1020
488	922	1116	1020	1021
489	923	1117	1021	1022
490	924	1118	1022	1023
491	925	1119	1023	1024
492	926	1120	1024	1025
493	927	1121	1025	1026
494	928	1122	1026	1027
495	929	1123	1027	1028
496	930	1124	1028	1029
497	930	1126	1029	1030
498	931	1128	1030	1031
499	932	1129	1031	1032
500	933	1129	1032	1033
501	934	1131	1033	1034
502	935	1132	1034	1035
503	936	1133	1035	1036
504	937	1134	1036	1037
505	938	1136	1037	1038
506	939	1137	1038	1039
507	940	1138	1039	1041
508	941	1140	1040	1042
509	942	1141	1041	1043
510	943	1141	1042	1044
511	944	1142	1043	1045
512	944	1144	1044	1046
513	945	1145	1045	1047
514	947	1145	1047	1048
515	948	1147	1048	1049
516	948	1148	1049	1050
517	949	1149	1050	1051
518	950	1150	1051	1052
519	951	1152	1052	1053
520	951	1153	1053	1054
521	952	1154	1054	1055
522	953	1155	1055	1056
523	954	1156	1056	1057
524	954	1156	1057	1058
525	956	1158	1058	1059
526	957	1159	1059	1060
527	958	1160	1060	1061
528	959	1161	1061	1062
529	960	1162	1062	1063
530	961	1164	1063	1064
531	962	1165	1064	1065
532	963	1165	1065	1066
533	963	1167	1066	1067
534	964	1168	1067	1068
535	965	1169	1068	1070
536	966	1170	1069	1071
537	967	1171	1070	1072
538	969	1171	1071	1073
539	970	1173	1072	1074
540	972	1174	1073	1075
541	973	1175	1074	1076
542	974	1177	1075	1077
543	976	1178	1076	1078
544	977	1179	1078	1079
545	979	1180	1079	1080
546	979	1181	1080	1081
547	979	1182	1081	1082
548	980	1183	1082	1083
549	982	1184	1083	1084
550	983	1185	1084	1085
551	984	1186	1085	1086
552	985	1187	1086	1087
553	986	1188	1088	1088
554	987	1188	1088	1089
555	988	1189	1089	1090
556	989	1191	1091	1091
557	990	1191	1092	1092
558	992	1193	1092	1093
559	993	1193	1094	1094
560	994	1195	1095	1095
561	994	1196	1096	1096
562	995	1198	1096	1097
563	996	1199	1097	1098
564	997	1200	1098	1099
565	998	1201	1099	1100
566	999	1202	1100	1101
567	1000	1202	1102	1102
568	1001	1203	1103	1103
569	1002	1204	1104	1104
570	1003	1205	1105	1105
571	1004	1206	1106	1106
572	1005	1208	1107	1108
573	1006	1209	1108	1109
574	1006	1210	1109	1110
575	1008	1211	1110	1111
576	1009	1212	1111	1112
577	1010	1213	1113	1113
578	1011	1214	1113	1114
579	1012	1215	1115	1115
580	1013	1216	1115	1116
581	1014	1217	1117	1117
582	1015	1218	1118	1118
583	1016	1218	1119	1119
584	1017	1220	1120	1120
585	1017	1221	1121	1121
586	1019	1222	1122	1122
587	1020	1224	1123	1123
588	1021	1225	1124	1124
589	1022	1227	1125	1125
590	1023	1228	1126	1126
591	1024	1229	1127	1127
592	1025	1230	1128	1128
593	1026	1231	1129	1129
594	1027	1232	1130	1130
595	1029	1232	1131	1131
596	1030	1233	1132	1132
597	1030	1235	1133	1133
598	1032	1235	1134	1134
599	1032	1236	1135	1135
600	1034	1237	1136	1136
601	1035	1239	1136	1137
602	1036	1240	1138	1138
603	1037	1242	1139	1139
604	1038	1243	1140	1140
605	1039	1244	1140	1141
606	1039	1245	1141	1142
607	1041	1246	1142	1143
608	1041	1247	1143	1144
609	1042	1249	1145	1146
610	1044	1250	1146	1147
611	1045	1251	1147	1148
612	1046	1253	1147	1149
613	1048	1255	1149	1150
614	1049	1256	1150	1151
615	1050	1257	1151	1152
616	1051	1258	1151	1153
617	1051	1259	1153	1154
618	1052	1260	1154	1155
619	1053	1260	1155	1156
620	1053	1262	1156	1157
621	1054	1263	1157	1158
622	1055	1264	1158	1159
623	1056	1265	1159	1160
624	1057	1266	1160	1161
625	1058	1267	1160	1162
626	1059	1268	1161	1163
627	1059	1269	1163	1164
628	1060	1270	1164	1165
629	1061	1271	1165	1166
630	1063	1272	1166	1167
631	1063	1273	1167	1168
632	1063	1273	1167	1169
633	1064	1274	1169	1170
634	1065	1275	1170	1171
635	1066	1277	1171	1172
636	1068	1278	1172	1173
637	1069	1279	1173	1174
