depth	min	max	median	mean
615	4595	5131	4844	4853
660	4697	5218	4936	4944
705	4801	5298	5024	5036
750	4911	5381	5111	5128
795	5014	5466	5195	5219
850	5160	5557	5289	5331
860	5185	5576	5307	5352
870	5207	5598	5338	5377
880	5235	5624	5376	5404
890	5260	5646	5413	5431
900	5286	5670	5446	5458
910	5310	5694	5475	5485
920	5338	5719	5506	5511
930	5364	5743	5532	5537
940	5390	5766	5560	5563
950	5416	5792	5588	5590
960	5442	5816	5614	5616
970	5471	5838	5641	5643
980	5502	5860	5667	5670
990	5528	5880	5694	5696
1000	5556	5900	5722	5723
1010	5584	5922	5748	5749
1020	5611	5946	5774	5775
1030	5632	5975	5798	5799
1040	5651	6003	5822	5823
1050	5673	6034	5846	5847
1100	5778	6160	5962	5963
1115	5810	6195	5996	5999
1130	5844	6237	6031	6034
1145	5867	6282	6065	6069
1160	5904	6321	6102	6103
1175	5940	6355	6136	6139
1190	5973	6391	6171	6173
1205	6001	6435	6205	6208
1220	6033	6468	6239	6243
1235	6061	6504	6274	6278
1250	6094	6544	6309	6313
1265	6126	6587	6344	6348
1280	6159	6627	6378	6383
1295	6193	6665	6415	6419
1310	6229	6701	6452	6455
1325	6261	6742	6489	6491
1340	6296	6778	6523	6526
1355	6332	6820	6559	6561
1370	6367	6856	6594	6596
1400	6432	6923	6664	6667
1435	6502	7008	6747	6750
1470	6578	7089	6830	6832
1505	6655	7175	6912	6914
1540	6734	7263	6996	6996
1575	6813	7346	7079	7078
1610	6895	7425	7161	7161
1645	6973	7515	7245	7244
1680	7051	7595	7327	7326
1700	7091	7645	7373	7374
1730	7157	7717	7444	7444
1760	7226	7782	7515	7513
1790	7301	7854	7586	7583
1820	7374	7918	7655	7654
1850	7440	7985	7728	7725
1880	7512	8054	7798	7795
1910	7581	8120	7868	7866
1940	7656	8191	7939	7937
1970	7731	8254	8007	8007
2000	7805	8319	8077	8078
2030	7874	8379	8143	8148
2080	7997	8486	8246	8264
2090	8016	8505	8268	8284
2110	8053	8542	8313	8322
2130	8088	8586	8352	8359
2150	8131	8626	8394	8397
2170	8165	8662	8435	8434
2190	8207	8696	8477	8472
2210	8244	8732	8518	8509
2230	8284	8763	8557	8546
2250	8322	8795	8596	8584
2270	8359	8832	8634	8621
2290	8400	8865	8672	8658
2300	8419	8883	8694	8676
2310	8440	8905	8713	8695
2320	8459	8920	8731	8714
2330	8480	8938	8751	8732
2340	8498	8955	8771	8751
2350	8522	8973	8791	8770
2360	8540	8991	8810	8788
2370	8558	9013	8829	8807
2380	8580	9030	8848	8826
2400	8615	9065	8889	8864
