depth	min	max	median	mean
350	6885	7733	7391	7368
380	7178	8001	7673	7652
400	7384	8178	7848	7832
410	7488	8283	7938	7922
430	7669	8460	8118	8102
450	7879	8636	8296	8283
460	7975	8735	8380	8372
490	8256	8997	8646	8639
500	8348	9091	8733	8727
510	8455	9168	8824	8817
520	8549	9261	8913	8907
530	8648	9344	9004	8997
540	8759	9440	9092	9088
550	8864	9528	9183	9179
580	9159	9804	9462	9458
590	9240	9935	9558	9558
600	9330	10050	9655	9660
630	9589	10420	9956	9968
640	9680	10538	10061	10070
650	9765	10660	10156	10171
660	9853	10772	10261	10271
670	9933	10884	10363	10375
680	10022	11016	10468	10476
700	10209	11230	10671	10681
710	10285	11345	10775	10784
720	10375	11472	10874	10885
730	10475	11578	10974	10987
740	10563	11704	11077	11090
750	10658	11829	11179	11193
