depth	min	max	median	mean
4	-74	-1	-58	-53
14	-58	57	-16	-11
24	-31	107	26	29
34	-3	153	66	68
44	23	198	107	108
54	54	241	148	148
64	85	274	190	188
79	135	366	251	251
89	168	426	291	293
99	202	484	331	335
109	240	549	371	377
119	280	609	411	419
129	314	665	451	460
139	352	717	492	503
149	387	779	532	545
159	424	840	574	588
169	464	896	614	630
179	500	956	653	673
189	537	1009	696	715
199	576	1066	736	756
209	614	1122	777	799
219	652	1184	817	841
229	693	1241	858	883
239	732	1312	899	925
249	776	1382	940	969
259	817	1445	980	1011
269	864	1505	1018	1054
279	914	1559	1051	1097
289	959	1645	1116	1160
299	1015	1715	1176	1223
309	1081	1782	1235	1286
319	1145	1849	1293	1349
329	1220	1933	1347	1413
339	1305	2001	1397	1477
349	1384	2092	1544	1593
359	1480	2182	1691	1727
369	1593	2269	1837	1861
379	1718	2364	1983	1998
389	1840	2459	2122	2127
399	1970	2547	2264	2262
409	2126	2645	2399	2396
419	2293	2738	2541	2536
429	2474	2824	2675	2668
439	2720	2917	2796	2801
449	2808	3099	2910	2921
459	2875	3268	3022	3036
469	2951	3429	3138	3151
479	3036	3596	3256	3269
489	3115	3735	3369	3383
499	3208	3888	3486	3501
509	3304	4028	3602	3619
519	3402	4161	3717	3736
529	3493	4329	3836	3856
539	3589	4478	3949	3973
549	3688	4611	4061	4092
554	3731	4676	4118	4143
