depth	min	max	median	mean
0	-72	300	23	47
5	-39	372	101	118
10	-3	438	173	186
15	51	503	245	255
20	110	564	317	323
25	166	629	386	390
30	227	689	457	458
35	303	745	528	527
40	373	800	599	596
45	453	860	670	666
50	529	922	737	734
55	635	975	808	805
60	756	1036	876	874
65	825	1244	974	991
70	897	1408	1093	1109
75	976	1546	1217	1229
80	1068	1687	1337	1347
85	1160	1823	1460	1467
90	1259	1929	1581	1585
95	1381	2035	1712	1710
100	1518	2147	1833	1834
105	1661	2247	1953	1953
110	1825	2316	2066	2073
115	1932	2535	2202	2213
120	2037	2711	2352	2355
125	2153	2856	2497	2499
130	2274	3005	2643	2642
135	2415	3142	2795	2790
140	2579	3248	2943	2935
145	2753	3362	3089	3081
150	2953	3452	3235	3225
155	3059	3686	3364	3364
160	3168	3844	3494	3499
165	3282	3995	3627	3633
170	3407	4136	3772	3769
175	3537	4258	3907	3904
180	3683	4375	4043	4039
185	3850	4500	4183	4178
190	4025	4614	4316	4315
195	4123	4834	4447	4458
200	4238	5007	4590	4599
205	4353	5172	4733	4741
210	4473	5325	4874	4882
215	4582	5469	5012	5021
220	4675	5591	5139	5161
225	4763	5748	5246	5264
230	4849	5892	5360	5369
235	4932	6025	5463	5470
240	5031	6157	5565	5571
245	5124	6290	5668	5672
250	5200	6396	5765	5774
