depth	min	max	median	mean
1	969	1342	1182	1171
3	1022	1363	1209	1202
5	1057	1399	1238	1233
7	1102	1426	1266	1264
9	1150	1456	1292	1295
10	1168	1473	1306	1311
11	1179	1491	1320	1326
12	1216	1500	1335	1343
13	1243	1512	1351	1360
14	1261	1530	1367	1377
15	1274	1554	1384	1393
16	1284	1578	1400	1410
17	1299	1595	1418	1427
18	1315	1617	1437	1445
19	1327	1643	1454	1462
20	1332	1678	1470	1479
21	1341	1714	1485	1496
22	1356	1730	1504	1514
23	1369	1750	1523	1532
24	1380	1773	1541	1549
25	1388	1796	1558	1567
26	1395	1830	1576	1584
27	1411	1846	1592	1602
28	1423	1861	1612	1619
29	1433	1886	1628	1636
30	1443	1910	1644	1653
31	1454	1944	1661	1670
32	1471	1956	1679	1688
34	1495	2003	1714	1723
35	1507	2030	1732	1741
36	1516	2060	1751	1758
37	1530	2076	1767	1775
38	1548	2092	1784	1793
39	1559	2113	1802	1810
40	1574	2134	1820	1827
41	1584	2166	1836	1844
43	1616	2191	1873	1879
45	1643	2231	1906	1914
48	1693	2283	1959	1967
50	1719	2327	1995	2002
52	1751	2361	2030	2037
54	1784	2394	2065	2070
56	1809	2438	2097	2104
58	1847	2474	2131	2138
60	1881	2510	2164	2172
62	1909	2548	2198	2206
64	1941	2581	2231	2239
66	1968	2621	2267	2273
68	2008	2653	2297	2306
70	2036	2692	2333	2339
71	2048	2714	2350	2356
72	2072	2729	2365	2373
73	2093	2748	2384	2390
74	2111	2766	2403	2408
75	2124	2783	2420	2425
76	2140	2803	2438	2443
77	2158	2821	2452	2459
78	2186	2839	2467	2476
79	2201	2855	2485	2492
80	2216	2871	2502	2508
81	2230	2887	2516	2525
82	2255	2902	2534	2543
83	2274	2917	2551	2560
84	2295	2936	2568	2578
85	2312	2959	2586	2596
86	2332	2978	2603	2614
87	2356	2990	2620	2631
88	2384	2999	2634	2648
89	2404	3015	2650	2665
90	2425	3031	2667	2682
91	2441	3050	2684	2700
92	2475	3067	2700	2720
93	2501	3084	2717	2740
94	2523	3104	2734	2760
95	2538	3129	2754	2780
96	2554	3151	2775	2800
97	2593	3175	2797	2825
98	2625	3204	2820	2850
99	2653	3240	2844	2875
100	2674	3279	2870	2900
101	2692	3313	2894	2926
102	2738	3351	2949	2976
103	2766	3395	3005	3026
104	2785	3454	3057	3075
105	2801	3541	3109	3125
106	2815	3637	3156	3175
107	2878	3675	3212	3230
108	2920	3714	3273	3286
110	2981	3842	3391	3396
112	3081	3962	3504	3508
114	3191	4023	3628	3621
116	3253	4143	3749	3734
118	3471	4186	3855	3849
121	3650	4310	4041	4022
123	3867	4344	4124	4121
125	4018	4401	4220	4219
127	4121	4467	4307	4304
130	4247	4561	4421	4412
132	4304	4639	4481	4475
134	4355	4696	4530	4530
135	4374	4739	4556	4558
136	4388	4788	4581	4586
137	4443	4805	4613	4618
138	4479	4828	4646	4649
139	4509	4855	4682	4681
140	4530	4896	4716	4713
141	4549	4948	4747	4745
142	4593	4999	4810	4794
143	4614	5090	4850	4844
144	4634	5223	4884	4893
145	4649	5357	4919	4942
146	4662	5498	4955	4991
147	4687	5545	5009	5040
148	4707	5621	5060	5089
149	4719	5699	5107	5138
150	4735	5808	5148	5187
151	4749	5912	5196	5235
152	4776	5949	5248	5284
153	4796	5999	5306	5333
154	4819	6062	5358	5381
155	4834	6132	5408	5430
156	4847	6206	5455	5479
158	4897	6274	5577	5576
160	4934	6368	5693	5674
161	4948	6438	5739	5723
162	4968	6463	5814	5771
164	5000	6526	5940	5867
166	5038	6632	6030	5963
169	5092	6709	6120	6049
