depth	min	max	median	mean
0	-68	213	8	25
10	-8	349	119	132
20	59	529	245	267
30	136	677	349	394
40	201	750	439	473
50	271	820	522	545
60	346	887	606	620
70	435	969	687	692
80	509	1032	762	765
90	592	1099	836	838
100	676	1161	906	909
110	756	1224	977	980
120	833	1302	1052	1053
130	924	1374	1124	1124
140	1011	1479	1219	1223
150	1110	1599	1330	1335
160	1215	1722	1448	1452
180	1428	1937	1679	1680
190	1554	2038	1794	1795
200	1658	2128	1904	1902
210	1797	2226	2019	2017
220	1932	2332	2128	2130
230	2078	2442	2239	2239
240	2198	2621	2371	2380
250	2308	2811	2517	2527
260	2420	2963	2664	2670
270	2543	3128	2810	2814
278	2637	3228	2923	2925
280	2654	3259	2951	2954
290	2782	3407	3095	3097
300	2931	3544	3246	3243
310	3067	3659	3392	3384
320	3216	3793	3542	3532
330	3365	3906	3700	3680
340	3457	4002	3789	3774
350	3546	4095	3873	3859
360	3633	4174	3957	3945
370	3715	4269	4044	4032
380	3806	4350	4129	4117
390	3885	4440	4219	4204
400	3976	4519	4305	4291
410	4062	4600	4390	4377
420	4167	4680	4480	4465
430	4246	4740	4570	4551
440	4330	4820	4636	4620
450	4394	4887	4697	4683
460	4468	4943	4760	4745
470	4541	5001	4821	4809
480	4608	5051	4885	4872
490	4682	5107	4950	4937
500	4751	5161	5016	5000
510	4814	5212	5081	5064
520	4882	5256	5146	5128
530	4958	5298	5208	5192
540	5053	5401	5279	5266
550	5134	5484	5348	5342
560	5232	5555	5415	5418
570	5336	5640	5499	5505
580	5493	5863	5651	5659
590	5625	6074	5833	5838
600	5776	6235	6020	6015
610	5949	6367	6200	6189
620	6109	6571	6358	6351
630	6239	6778	6492	6498
640	6346	6883	6599	6604
650	6436	6978	6698	6703
660	6527	7077	6801	6800
670	6628	7163	6899	6899
680	6710	7260	7002	6996
690	6798	7347	7100	7092
700	6888	7428	7201	7189
710	6988	7510	7300	7287
720	7081	7584	7401	7385
730	7170	7656	7502	7481
740	7252	7727	7565	7549
750	7317	7802	7625	7610
760	7396	7873	7683	7672
770	7465	7939	7744	7733
780	7531	8005	7803	7794
790	7606	8075	7864	7858
800	7687	8142	7924	7920
810	7771	8206	7988	7984
820	7845	8269	8054	8046
830	7934	8324	8120	8108
840	7987	8413	8187	8185
850	8047	8511	8261	8263
860	8102	8613	8337	8341
870	8166	8717	8413	8420
880	8232	8795	8490	8499
890	8305	8901	8567	8578
900	8368	8996	8637	8655
910	8438	9077	8711	8733
920	8512	9169	8783	8812
930	8590	9257	8856	8890
940	8660	9335	8927	8970
950	8735	9425	8984	9050
960	8803	9542	9102	9146
970	8893	9661	9219	9247
980	8976	9794	9326	9351
