depth	min	max	median	mean
55.5	-43	493	284	254
56.5	-29	503	294	265
57.5	-18	512	303	276
58.5	-5	521	311	286
59.5	4	535	320	297
60.5	16	545	329	307
61.5	30	554	339	318
62.5	45	563	349	329
63.5	57	573	359	339
64.5	67	586	367	350
65.5	77	596	377	361
66.5	89	604	388	371
67.5	102	611	398	382
68.5	117	623	407	392
69.5	122	631	416	403
70.5	135	639	426	413
71.5	149	649	436	424
72.5	162	658	446	434
73.5	176	671	455	445
74.5	185	680	465	455
75.5	198	691	475	466
76.5	213	697	485	476
77.5	229	704	495	486
78.5	242	714	505	497
79.5	253	724	514	507
80.5	267	732	524	518
81.5	285	738	534	528
82.5	296	744	545	538
83.5	310	753	555	549
84.5	322	764	565	559
85.5	333	773	575	569
86.5	350	782	585	580
87.5	367	789	596	590
88.5	376	796	606	600
89.5	388	805	616	611
90.5	400	816	626	621
91.5	417	823	636	632
92.5	433	831	646	643
93.5	446	842	656	654
94.5	461	849	668	664
95.5	476	859	677	675
96.5	495	867	687	685
97.5	509	875	697	696
98.5	520	884	707	706
99.5	533	895	717	716
100.5	548	903	726	727
101.5	570	907	734	737
102.5	590	915	744	747
103.5	603	921	752	757
104.5	613	930	762	767
105.5	626	940	773	778
106.5	638	953	783	790
107.5	646	968	794	801
108.5	653	987	806	813
109.5	659	1009	817	825
110.5	670	1029	829	837
111.5	684	1041	843	848
112.5	695	1058	854	860
113.5	705	1077	866	872
114.5	716	1092	877	884
115.5	725	1108	889	896
116.5	738	1121	901	908
117.5	749	1133	913	920
118.5	759	1150	924	931
119.5	769	1163	937	943
120.5	779	1178	949	955
121.5	789	1190	961	967
122.5	797	1207	973	979
123.5	806	1219	984	991
124.5	814	1230	996	1003
125.5	825	1247	1008	1015
126.5	836	1258	1020	1027
127.5	848	1270	1033	1039
128.5	856	1287	1047	1052
129.5	864	1304	1061	1064
130.5	878	1315	1072	1076
131.5	896	1324	1083	1088
132.5	907	1336	1094	1101
133.5	917	1350	1106	1113
134.5	927	1366	1118	1125
135.5	942	1381	1128	1137
136.5	958	1388	1140	1148
137.5	973	1399	1150	1160
138.5	981	1412	1160	1171
139.5	992	1427	1171	1183
140.5	1007	1442	1182	1194
141.5	1025	1453	1193	1206
142.5	1040	1464	1203	1218
143.5	1051	1477	1215	1230
144.5	1060	1491	1225	1241
145.5	1075	1506	1236	1254
146.5	1094	1519	1248	1267
147.5	1112	1538	1260	1280
148.5	1125	1554	1273	1294
149.5	1133	1573	1288	1307
150.5	1147	1589	1304	1324
151.5	1166	1607	1326	1344
152.5	1182	1631	1348	1364
153.5	1194	1654	1369	1384
154.5	1203	1689	1390	1404
155.5	1218	1714	1411	1425
156.5	1236	1730	1433	1446
157.5	1249	1752	1455	1468
158.5	1264	1776	1477	1489
159.5	1273	1806	1498	1510
160.5	1289	1833	1520	1532
161.5	1305	1855	1542	1553
162.5	1323	1879	1562	1574
163.5	1339	1909	1585	1595
164.5	1349	1944	1606	1616
165.5	1367	1975	1627	1637
166.5	1390	1992	1649	1658
167.5	1403	2012	1671	1679
168.5	1420	2031	1692	1700
169.5	1433	2057	1715	1721
170.5	1450	2082	1735	1742
171.5	1472	2097	1756	1763
172.5	1488	2118	1775	1784
173.5	1503	2139	1797	1805
174.5	1515	2168	1818	1826
175.5	1532	2194	1838	1847
176.5	1560	2211	1858	1867
177.5	1586	2229	1881	1887
178.5	1607	2250	1902	1908
179.5	1618	2274	1922	1928
180.5	1639	2293	1943	1948
181.5	1668	2312	1965	1969
182.5	1690	2325	1987	1990
183.5	1710	2346	2008	2011
184.5	1724	2369	2030	2032
185.5	1746	2389	2050	2053
186.5	1772	2406	2070	2074
187.5	1796	2423	2092	2095
188.5	1813	2446	2113	2116
189.5	1830	2465	2136	2137
190.5	1849	2484	2156	2158
191.5	1875	2501	2175	2179
192.5	1898	2519	2196	2199
193.5	1918	2537	2218	2220
194.5	1936	2560	2239	2241
195.5	1962	2579	2259	2261
196.5	1997	2592	2277	2281
197.5	2024	2607	2296	2302
198.5	2047	2627	2316	2322
199.5	2064	2642	2337	2342
200.5	2093	2663	2355	2363
201.5	2133	2680	2374	2384
202.5	2164	2692	2393	2405
203.5	2191	2711	2412	2426
204.5	2206	2735	2433	2447
205.5	2230	2771	2457	2474
206.5	2250	2830	2491	2507
207.5	2267	2916	2520	2539
208.5	2284	3008	2548	2572
209.5	2295	3097	2575	2604
210.5	2316	3172	2604	2637
211.5	2335	3225	2636	2671
212.5	2351	3282	2666	2705
213.5	2366	3344	2696	2739
214.5	2377	3423	2725	2772
215.5	2391	3478	2745	2797
216.5	2405	3500	2759	2814
217.5	2421	3516	2776	2830
218.5	2430	3535	2792	2847
219.5	2440	3552	2808	2863
220.5	2452	3574	2825	2879
221.5	2467	3594	2839	2895
222.5	2481	3610	2856	2912
223.5	2492	3630	2872	2928
224.5	2504	3648	2887	2944
225.5	2518	3666	2904	2960
226.5	2532	3685	2922	2977
227.5	2551	3702	2939	2993
228.5	2566	3719	2957	3010
229.5	2576	3737	2973	3026
230.5	2592	3754	2990	3043
231.5	2609	3771	3005	3059
232.5	2623	3786	3022	3074
233.5	2635	3804	3037	3090
234.5	2643	3823	3051	3106
235.5	2654	3840	3065	3122
236.5	2671	3856	3081	3139
237.5	2686	3873	3098	3155
238.5	2700	3891	3117	3171
239.5	2711	3912	3134	3187
240.5	2730	3936	3148	3203
241.5	2747	3955	3166	3219
242.5	2768	3971	3181	3235
243.5	2782	3993	3195	3251
244.5	2796	4009	3212	3267
245.5	2811	4030	3227	3284
246.5	2827	4043	3245	3300
247.5	2847	4058	3260	3317
248.5	2864	4077	3277	3333
249.5	2881	4095	3296	3350
250.5	2896	4118	3312	3366
251.5	2912	4135	3327	3383
252.5	2920	4149	3344	3400
253.5	2936	4168	3360	3417
254.5	2948	4188	3374	3434
255.5	2964	4207	3390	3450
256.5	2979	4224	3406	3467
257.5	2995	4238	3422	3483
258.5	3010	4252	3443	3499
259.5	3027	4275	3456	3516
260.5	3044	4294	3472	3532
261.5	3060	4310	3487	3549
262.5	3076	4330	3502	3566
263.5	3086	4341	3517	3582
264.5	3096	4366	3535	3599
265.5	3117	4383	3552	3616
266.5	3134	4399	3568	3633
267.5	3148	4419	3583	3649
268.5	3167	4440	3601	3666
269.5	3176	4463	3619	3683
270.5	3187	4481	3637	3699
271.5	3208	4496	3651	3716
272.5	3224	4518	3667	3733
273.5	3235	4537	3683	3749
274.5	3252	4551	3697	3766
275.5	3269	4575	3712	3783
276.5	3292	4598	3728	3799
277.5	3310	4619	3743	3815
278.5	3333	4638	3760	3832
279.5	3350	4658	3776	3848
280.5	3370	4681	3793	3865
281.5	3394	4696	3808	3882
282.5	3415	4720	3821	3898
283.5	3431	4741	3836	3915
284.5	3448	4763	3854	3932
285.5	3469	4783	3869	3949
286.5	3493	4806	3885	3965
287.5	3514	4822	3900	3982
288.5	3532	4837	3914	3998
289.5	3545	4852	3930	4014
290.5	3566	4871	3945	4031
291.5	3585	4892	3962	4048
292.5	3605	4910	3978	4064
293.5	3620	4935	3993	4081
294.5	3633	4953	4008	4098
295.5	3651	4969	4021	4114
296.5	3674	4995	4036	4131
297.5	3691	5020	4052	4147
298.5	3707	5046	4067	4164
299.5	3719	5062	4085	4180
300.5	3741	5080	4100	4197
301.5	3767	5093	4115	4213
302.5	3789	5104	4133	4229
303.5	3810	5126	4147	4246
304.5	3826	5145	4163	4262
305.5	3847	5170	4188	4286
306.5	3873	5191	4221	4318
307.5	3892	5217	4254	4349
308.5	3909	5241	4293	4380
309.5	3925	5259	4329	4412
310.5	3953	5289	4367	4444
311.5	3983	5299	4402	4477
312.5	4006	5318	4440	4510
313.5	4025	5343	4479	4544
314.5	4043	5368	4518	4577
315.5	4069	5398	4553	4610
316.5	4107	5412	4588	4643
317.5	4130	5432	4623	4677
318.5	4150	5466	4664	4710
319.5	4172	5493	4704	4744
320.5	4202	5522	4742	4777
321.5	4243	5543	4777	4811
322.5	4276	5570	4814	4845
323.5	4300	5604	4849	4879
324.5	4320	5636	4884	4913
325.5	4353	5669	4921	4946
326.5	4388	5689	4956	4980
327.5	4417	5711	4995	5014
328.5	4446	5734	5031	5048
329.5	4476	5765	5070	5082
330.5	4503	5787	5107	5116
331.5	4533	5807	5139	5151
332.5	4562	5827	5175	5185
333.5	4593	5862	5211	5220
334.5	4618	5896	5249	5254
335.5	4651	5921	5286	5289
336.5	4698	5939	5321	5323
337.5	4736	5955	5357	5358
338.5	4764	5979	5397	5392
339.5	4793	6012	5432	5427
340.5	4837	6038	5467	5461
341.5	4890	6054	5503	5494
342.5	4926	6067	5537	5527
343.5	4964	6098	5570	5560
344.5	4987	6126	5603	5593
345.5	5014	6152	5639	5626
346.5	5050	6168	5675	5659
347.5	5091	6183	5709	5692
348.5	5121	6209	5748	5725
349.5	5156	6240	5785	5757
350.5	5195	6263	5818	5790
351.5	5237	6277	5850	5822
352.5	5292	6292	5882	5855
353.5	5331	6310	5915	5887
354.5	5353	6335	5946	5920
355.5	5400	6356	5980	5953
356.5	5453	6371	6018	5987
357.5	5500	6393	6057	6021
358.5	5542	6415	6093	6056
359.5	5574	6441	6125	6090
360.5	5618	6466	6160	6124
361.5	5667	6480	6194	6159
362.5	5720	6495	6231	6194
363.5	5759	6513	6267	6228
364.5	5790	6539	6303	6263
365.5	5812	6561	6330	6287
366.5	5828	6575	6343	6302
367.5	5853	6590	6355	6316
368.5	5871	6606	6369	6330
369.5	5887	6626	6381	6344
370.5	5908	6642	6394	6359
371.5	5926	6653	6407	6373
372.5	5945	6669	6420	6387
373.5	5963	6684	6433	6401
374.5	5983	6699	6446	6416
375.5	6001	6716	6458	6430
376.5	6012	6730	6471	6444
377.5	6032	6742	6482	6458
378.5	6051	6757	6494	6472
379.5	6071	6776	6506	6486
380.5	6093	6792	6518	6500
381.5	6116	6805	6532	6514
382.5	6144	6818	6545	6529
383.5	6171	6835	6559	6543
384.5	6186	6852	6572	6558
385.5	6202	6867	6584	6572
386.5	6221	6880	6597	6585
387.5	6239	6891	6609	6599
388.5	6261	6904	6621	6612
389.5	6283	6923	6634	6626
390.5	6302	6933	6647	6640
391.5	6335	6944	6659	6654
392.5	6359	6955	6673	6669
393.5	6378	6976	6687	6684
394.5	6396	6992	6701	6698
395.5	6421	7008	6714	6713
396.5	6447	7022	6726	6727
397.5	6472	7034	6739	6742
398.5	6493	7050	6752	6756
399.5	6511	7065	6766	6771
400.5	6533	7082	6778	6785
401.5	6567	7093	6790	6799
402.5	6587	7107	6803	6814
403.5	6606	7121	6817	6828
404.5	6625	7136	6831	6842
