depth	min	max	median	mean
12.5	7202	8485	7652	7709
32.5	8573	10368	9419	9444
52.5	9899	13564	11398	11489
72.5	11325	16189	13425	13511
107.5	14139	20553	16973	17055
132.5	16112	23429	19460	19575
152.5	17848	25861	21456	21571
172.5	19564	28313	23492	23610
202.5	22137	31675	26456	26624
221	23827	33791	28345	28502
242.5	25694	36418	30560	30689
262.5	27553	38809	32646	32781
282.5	29349	40959	34712	34805
317.5	32457	44973	38254	38348
342.5	34657	47952	40718	40870
362.5	36654	50311	42762	42938
382.5	38483	52542	44772	44984
407.5	40705	55004	47296	47500
427.5	42476	57373	49378	49531
447.5	44295	59323	51419	51565
467.5	46341	61587	53484	53603
487.5	47977	63737	55513	55652
507.5	49857	66176	57603	57677
527.5	51883	68339	59634	59725
551	54067	71224	61999	62139
