depth	min	max	median	mean
13	3017	3822	3367	3378
14	3154	4047	3537	3555
15	3229	4400	3692	3732
16	3279	4831	3845	3909
17	3322	5292	3993	4085
18	3354	5753	4149	4262
19	3520	5865	4321	4430
20	3641	5983	4509	4597
21	3730	6148	4694	4765
22	3814	6349	4877	4932
23	3880	6628	5049	5099
24	4107	6688	5217	5264
25	4252	6785	5404	5428
26	4371	6876	5586	5592
27	4439	7002	5766	5757
28	4511	7169	5962	5921
29	4777	7211	6111	6087
30	4990	7273	6282	6252
31	5169	7338	6462	6418
32	5310	7440	6661	6584
33	5414	7606	6847	6750
34	5852	7631	6980	6913
35	6267	7680	7120	7075
36	6670	7749	7256	7238
37	6945	7838	7401	7401
38	7105	8009	7565	7564
39	7230	8135	7687	7692
40	7310	8377	7801	7820
41	7379	8712	7915	7948
42	7412	9066	8016	8076
43	7456	9418	8125	8204
44	7555	9519	8263	8330
45	7633	9621	8403	8457
46	7690	9772	8528	8583
47	7726	9986	8651	8710
48	7771	10232	8778	8836
49	7899	10308	8903	8958
50	7978	10401	9036	9080
51	8042	10546	9162	9201
52	8093	10712	9285	9323
53	8152	10900	9407	9445
54	8291	10968	9543	9574
55	8387	11074	9687	9704
56	8472	11199	9828	9833
57	8555	11353	9972	9963
58	8632	11540	10100	10092
59	8819	11607	10230	10223
60	8984	11685	10357	10353
61	9125	11770	10492	10483
62	9235	11888	10636	10614
63	9309	12042	10780	10744
64	9484	12103	10902	10873
65	9655	12175	11027	11002
66	9800	12250	11169	11130
67	9917	12330	11306	11259
68	10019	12465	11438	11388
69	10200	12503	11559	11506
70	10354	12549	11690	11623
71	10512	12605	11822	11741
72	10614	12677	11945	11859
73	10696	12781	12072	11976
74	11023	12820	12173	12103
75	11339	12858	12278	12229
76	11638	12911	12390	12356
77	11861	12980	12507	12483
78	12003	13086	12634	12609
79	12171	13134	12709	12698
80	12303	13185	12791	12787
81	12387	13282	12881	12876
82	12446	13446	12962	12965
83	12498	13664	13038	13055
84	12568	13720	13113	13129
85	12645	13785	13192	13204
86	12701	13892	13265	13279
87	12742	14056	13334	13354
88	12770	14216	13402	13429
89	12848	14270	13475	13497
90	12913	14344	13550	13566
91	12958	14433	13618	13634
92	12990	14531	13688	13702
93	13023	14642	13756	13770
94	13120	14695	13832	13843
95	13187	14758	13909	13916
96	13245	14822	13980	13989
97	13283	14899	14053	14062
98	13319	15030	14123	14135
99	13417	15072	14192	14207
100	13483	15137	14272	14278
101	13538	15190	14351	14349
102	13577	15258	14427	14420
103	13617	15348	14499	14492
104	13737	15385	14572	14564
105	13831	15432	14644	14636
106	13904	15482	14717	14709
107	13959	15558	14789	14781
108	14006	15643	14863	14854
109	14121	15688	14928	14922
110	14220	15729	14995	14991
111	14302	15779	15070	15059
112	14369	15832	15138	15127
113	14416	15904	15212	15196
114	14582	15934	15283	15271
115	14700	15978	15352	15346
116	14801	16036	15424	15421
117	14899	16099	15497	15496
118	14967	16172	15575	15571
119	15099	16224	15641	15645
120	15195	16286	15716	15718
121	15262	16356	15791	15792
122	15310	16465	15867	15866
123	15348	16595	15932	15940
124	15432	16655	16007	16012
125	15482	16738	16079	16084
126	15530	16847	16146	16155
127	15572	16959	16212	16227
128	15604	17090	16277	16299
129	15681	17157	16353	16372
130	15743	17235	16436	16445
131	15798	17335	16506	16518
132	15837	17424	16575	16592
133	15872	17553	16650	16665
134	15956	17606	16725	16737
135	16035	17646	16803	16809
136	16089	17714	16875	16882
137	16138	17805	16949	16954
138	16190	17899	17022	17026
139	16277	17943	17094	17097
140	16354	18002	17172	17167
141	16414	18066	17244	17238
142	16459	18139	17313	17308
143	16512	18236	17387	17378
144	16616	18274	17458	17448
145	16700	18336	17532	17517
146	16755	18383	17604	17587
147	16795	18443	17672	17656
148	16843	18544	17741	17726
149	16958	18597	17812	17797
150	17073	18652	17883	17868
151	17155	18725	17949	17940
152	17210	18805	18021	18011
153	17261	18885	18097	18082
154	17381	18932	18161	18154
155	17530	18976	18228	18226
156	17615	19027	18298	18297
157	17686	19091	18376	18369
158	17752	19168	18447	18440
159	17891	19220	18517	18519
160	17980	19292	18590	18598
161	18045	19391	18667	18677
162	18097	19508	18739	18755
163	18143	19652	18812	18834
164	18240	19721	18887	18910
165	18303	19809	18964	18986
166	18346	19929	19037	19062
167	18380	20082	19106	19138
168	18419	20209	19175	19214
169	18498	20278	19257	19291
170	18560	20356	19333	19367
171	18603	20441	19409	19444
172	18644	20561	19488	19520
173	18685	20689	19561	19596
174	18766	20753	19635	19671
175	18838	20825	19718	19745
176	18880	20916	19797	19820
177	18919	21010	19873	19894
178	18950	21153	19941	19968
179	19051	21213	20011	20041
180	19104	21276	20089	20113
181	19171	21367	20160	20186
182	19232	21457	20230	20258
183	19269	21572	20303	20331
184	19374	21626	20384	20407
185	19441	21705	20461	20483
186	19507	21776	20545	20559
187	19564	21842	20621	20635
188	19606	21959	20697	20711
189	19684	22013	20769	20785
190	19761	22082	20841	20858
191	19824	22167	20922	20932
192	19868	22275	20995	21005
193	19916	22395	21070	21079
194	20009	22440	21145	21153
195	20104	22508	21217	21228
196	20154	22576	21292	21302
