depth	min	max	median	mean
37.5	2394	2739	2586	2588
38.5	2411	2778	2607	2608
39.5	2422	2821	2628	2628
40.5	2437	2874	2646	2649
41.5	2443	2928	2664	2669
42.5	2460	2967	2683	2689
43.5	2476	2989	2704	2709
44.5	2491	3017	2723	2730
45.5	2505	3056	2742	2750
46.5	2518	3096	2762	2770
47.5	2532	3131	2781	2791
48.5	2546	3153	2801	2811
49.5	2560	3177	2818	2831
50.5	2571	3203	2838	2851
51.5	2583	3240	2857	2871
52.5	2597	3274	2876	2891
53.5	2612	3300	2897	2912
54.5	2623	3329	2920	2932
55.5	2634	3364	2940	2953
56.5	2645	3402	2961	2973
57.5	2656	3431	2980	2994
58.5	2676	3457	3001	3015
59.5	2689	3479	3020	3035
60.5	2701	3508	3040	3056
61.5	2712	3530	3060	3077
62.5	2722	3566	3079	3097
63.5	2733	3608	3098	3118
64.5	2738	3648	3116	3138
65	2742	3667	3127	3149
65.00002	9408	12434	11790	11560
65.5	9412	12437	11799	11571
66.5	9424	12444	11817	11591
67.5	9443	12459	11838	11612
68.5	9458	12471	11860	11632
69.5	9472	12482	11878	11653
70.5	9494	12496	11902	11674
71.5	9498	12513	11920	11694
72.5	9526	12531	11942	11715
73.5	9564	12542	11963	11736
74.5	9570	12555	11986	11756
75.5	9591	12571	12007	11777
76.5	9601	12586	12030	11798
77.5	9610	12607	12049	11818
78.5	9629	12635	12070	11839
79.5	9667	12660	12087	11860
80.5	9679	12690	12106	11881
81.5	9716	12721	12124	11902
82.5	9735	12747	12143	11922
83.5	9741	12777	12164	11943
84.5	9774	12797	12181	11963
85.5	9783	12828	12199	11984
86.5	9796	12862	12220	12004
87.5	9816	12891	12238	12025
88.5	9849	12914	12260	12046
89.5	9851	12940	12282	12067
90.5	9872	12966	12298	12088
91.5	9882	12999	12320	12109
92.5	9907	13031	12339	12130
93.5	9935	13057	12361	12151
94.5	9980	13083	12380	12172
95.5	10002	13105	12400	12193
96.5	10019	13134	12419	12214
97.5	10039	13158	12441	12235
98.5	10065	13184	12464	12256
99.5	10088	13215	12484	12277
100.5	10110	13246	12506	12298
101.5	10126	13273	12527	12319
102.5	10146	13300	12546	12340
103.5	10175	13317	12569	12361
104.5	10189	13334	12591	12381
105.5	10204	13355	12609	12402
106.5	10219	13377	12626	12423
107.5	10246	13394	12646	12444
108.5	10267	13412	12667	12464
109.5	10308	13438	12689	12485
110.5	10331	13462	12708	12505
111.5	10347	13486	12727	12526
112.5	10363	13512	12744	12547
113.5	10375	13528	12767	12567
114.5	10382	13550	12789	12588
115.5	10390	13573	12809	12608
116.5	10401	13605	12828	12628
117.5	10414	13635	12847	12649
118.5	10441	13656	12872	12670
119.5	10461	13677	12892	12691
120.5	10485	13701	12912	12712
121.5	10505	13725	12930	12733
122.5	10522	13751	12953	12754
123.5	10541	13774	12970	12774
124.5	10563	13797	12991	12795
125.5	10587	13830	13011	12815
126.5	10597	13845	13031	12835
127.5	10629	13868	13050	12856
128.5	10670	13888	13074	12878
129.5	10685	13916	13093	12899
130.5	10692	13942	13111	12920
131.5	10700	13963	13136	12942
132.5	10719	13992	13157	12962
133.5	10741	14010	13180	12983
134.5	10770	14039	13201	13003
135.5	10788	14060	13222	13024
136.5	10796	14081	13242	13044
137.5	10810	14102	13262	13065
138.5	10828	14122	13283	13086
139.5	10858	14157	13306	13107
140.5	10872	14189	13327	13128
141.5	10890	14204	13347	13149
142.5	10915	14221	13369	13170
143.5	10928	14243	13388	13191
144.5	10946	14268	13407	13212
145.5	10962	14298	13429	13233
146.5	10987	14333	13453	13254
147.5	11000	14359	13471	13274
148.5	11015	14385	13491	13295
149.5	11034	14399	13508	13315
150.5	11043	14422	13523	13336
151.5	11046	14445	13543	13356
152.5	11070	14470	13563	13377
153.5	11113	14499	13586	13397
154.5	11121	14519	13606	13418
155.5	11150	14545	13627	13438
156.5	11170	14571	13646	13459
157.5	11206	14594	13663	13479
158.5	11220	14616	13685	13500
159.5	11232	14644	13705	13521
160.5	11282	14667	13725	13542
161.5	11308	14699	13748	13563
162.5	11332	14723	13768	13583
163.5	11358	14741	13787	13604
164.5	11374	14763	13806	13624
165.5	11391	14794	13825	13645
166.5	11418	14824	13844	13665
167.5	11445	14843	13865	13686
168.5	11462	14865	13888	13706
169.5	11494	14890	13907	13727
170.5	11528	14922	13927	13748
171.5	11554	14935	13944	13768
172.5	11558	14964	13966	13789
173.5	11563	14985	13987	13809
174.5	11594	15000	14005	13829
175.5	11603	15032	14024	13850
176.5	11624	15053	14044	13870
177.5	11649	15086	14063	13890
178.5	11660	15103	14084	13910
179.5	11685	15130	14106	13930
180.5	11697	15154	14122	13950
181.5	11709	15178	14144	13971
182.5	11728	15196	14164	13991
183.5	11743	15220	14180	14012
184.5	11759	15240	14200	14033
185.5	11775	15261	14223	14053
186.5	11810	15291	14242	14074
187.5	11836	15305	14264	14095
188.5	11862	15325	14287	14115
189.5	11882	15345	14304	14136
