depth	min	max	median	mean
133.5	9451	11793	10927	10861
138.5	10006	11981	11199	11139
143.5	10402	12162	11443	11404
148.5	10746	12319	11693	11656
153.5	11145	12455	11950	11914
158.5	11566	12577	12208	12173
163.5	11957	12743	12454	12425
168.5	12132	13211	12653	12652
173.5	12272	13541	12863	12878
178.5	12454	13863	13078	13104
183.5	12622	14157	13303	13328
188.5	12795	14417	13532	13550
193.5	12984	14675	13757	13777
198.5	13168	14922	13993	14000
203.5	13346	15204	14206	14227
208.5	13565	15431	14430	14448
213.5	13740	15716	14651	14668
218.5	13933	15944	14875	14893
223.5	14112	16157	15098	15112
228.5	14337	16399	15341	15345
233.5	14571	16616	15587	15582
238.5	14784	16847	15811	15810
243.5	15031	17041	16027	16032
248.5	15243	17268	16258	16260
253.5	15446	17490	16490	16483
258.5	15700	17669	16714	16702
263.5	15943	17898	16944	16934
268.5	16174	18085	17172	17160
273.5	16403	18287	17393	17378
278.5	16637	18506	17629	17606
283.5	16920	18698	17861	17841
288.5	17179	18895	18080	18063
293.5	17489	19078	18289	18285
298.5	17808	19274	18500	18508
303.5	18137	19506	18706	18737
308.5	18586	19741	18946	19003
313.5	18845	20367	19390	19448
