depth	min	max	median	mean
21	1216	1578	1408	1405
41	1267	1614	1454	1451
51	1287	1635	1476	1474
81	1373	1698	1548	1546
91	1403	1720	1573	1571
101	1432	1742	1600	1597
121	1492	1782	1652	1648
131	1521	1802	1677	1673
141	1550	1824	1703	1699
151	1579	1849	1728	1723
171	1633	1895	1776	1772
181	1658	1918	1799	1796
191	1684	1939	1824	1820
201	1712	1961	1848	1845
211	1741	1983	1872	1869
221	1763	2006	1895	1892
231	1787	2027	1917	1914
241	1812	2047	1939	1935
251	1834	2067	1960	1957
261	1855	2090	1982	1979
271	1880	2109	2004	2001
281	1902	2131	2026	2023
301	1949	2172	2069	2066
311	1973	2190	2091	2088
331	2017	2232	2133	2130
351	2060	2273	2174	2172
361	2081	2293	2196	2193
371	2100	2314	2216	2213
381	2124	2335	2237	2233
401	2165	2374	2277	2274
411	2190	2394	2298	2295
431	2230	2437	2339	2337
441	2250	2458	2359	2357
461	2294	2505	2400	2399
481	2335	2549	2441	2441
491	2357	2572	2461	2462
501	2379	2595	2481	2482
521	2421	2637	2522	2524
531	2444	2661	2544	2545
541	2462	2686	2565	2566
561	2503	2729	2606	2608
591	2566	2799	2669	2671
601	2586	2825	2690	2692
611	2608	2849	2713	2716
621	2627	2874	2736	2739
631	2649	2900	2759	2762
651	2688	2952	2805	2809
671	2728	3001	2852	2856
691	2770	3056	2899	2902
701	2790	3081	2922	2925
721	2826	3129	2963	2968
731	2844	3150	2984	2989
751	2883	3199	3026	3031
771	2926	3246	3070	3075
781	2944	3269	3092	3096
791	2964	3291	3113	3117
