depth	min	max	median	mean
1	-74	80	-43	-29
20	-39	190	40	47
40	16	285	128	131
80	178	462	296	305
100	270	656	438	447
120	377	852	591	598
140	503	1012	752	750
160	624	1176	903	902
180	771	1335	1066	1062
200	926	1471	1214	1208
220	1066	1602	1359	1353
240	1254	1717	1506	1500
260	1437	1827	1658	1651
280	1681	1923	1806	1802
300	1801	2121	1944	1947
320	1898	2291	2075	2082
340	2012	2441	2211	2216
360	2126	2562	2346	2347
370	2192	2618	2411	2411
390	2328	2712	2550	2542
410	2486	2814	2720	2667
430	2566	2983	2794	2777
448	2652	3107	2879	2875
465	2733	3218	2969	2970
470	2756	3249	2995	2997
480	2803	3316	3048	3053
490	2857	3377	3103	3109
500	2920	3440	3155	3171
506	2972	3539	3230	3243
513	3031	3691	3321	3334
520	3092	3810	3412	3421
526	3160	3891	3490	3498
533	3241	3987	3583	3591
540	3319	4083	3687	3687
546	3386	4148	3766	3767
552	3444	4229	3849	3846
558	3522	4294	3927	3924
566	3647	4395	4034	4032
571	3707	4483	4102	4100
576	3794	4529	4169	4167
582	3878	4595	4249	4246
593	4081	4700	4389	4393
600	4207	4754	4468	4482
606	4371	4797	4547	4572
613	4473	4942	4674	4692
620	4557	5144	4841	4841
626	4704	5251	4964	4966
633	4855	5415	5133	5126
640	5001	5724	5321	5327
648	5165	6143	5571	5601
654	5319	6498	5788	5823
658	5402	6641	5954	5979
669	5670	6991	6390	6371
673	5805	7102	6540	6513
680	6012	7229	6824	6768
686	6434	7303	7008	6973
692	6746	7376	7203	7167
700	7117	7527	7380	7367
706	7232	7684	7469	7465
713	7311	7855	7565	7568
720	7369	7945	7685	7675
726	7433	7995	7784	7759
733	7506	8064	7896	7855
740	7559	8123	8016	7953
750	7617	8201	8071	8017
770	7730	8338	8154	8116
780	7779	8399	8200	8166
800	7889	8516	8288	8262
820	8013	8616	8384	8361
840	8124	8712	8476	8461
860	8226	8816	8573	8561
880	8333	8913	8665	8655
900	8455	9011	8761	8755
920	8573	9102	8858	8853
940	8683	9194	8956	8950
958	8783	9265	9042	9038
980	8924	9352	9148	9145
1002	9060	9444	9257	9258
1020	9144	9605	9364	9370
1040	9244	9755	9493	9495
1080	9459	10009	9750	9747
1100	9567	10108	9887	9872
1120	9676	10241	10039	10007
1140	9826	10612	10216	10207
1160	9973	10892	10410	10413
1180	10124	11161	10599	10611
1228	10525	11739	11087	11101
