depth	min	max	median	mean
55	4754	5850	5337	5321
56	4761	5857	5342	5327
57	4766	5862	5347	5332
58	4769	5869	5352	5337
59	4776	5876	5356	5342
60	4779	5884	5361	5347
61	4788	5888	5366	5352
62	4793	5890	5370	5357
63	4798	5896	5376	5362
64	4801	5900	5380	5367
65	4807	5904	5385	5372
66	4812	5908	5390	5377
67	4820	5914	5396	5382
68	4824	5918	5402	5386
69	4832	5924	5405	5391
70	4835	5928	5411	5396
71	4841	5935	5416	5402
72	4844	5942	5422	5407
73	4848	5948	5428	5412
74	4852	5952	5433	5417
75	4857	5957	5438	5423
76	4860	5960	5444	5428
77	4867	5962	5447	5433
78	4872	5972	5451	5438
79	4877	5978	5455	5443
80	4883	5983	5460	5448
81	4888	5988	5466	5453
82	4894	5992	5471	5458
83	4901	5999	5476	5464
84	4910	6005	5482	5469
85	4911	6009	5487	5474
86	4916	6017	5492	5479
87	4922	6025	5496	5484
88	4927	6028	5501	5489
89	4933	6033	5506	5494
90	4941	6042	5511	5499
91	4948	6045	5516	5505
92	4954	6049	5521	5510
93	4960	6054	5527	5515
94	4965	6060	5530	5520
95	4970	6065	5537	5525
96	4974	6070	5541	5530
97	4977	6076	5546	5535
