depth	min	max	median	mean
10.2	10593	13298	11980	11962
11.25	10691	13337	12033	12014
12.25	10762	13366	12086	12064
13	10804	13396	12117	12101
13.5	10841	13425	12141	12125
14.5	10884	13471	12194	12175
15.5	10935	13513	12247	12227
16	10970	13534	12276	12255
16.5	11000	13550	12303	12283
17	11046	13583	12329	12310
17.5	11080	13605	12360	12338
18	11108	13632	12382	12365
18.5	11142	13656	12412	12393
19	11160	13688	12440	12421
19.5	11184	13726	12469	12448
20	11208	13782	12493	12476
21.5	11324	13846	12576	12562
22.5	11401	13904	12639	12620
23	11429	13945	12666	12649
23.5	11450	13965	12691	12678
24	11470	13998	12717	12706
24.8	11497	14058	12763	12753
26	11590	14131	12822	12821
26.5	11621	14149	12849	12849
28	11692	14233	12929	12935
28.5	11712	14268	12963	12963
29.5	11759	14322	13018	13020
30.5	11807	14386	13075	13076
31.5	11879	14439	13128	13132
32.5	11947	14491	13183	13187
33	11973	14512	13208	13215
33.5	11994	14536	13239	13243
34.5	12030	14606	13293	13299
35.5	12068	14661	13345	13355
36.5	12147	14720	13400	13411
37	12177	14746	13424	13440
37.5	12215	14784	13450	13468
38	12242	14814	13481	13496
38.25	12253	14827	13491	13510
38.5	12268	14852	13509	13525
39	12291	14890	13540	13553
39.5	12312	14910	13570	13581
40	12331	14962	13594	13610
40.5	12364	14987	13624	13638
41	12400	15013	13651	13667
41.5	12449	15033	13680	13695
42.5	12496	15074	13744	13752
43	12512	15093	13775	13781
43.5	12530	15128	13807	13810
44	12561	15160	13829	13838
44.25	12576	15179	13842	13852
44.5	12580	15196	13857	13867
44.75	12586	15220	13871	13881
45	12594	15244	13881	13895
45.25	12629	15253	13896	13909
45.5	12661	15262	13910	13924
45.75	12682	15269	13921	13938
46	12704	15283	13936	13952
46.5	12742	15309	13962	13981
47.5	12800	15386	14019	14038
48.5	12856	15455	14070	14095
49.5	12905	15506	14123	14152
50.5	12952	15568	14185	14208
51.5	13006	15614	14242	14265
52.5	13072	15672	14291	14322
53.5	13138	15721	14350	14379
54	13166	15744	14375	14407
54.5	13192	15781	14399	14436
55	13205	15808	14423	14464
55.5	13252	15829	14453	14491
56.5	13324	15887	14509	14546
57.5	13375	15934	14562	14601
58.5	13414	15995	14614	14656
59.5	13452	16066	14671	14711
60.5	13501	16126	14720	14764
61.5	13539	16191	14766	14816
62.5	13590	16265	14816	14867
63.5	13628	16357	14873	14919
64.5	13668	16418	14932	14971
65.5	13697	16480	14984	15022
66.5	13731	16531	15033	15073
67.5	13779	16593	15083	15124
68.5	13804	16654	15140	15175
69.5	13843	16715	15191	15226
70.5	13877	16774	15244	15277
71.5	13913	16843	15292	15327
72.5	13957	16914	15344	15377
73.5	14000	16977	15399	15427
74.5	14034	17039	15441	15477
75.5	14075	17103	15488	15527
76.5	14119	17163	15538	15579
77.5	14170	17240	15595	15631
78.5	14212	17311	15639	15682
79.5	14237	17395	15684	15734
80.5	14293	17450	15743	15785
81.5	14352	17486	15796	15836
82.5	14391	17565	15847	15887
83.5	14427	17616	15899	15937
84	14451	17670	15924	15963
84.5	14459	17699	15951	15988
85	14468	17740	15979	16014
85.5	14486	17756	16004	16038
86	14507	17785	16030	16063
86.5	14540	17814	16055	16088
87	14566	17843	16081	16113
87.5	14598	17872	16105	16137
88	14631	17910	16131	16162
88.5	14655	17942	16157	16187
89	14682	17963	16179	16212
89.5	14704	17990	16205	16236
90	14716	18016	16234	16261
90.5	14742	18040	16260	16286
91.5	14782	18087	16309	16335
92.5	14828	18143	16353	16384
93.5	14867	18204	16404	16433
94.5	14905	18288	16448	16483
95.5	14956	18335	16497	16533
96.5	15003	18413	16558	16584
97.5	15040	18482	16614	16634
98.5	15083	18559	16661	16685
99.5	15124	18628	16712	16736
100.5	15177	18680	16763	16786
101.5	15231	18740	16811	16835
102.5	15278	18797	16861	16884
103.5	15320	18842	16908	16933
104.5	15360	18951	16957	16983
106.5	15435	19058	17052	17082
107.5	15462	19099	17094	17133
108.5	15512	19148	17140	17183
109.5	15537	19213	17186	17233
110.5	15571	19273	17237	17284
111.5	15611	19343	17291	17335
112.5	15643	19404	17345	17387
113	15669	19428	17371	17413
113.5	15688	19467	17400	17438
114	15717	19522	17422	17464
114.5	15734	19555	17446	17490
115.5	15788	19609	17493	17541
116.5	15827	19671	17544	17591
117.5	15876	19748	17590	17642
118.5	15934	19820	17640	17692
119.5	15988	19887	17690	17742
120.5	16044	19941	17742	17793
121.5	16079	19972	17792	17843
122.5	16125	20022	17839	17894
123.5	16171	20085	17892	17944
124.5	16200	20137	17942	17995
125	16231	20179	17965	18020
125.5	16252	20198	17984	18046
126.5	16298	20271	18037	18098
127.5	16348	20318	18088	18150
128.5	16388	20364	18138	18202
129.5	16431	20426	18192	18255
130.5	16474	20491	18243	18305
131.5	16521	20560	18295	18355
132.5	16555	20618	18351	18405
133.5	16602	20669	18409	18455
134.5	16655	20709	18452	18505
135.5	16680	20776	18507	18555
136.5	16720	20860	18561	18606
137	16747	20879	18588	18631
137.5	16772	20911	18610	18657
138.5	16819	20964	18662	18708
139.5	16856	21031	18722	18758
140	16872	21067	18745	18784
140.5	16883	21097	18771	18809
141	16914	21116	18800	18835
141.5	16933	21144	18820	18860
142	16949	21175	18843	18886
142.6	16989	21200	18869	18916
143	17003	21225	18894	18936
143.5	17020	21262	18922	18962
144.5	17050	21324	18963	19013
145.5	17086	21393	19015	19064
146.5	17126	21445	19061	19115
147.5	17168	21480	19116	19166
148.5	17200	21542	19156	19217
149.5	17243	21603	19210	19268
150.5	17275	21667	19255	19319
151.5	17328	21753	19301	19370
152.5	17390	21819	19355	19421
153.5	17459	21881	19402	19473
154.5	17491	21940	19448	19524
155.5	17544	21995	19502	19575
156.5	17575	22046	19546	19626
157.5	17624	22124	19604	19678
158	17640	22165	19631	19703
158.5	17644	22185	19656	19729
159	17671	22226	19680	19754
159.5	17691	22265	19709	19780
160	17709	22295	19733	19806
160.5	17732	22327	19758	19831
161	17755	22351	19782	19857
161.5	17770	22369	19813	19883
162	17791	22385	19837	19908
162.5	17811	22412	19862	19934
163	17829	22443	19889	19959
163.5	17849	22470	19913	19985
164.5	17892	22540	19968	20036
165.5	17946	22601	20007	20088
168.5	18066	22723	20166	20243
169.5	18111	22784	20210	20295
170.5	18155	22829	20263	20345
171.5	18197	22890	20309	20394
172.5	18243	22954	20357	20443
173.5	18289	23021	20408	20493
174.5	18318	23089	20457	20542
175.5	18362	23154	20506	20592
176.5	18402	23203	20557	20644
177.5	18453	23281	20606	20697
178.5	18510	23330	20655	20749
179.5	18545	23380	20718	20801
181.5	18646	23468	20817	20902
182.5	18704	23525	20873	20953
183.5	18758	23596	20926	21003
184.5	18806	23671	20973	21053
185.5	18854	23735	21020	21104
