depth	min	max	median	mean
70	62	5207	2132	2231
80	388	5632	2610	2698
95	1001	6333	3332	3430
105	1458	6711	3838	3912
115	1936	7066	4338	4396
125	2371	7473	4849	4888
130	2575	7707	5115	5135
137	2966	7978	5452	5471
150	3605	8499	6110	6100
160	4099	8841	6582	6568
170	4696	9213	7099	7064
180	5211	9615	7581	7540
190	5826	9990	8088	8023
195	6107	10132	8313	8259
205	6688	10456	8787	8735
210	6978	10645	9028	8975
220	7568	11001	9504	9455
230	8207	11337	9980	9932
245	9237	11742	10693	10636
250	9545	11937	10937	10874
260	10247	12221	11396	11356
270	11289	12435	11816	11834
280	11603	13450	12289	12353
290	11881	14314	12807	12880
305	12402	15446	13573	13666
315	12744	16175	14107	14196
325	13089	16839	14651	14721
330	13225	17267	14890	14983
336	13499	17617	15208	15296
345	13850	18231	15685	15771
350	13997	18590	15942	16037
359	14332	19119	16407	16502
370	14790	19895	16964	17079
380	15179	20441	17508	17598
390	15549	21125	18043	18136
405	16185	21918	18840	18913
420	16861	22832	19633	19695
430	17310	23440	20168	20211
440	17722	23978	20689	20736
450	18301	24632	21235	21273
465	18964	25511	21982	22057
480	19689	26489	22778	22838
490	20112	27056	23312	23366
505	20904	27899	24080	24138
520	21528	28841	24802	24921
535	22276	29660	25619	25704
550	23030	30528	26374	26486
560	23455	31106	26875	27002
570	23942	31713	27421	27532
580	24530	32285	27958	28074
590	25011	32813	28488	28608
605	25767	33681	29253	29394
610	25982	33937	29505	29650
625	26778	34835	30284	30450
635	27339	35433	30810	30979
650	28149	36326	31599	31767
665	28868	37149	32337	32537
670	29112	37462	32570	32801
680	29625	37999	33066	33320
690	30167	38548	33589	33847
695	30435	38804	33845	34109
700	30741	39075	34086	34372
705	31048	39345	34320	34632
710	31222	39662	34590	34892
720	31824	40194	35093	35421
730	32329	40702	35600	35938
742	33037	41370	36162	36554
750	33475	41792	36554	36966
765	34421	42469	37268	37761
775	35061	42971	37755	38291
785	35723	43488	38244	38798
792	36046	43817	38565	39122
805	36642	44452	39088	39660
820	37323	45244	39732	40294
830	37799	45687	40162	40718
840	38251	46138	40556	41122
850	38715	46576	40942	41528
865	39525	47242	41522	42144
880	40311	47954	42103	42774
890	40843	48321	42439	43190
900	41230	49038	43023	43699
910	41580	49686	43568	44207
920	42038	50242	44121	44710
930	42395	50743	44632	45202
945	42993	51617	45381	45953
955	43415	52179	45930	46475
960	43551	52482	46215	46738
970	43916	53083	46723	47249
980	44296	53697	47243	47755
990	44665	54200	47757	48246
1000	45084	54675	48247	48760
1010	45524	55268	48779	49269
1020	45926	55858	49321	49782
1030	46326	56353	49850	50304
1040	46703	56985	50352	50811
1050	47160	57479	50881	51315
1060	47594	58078	51401	51820
1070	47972	58590	51925	52341
1080	48411	59206	52448	52855
1090	48845	59871	52959	53363
1100	49318	60316	53499	53878
1110	49737	60933	53998	54381
1116	50043	61214	54325	54681
1130	50730	61943	55005	55385
1140	51120	62410	55512	55895
1150	51511	62982	56044	56397
1165	52222	63892	56821	57176
