depth	min	max	median	mean
80.5	1994	2337	2186	2185
81.5	2017	2385	2220	2217
82.5	2034	2454	2253	2249
83.5	2048	2531	2283	2282
84.5	2060	2616	2309	2314
85.5	2079	2672	2338	2346
86.5	2104	2707	2368	2377
87.5	2128	2750	2398	2408
88.5	2145	2807	2428	2439
89.5	2157	2863	2457	2471
90.5	2181	2914	2487	2503
91.5	2207	2942	2523	2536
92.5	2233	2974	2556	2568
93.5	2250	3022	2589	2601
94.5	2265	3071	2624	2634
95.5	2287	3113	2658	2667
96.5	2321	3140	2694	2700
97.5	2347	3167	2726	2732
98.5	2370	3203	2758	2765
99.5	2389	3245	2790	2797
100.5	2422	3282	2822	2830
101.5	2451	3311	2857	2862
102.5	2476	3333	2892	2895
103.5	2498	3368	2926	2927
104.5	2525	3409	2961	2960
105.5	2554	3442	2993	2992
106.5	2595	3463	3027	3026
107.5	2626	3493	3062	3059
108.5	2653	3524	3098	3092
109.5	2677	3567	3129	3126
110.5	2716	3603	3163	3159
111.5	2745	3619	3197	3193
112.5	2780	3647	3233	3227
113.5	2805	3677	3272	3261
114.5	2826	3715	3307	3294
115.5	2863	3740	3338	3327
116.5	2909	3759	3370	3358
117.5	2947	3779	3402	3390
118.5	2974	3803	3433	3421
119.5	3004	3837	3465	3453
120.5	3045	3864	3496	3486
121.5	3099	3877	3530	3520
122.5	3146	3902	3564	3554
123.5	3177	3926	3602	3588
124.5	3210	3963	3638	3623
125.5	3256	3987	3670	3657
126.5	3318	4005	3704	3691
127.5	3370	4021	3736	3726
128.5	3418	4044	3772	3760
129.5	3448	4075	3808	3795
130.5	3506	4105	3841	3829
131.5	3583	4114	3868	3862
132.5	3650	4129	3894	3895
133.5	3702	4147	3925	3929
134.5	3745	4190	3958	3962
135.5	3787	4226	3992	3999
136.5	3832	4266	4035	4039
137.5	3860	4330	4074	4079
138.5	3885	4412	4109	4119
139.5	3900	4503	4142	4159
140.5	3924	4569	4179	4199
141.5	3955	4611	4224	4240
142.5	3978	4661	4267	4281
143.5	3998	4720	4309	4323
144.5	4016	4788	4349	4364
145.5	4047	4843	4390	4405
146.5	4088	4880	4436	4446
147.5	4113	4914	4479	4487
